date,open,high,low,close,TR,ATR,CI,trend
2015.05.07,1.52457,1.52749,1.51636,1.52414,,,,0
2015.05.08,1.52529,1.55222,1.52438,1.54372,0.028079999999999883,,,0
2015.05.11,1.54415,1.56131,1.53932,1.55851,0.021989999999999954,,,0
2015.05.12,1.5585,1.57103,1.55573,1.56678,0.01529999999999987,,,0
2015.05.13,1.56677,1.57689,1.56334,1.57442,0.013549999999999951,,,0
2015.05.14,1.57442,1.58145,1.57285,1.57733,0.008599999999999941,,,0
2015.05.15,1.57734,1.58084,1.57014,1.57245,0.010699999999999932,,,0
2015.05.18,1.57389,1.57452,1.56376,1.56527,0.01075999999999988,,,0
2015.05.19,1.56527,1.56697,1.54457,1.55111,0.022399999999999975,,,0
2015.05.20,1.55105,1.55877,1.54723,1.55294,0.011539999999999884,,,0
2015.05.21,1.55294,1.56999,1.5524,1.56596,0.017589999999999995,,,0
2015.05.22,1.56601,1.56895,1.546,1.54798,0.022950000000000026,,,0
2015.05.25,1.54769,1.55074,1.54559,1.54668,0.005149999999999988,,,0
2015.05.26,1.54649,1.5475,1.53537,1.53834,0.012130000000000196,,,0
2015.05.27,1.53843,1.54369,1.5301,1.535,0.013589999999999991,0.015309285714285676,,0
2015.05.28,1.53525,1.53851,1.52601,1.53109,0.012499999999999956,0.014196428571428539,,0
2015.05.29,1.53149,1.53421,1.52362,1.52895,0.0105900000000001,0.013382142857142834,,0
2015.06.01,1.5291,1.53045,1.51701,1.51999,0.013440000000000119,0.01324928571428571,,0
2015.06.02,1.51984,1.53669,1.51792,1.53432,0.018769999999999953,0.013622142857142852,,0
2015.06.03,1.53432,1.53752,1.52504,1.53397,0.012480000000000047,0.013899285714285716,,0
2015.06.04,1.53396,1.54409,1.53037,1.53579,0.013719999999999954,0.014115000000000004,,0
2015.06.05,1.53553,1.53695,1.51901,1.52616,0.017940000000000067,0.014627857142857161,,0
2015.06.08,1.52564,1.53636,1.52211,1.53465,0.014249999999999874,0.014045714285714297,,0
2015.06.09,1.5347,1.53889,1.52572,1.53857,0.013170000000000126,0.014162142857142885,,0
2015.06.10,1.53838,1.55539,1.53687,1.55283,0.018520000000000092,0.014228571428571464,,0
2015.06.11,1.55282,1.55333,1.54208,1.55156,0.011250000000000204,0.01339285714285719,,0
2015.06.12,1.55157,1.55976,1.54664,1.55522,0.01312000000000002,0.013962142857142907,,0
2015.06.15,1.5544,1.56137,1.54871,1.56012,0.012659999999999894,0.014000000000000028,56.33678212679926,0
2015.06.16,1.56012,1.5654,1.55407,1.56465,0.01132999999999984,0.013838571428571447,52.75673391260462,0
2015.06.17,1.56468,1.58468,1.56255,1.58298,0.022129999999999983,0.014526428571428591,40.11371636236994,0
2015.06.18,1.58297,1.59296,1.58058,1.58765,0.012379999999999836,0.014654285714285715,35.986053477246344,0
2015.06.19,1.58773,1.58961,1.58349,1.58746,0.006119999999999903,0.014131428571428557,36.61268458789725,0
2015.06.22,1.58721,1.59096,1.5805,1.58217,0.010459999999999914,0.013537857142857126,37.15093078700942,0
2015.06.23,1.58211,1.58312,1.57086,1.5729,0.01226000000000016,0.013522142857142847,37.07836407630586,0
2015.06.24,1.57297,1.58024,1.56669,1.57026,0.013550000000000173,0.013510000000000006,36.96166391919853,0
2015.06.25,1.57027,1.57703,1.56765,1.57474,0.009379999999999944,0.012898571428571426,38.248810576483514,0
2015.06.26,1.57481,1.57663,1.57083,1.57471,0.005800000000000027,0.012295000000000009,39.88767720110607,0
2015.06.29,1.56907,1.57886,1.5661,1.57373,0.012759999999999883,0.012265714285714277,46.3831254479433,0
2015.06.30,1.57371,1.57758,1.56928,1.57131,0.008299999999999974,0.011535714285714269,49.53845065137176,0
2015.07.01,1.57118,1.5725,1.5588,1.56104,0.013700000000000045,0.011710714285714257,52.75594961143135,0
2015.07.02,1.56113,1.56395,1.5562,1.56038,0.007749999999999924,0.011327142857142822,53.94881675433919,0
2015.07.03,1.56084,1.56434,1.55521,1.55655,0.009130000000000082,0.011074999999999977,58.23338121049029,0
2015.07.06,1.55454,1.56281,1.55316,1.55986,0.009649999999999936,0.010954999999999984,56.74782372799457,0
2015.07.07,1.55998,1.56098,1.54135,1.54612,0.019630000000000036,0.01077642857142856,46.09448591943018,0
2015.07.08,1.54617,1.54669,1.533,1.53595,0.01368999999999998,0.01087,40.86528777254139,0
2015.07.09,1.53595,1.54202,1.53432,1.53774,0.00770000000000004,0.010982857142857152,40.15862672097138,0
2015.07.10,1.53791,1.55507,1.53638,1.55126,0.018689999999999873,0.011570714285714292,45.2173438188142,0
2015.07.13,1.54972,1.55887,1.54802,1.54858,0.010850000000000026,0.011469999999999996,46.98639956976476,0
2015.07.14,1.54852,1.56387,1.54505,1.56355,0.01882000000000006,0.01184642857142856,47.721686976904884,0
2015.07.15,1.56349,1.56752,1.55764,1.56327,0.009880000000000111,0.011882142857142857,47.48256916205477,0
2015.07.16,1.56353,1.56503,1.556,1.56084,0.009029999999999871,0.012112857142857132,47.439559633586384,0
2015.07.17,1.56041,1.56729,1.55534,1.55975,0.011950000000000127,0.012055000000000007,48.46239635911716,0
2015.07.20,1.56017,1.56273,1.55382,1.55577,0.008909999999999973,0.012098571428571434,53.17971030058143,0
2015.07.21,1.55612,1.55904,1.55287,1.55527,0.006170000000000009,0.011560714285714289,58.250768930876376,0
2015.07.22,1.55504,1.56469,1.55457,1.56082,0.010119999999999907,0.011730000000000003,58.3457110388822,0
