day,symbol_name,profit,volume,PnL/Lot
1/2/2020,EURUSD,20275.68,3553.74,5.705447427
1/3/2020,EURUSD,-45475.98,3304.3,-13.7626672
1/6/2020,EURUSD,-23505.37,2679.4,-8.772622704
1/7/2020,EURUSD,-31314.1,3591.94,-8.717880764
1/8/2020,EURUSD,-37729.8,3982.19,-9.474635153
1/9/2020,EURUSD,-30468.32,3228.23,-9.438089021
1/10/2020,EURUSD,-9910.18,3239.39,-3.059273439
1/13/2020,EURUSD,-10726.26,3353.05,-3.198957044
1/14/2020,EURUSD,-18076.42,3250.24,-5.561565128
1/15/2020,EURUSD,-25295.41,4077.5,-6.203656604
1/16/2020,EURUSD,-2307.09,3997.31,-0.577160968
1/17/2020,EURUSD,-37455.74,2876.38,-13.02183204
1/20/2020,EURUSD,-23988.6,2501.47,-9.589802625
1/21/2020,EURUSD,-15343.86,3906.75,-3.927526226
1/22/2020,EURUSD,-7608.54,4819.06,-1.578843924
1/23/2020,EURUSD,-83792.1,4914.31,-17.05063394
1/24/2020,EURUSD,-64270.69,4432.86,-14.4986969
1/27/2020,EURUSD,-49002.74,3736.25,-13.11548674
1/28/2020,EURUSD,-45527.32,5599.59,-8.130474146
1/29/2020,EURUSD,-24561.21,4569.81,-5.374666602
1/30/2020,EURUSD,-22598.08,2911.43,-7.761847492
1/31/2020,EURUSD,-47694.29,4150.87,-11.49019099
2/3/2020,EURUSD,-829.54,2649.59,-0.313083201
2/4/2020,EURUSD,-15942.89,2082.43,-7.655906627
2/5/2020,EURUSD,-74318.97,2841.55,-26.15437761
2/6/2020,EURUSD,-96482.14,3006.44,-32.0918232
2/7/2020,EURUSD,-224217.66,3036.99,-73.82890805
2/10/2020,EURUSD,-304345.11,2980.1,-102.1258045
2/11/2020,EURUSD,-93248.8,3080.52,-30.27047337
2/12/2020,EURUSD,-210173.54,3684.94,-57.03581183
2/13/2020,EURUSD,-316080.46,3931.15,-80.40406955
2/14/2020,EURUSD,-75188.44,2607.81,-28.83202355
2/17/2020,EURUSD,-37139.95,2073.43,-17.91232315
2/18/2020,EURUSD,-535156.09,4384.54,-122.0552425
2/19/2020,EURUSD,-61061.22,3186.26,-19.16391621
2/20/2020,EURUSD,-60594.72,3895.98,-15.55313905
2/21/2020,EURUSD,-16089.57,3316.31,-4.851647381
2/24/2020,EURUSD,-9862.9,4367.76,-2.258113259
2/25/2020,EURUSD,40975.3,3971.59,10.31710146
2/26/2020,EURUSD,43902.34,4186.18,10.48744717
2/27/2020,EURUSD,2889.2,5134.85,0.562665495
2/28/2020,EURUSD,-173766.48,4140.03,-41.97227634
3/2/2020,EURUSD,-41347.53,4833.54,-8.554295969
3/3/2020,EURUSD,-325868.92,3838.45,-84.89596597
3/4/2020,EURUSD,-23358.64,3491.37,-6.690394409
3/5/2020,EURUSD,-85493.52,4678.19,-18.27491354
3/6/2020,EURUSD,-187520.83,4743.42,-39.53283364
3/9/2020,EURUSD,-59295.15,4117.72,-14.3999947
3/10/2020,EURUSD,-15834.25,3722.94,-4.253158143
3/11/2020,EURUSD,-8023.17,3906.22,-2.05394632
3/12/2020,EURUSD,71721.9,5161.53,13.89547379
3/13/2020,EURUSD,-84799.53,3627.03,-23.3798809
3/16/2020,EURUSD,35112.86,3806.87,9.223552368
3/17/2020,EURUSD,-104624.95,3637.1,-28.76603583
3/18/2020,EURUSD,-935.75,4017.41,-0.232923321
3/19/2020,EURUSD,-35385.67,4580.29,-7.725640516
3/20/2020,EURUSD,-9907.5,3382.76,-2.928822644
3/23/2020,EURUSD,41069.02,4149,9.898535531
3/24/2020,EURUSD,19570.01,3892.54,5.027567013
3/25/2020,EURUSD,3857.34,4920.45,0.783940338
3/26/2020,EURUSD,-57764.91,5834.06,-9.901322844
3/27/2020,EURUSD,-157202.71,6352.9,-24.74503113
3/30/2020,EURUSD,-57194.26,5793.67,-9.871854108
3/31/2020,EURUSD,-54564.73,6908.73,-7.897939978
4/1/2020,EURUSD,7331.05,6189.18,1.184493794
4/2/2020,EURUSD,-93312.22,7583.08,-12.3053198
4/3/2020,EURUSD,-20318.35,6613.34,-3.072327737
4/6/2020,EURUSD,37186.81,6121.77,6.074518993
4/7/2020,EURUSD,-89707.43,6128.54,-14.63765142
4/8/2020,EURUSD,-19387.54,5089.92,-3.809005986
4/9/2020,EURUSD,-25413.55,6853.41,-3.70816184
4/10/2020,EURUSD,7834.36,1299.74,6.027637583
4/13/2020,EURUSD,-74764.34,5486.19,-13.62773476
4/14/2020,EURUSD,19499.76,6312.09,3.089270984
4/15/2020,EURUSD,-116404.88,7258.11,-16.03790488
4/16/2020,EURUSD,-8436.26,7273.72,-1.159827503
4/17/2020,EURUSD,2570.19,7618.68,0.337354071
4/20/2020,EURUSD,9642.51,7607.78,1.267453845
4/21/2020,EURUSD,-11144.18,7712.71,-1.444911691
4/22/2020,EURUSD,-33632.99,8909.04,-3.775153592
4/23/2020,EURUSD,14875.54,10286.96,1.446058146
4/24/2020,EURUSD,-63743.67,8573.82,-7.434687239
4/27/2020,EURUSD,-17693.65,7238.03,-2.44454013
4/28/2020,EURUSD,-7338.45,8266.25,-0.887760437
4/29/2020,EURUSD,47231.91,7553.46,6.253016692
4/30/2020,EURUSD,-64652.3,9853.8,-6.561154255
5/1/2020,EURUSD,-107999.97,6148.58,-17.56502604
5/4/2020,EURUSD,-30038.21,8398.71,-3.576526776
5/5/2020,EURUSD,-76520.69,9880.38,-7.744710797
5/6/2020,EURUSD,-63158.04,8763.12,-7.207254745
5/7/2020,EURUSD,7570.68,9409.61,0.804568462
5/8/2020,EURUSD,20438.01,7657.5,2.669018395
5/11/2020,EURUSD,-7632.86,7109.48,-1.073617808
5/12/2020,EURUSD,-3179.82,7771.61,-0.409159059
5/13/2020,EURUSD,21117.24,7618.6,2.771800412
5/14/2020,EURUSD,-84186.56,7066.64,-11.91323671
5/15/2020,EURUSD,48716.16,6859.74,7.101750522
5/18/2020,EURUSD,-98810.7,7033.71,-14.04816251
5/19/2020,EURUSD,-149655.46,6768.66,-22.11005756
5/20/2020,EURUSD,-76798.28,5965.14,-12.87451446
5/21/2020,EURUSD,-26493.99,7700.94,-3.440358041
5/22/2020,EURUSD,13628.82,6523.36,2.08923273
5/25/2020,EURUSD,-27496.74,5089.24,-5.402916584
5/26/2020,EURUSD,-59606.72,8525.09,-6.991916543
5/27/2020,EURUSD,16807.79,10340.86,1.625376127
5/28/2020,EURUSD,-179449.27,9475.06,-18.93911682
5/29/2020,EURUSD,-204652.57,9887.81,-20.6974619
6/1/2020,EURUSD,-85606.93,7882.18,-10.86081936
6/2/2020,EURUSD,-300026.02,9478.92,-31.65192073
6/3/2020,EURUSD,-125228.49,9547.47,-13.11640578
6/4/2020,EURUSD,-307837.35,11820.59,-26.04246871
6/5/2020,EURUSD,-186721.79,8438.77,-22.12665952
6/8/2020,EURUSD,-19426.62,7528.37,-2.580454809
6/9/2020,EURUSD,-266598.2,8708.51,-30.61352623
6/10/2020,EURUSD,-93414.88,9313.5,-10.03005127
6/11/2020,EURUSD,43496.02,9920.51,4.384454001
6/12/2020,EURUSD,-103766.5,8829.06,-11.75283623
6/15/2020,EURUSD,-270159.19,8746.72,-30.88691364
6/16/2020,EURUSD,-41745.22,8518.32,-4.900640327
6/17/2020,EURUSD,59679.65,8622.59,6.921313125
6/18/2020,EURUSD,8741.27,7374.7,1.185305079
6/19/2020,EURUSD,28087,7140.67,3.933385074
6/22/2020,EURUSD,-134455.72,7036.07,-19.10949172
6/23/2020,EURUSD,-90968.52,8308.08,-10.94940367
6/24/2020,EURUSD,-42362.41,7949.28,-5.329087047
6/25/2020,EURUSD,-64137.24,7131.87,-8.993047159
6/26/2020,EURUSD,54131.51,6717.39,8.05841409
6/29/2020,EURUSD,-40540.86,7622.6,-5.318508183
6/30/2020,EURUSD,53913.78,7651.67,7.04601446
7/1/2020,EURUSD,21374.42,7466.98,2.862525321
7/2/2020,EURUSD,6313.14,7764.04,0.813126109
7/3/2020,EURUSD,-19543.58,5499.42,-3.553753795
7/6/2020,EURUSD,-268422.13,10678.02,-25.13781907
7/7/2020,EURUSD,38238.82,9342.51,4.092992064
7/8/2020,EURUSD,13122.39,8159.73,1.608188682
7/9/2020,EURUSD,-52119.71,10381.33,-5.020523192
7/10/2020,EURUSD,-6590.06,8271.27,-0.796740855
7/13/2020,EURUSD,9419.37,11490.63,0.819743267
7/14/2020,EURUSD,-110586.24,11399.07,-9.701338565
7/15/2020,EURUSD,-372513.12,11745.36,-31.71576841
7/16/2020,EURUSD,43321.79,11904.79,3.639022072
7/17/2020,EURUSD,-25662.22,8740.82,-2.935905277
7/20/2020,EURUSD,-23142.2,13546.61,-1.708338606
7/21/2020,EURUSD,-639650.11,15504.32,-41.2562508
7/22/2020,EURUSD,-426871.96,12593.05,-33.89742438
7/23/2020,EURUSD,-156580.92,11454.39,-13.66994851
7/24/2020,EURUSD,-48724.29,10003.37,-4.870787997
7/27/2020,EURUSD,-647138.01,13103.47,-49.38676614
7/28/2020,EURUSD,-106422.65,10568.03,-10.07024509
7/29/2020,EURUSD,-78151.94,11809.5,-6.617717902
7/30/2020,EURUSD,-211263.76,13340.92,-15.83577149
7/31/2020,EURUSD,-380275.36,12360.61,-30.76509673
8/3/2020,EURUSD,-203538.81,11718.2,-17.36946048
8/4/2020,EURUSD,-85984.32,12564.72,-6.843313299
8/5/2020,EURUSD,-135354.16,11929,-11.34664738
8/6/2020,EURUSD,-45927.6,12345.1,-3.720309984
8/7/2020,EURUSD,-85464.94,11126.11,-7.68147493
8/10/2020,EURUSD,-52683.94,9390.73,-5.610207189
8/11/2020,EURUSD,-11650.61,11241.26,-1.03641517
8/12/2020,EURUSD,-79646.74,9423.83,-8.451631447
8/13/2020,EURUSD,-164569.15,9211.7,-17.86523153
8/14/2020,EURUSD,-32105.93,7866.31,-4.081447292
8/17/2020,EURUSD,9606.47,9280.94,1.035075101
8/18/2020,EURUSD,-447613.5,11422.81,-39.18593593
8/19/2020,EURUSD,-92723.1,10890,-8.51451772
8/20/2020,EURUSD,-41271.2,10492.42,-3.933430368
8/21/2020,EURUSD,-248017.63,10070.55,-24.62801245
8/24/2020,EURUSD,16229.18,9064.78,1.790355394
8/25/2020,EURUSD,27549.36,10529.2,2.616472683
8/26/2020,EURUSD,5535.47,10140.54,0.545875077
8/27/2020,EURUSD,90987.9,12554.76,7.247282928
8/28/2020,EURUSD,-138266.67,11488.88,-12.034826
