day,symbol_name,profit,volume,PnL_per_lot
2020-01-01,EURUSD,3.34,0.04,83.5
2020-01-01,GBPUSD,7.13,0.36,19.81
2020-01-01,USDJPY,3.18,0.04,79.5
2020-01-02,EURUSD,18745.16,3529.72,5.31
2020-01-02,GBPUSD,-29154.92,2302.98,-12.66
2020-01-02,USDJPY,3420.65,354.74,9.64
2020-01-02,XAUUSD,-112819.49,1380.54,-81.72
2020-01-03,EURUSD,-43866.27,3305.52,-13.27
2020-01-03,GBPUSD,-38640.96,1832.43,-21.09
2020-01-03,USDJPY,-4371.57,509.48,-8.58
2020-01-03,XAUUSD,-450886.14,2318.39,-194.48
2020-01-04,EURUSD,-573.24,37.66,-15.22
2020-01-04,GBPUSD,183.94,11.04,16.66
2020-01-04,USDJPY,149.36,2.89,51.68
2020-01-04,XAUUSD,-1304.6,20.09,-64.94
2020-01-06,EURUSD,-37457.47,2719.96,-13.77
2020-01-06,GBPUSD,-19978.32,1878.41,-10.64
2020-01-06,USDJPY,-4173.44,407.56,-10.24
2020-01-06,XAUUSD,-642192.59,2474.72,-259.5
2020-01-07,EURUSD,-30350.84,3559.95,-8.53
2020-01-07,GBPUSD,-22603.58,2087.1,-10.83
2020-01-07,USDJPY,-2632.67,307.94,-8.55
2020-01-07,XAUUSD,-69827.06,1565.95,-44.59
2020-01-08,EURUSD,-36347.42,3949.26,-9.2
2020-01-08,GBPUSD,-19812.95,1689.18,-11.73
2020-01-08,USDJPY,-5174.91,743.47,-6.96
2020-01-08,XAUUSD,-491400.93,3594.04,-136.73
2020-01-09,EURUSD,-31871.91,3285.14,-9.7
2020-01-09,GBPUSD,14447.92,1619.54,8.92
2020-01-09,USDJPY,-21092.76,442.53,-47.66
2020-01-09,XAUUSD,-151832.61,1562.76,-97.16
2020-01-10,EURUSD,-6679.55,3246.55,-2.06
2020-01-10,GBPUSD,-20030.3,1461.87,-13.7
2020-01-10,USDJPY,-5084.41,359.58,-14.14
2020-01-10,XAUUSD,-35430.6,1436.46,-24.67
2020-01-11,EURUSD,-3872.19,20.1,-192.65
2020-01-11,GBPUSD,1992.13,29.78,66.89
2020-01-11,USDJPY,-36.45,9.69,-3.76
2020-01-11,XAUUSD,-11591.27,71.18,-162.84
2020-01-13,EURUSD,-10993.46,3347.9,-3.28
2020-01-13,GBPUSD,-52398.83,1974.81,-26.53
2020-01-13,USDJPY,-61874.92,461.37,-134.11
2020-01-13,XAUUSD,-30336.54,1086.65,-27.92
2020-01-14,EURUSD,-9410.28,3229.7,-2.91
2020-01-14,GBPUSD,-420.68,1782.97,-0.24
2020-01-14,USDJPY,-48580.27,509.74,-95.3
2020-01-14,XAUUSD,-109568.89,1267.61,-86.44
2020-01-15,EURUSD,-18493.67,4084.33,-4.53
2020-01-15,GBPUSD,6093.08,1524.43,4.0
2020-01-15,USDJPY,1884.11,292.44,6.44
2020-01-15,XAUUSD,-51599.36,1166.01,-44.25
2020-01-16,EURUSD,-17518.0,4019.36,-4.36
2020-01-16,GBPUSD,16430.4,1882.47,8.73
2020-01-16,USDJPY,-6047.01,269.06,-22.47
2020-01-16,XAUUSD,2199.28,1017.69,2.16
2020-01-17,EURUSD,-34714.24,2885.72,-12.03
2020-01-17,GBPUSD,17040.35,1925.4,8.85
2020-01-17,USDJPY,-8057.44,320.69,-25.13
2020-01-17,XAUUSD,955.0,1084.13,0.88
2020-01-18,EURUSD,-2771.11,18.55,-149.39
2020-01-18,GBPUSD,-9199.13,46.39,-198.3
2020-01-18,USDJPY,-94.12,3.31,-28.44
2020-01-18,XAUUSD,1038.69,16.71,62.16
2020-01-20,EURUSD,-29773.04,2452.25,-12.14
2020-01-20,GBPUSD,-54695.55,1549.03,-35.31
2020-01-20,USDJPY,-3194.59,137.2,-23.28
2020-01-20,XAUUSD,-28669.03,568.73,-50.41
2020-01-21,EURUSD,-4381.41,3826.37,-1.15
2020-01-21,GBPUSD,-6543.85,2422.22,-2.7
2020-01-21,USDJPY,15191.15,622.48,24.4
2020-01-21,XAUUSD,-123287.15,2273.27,-54.23
2020-01-22,EURUSD,-16594.22,4911.64,-3.38
2020-01-22,GBPUSD,-114900.32,2261.51,-50.81
2020-01-22,USDJPY,365.41,367.75,0.99
2020-01-22,XAUUSD,14946.44,1062.9,14.06
2020-01-23,EURUSD,-77021.92,4911.91,-15.68
2020-01-23,GBPUSD,-24257.99,1614.77,-15.02
2020-01-23,USDJPY,19362.28,606.76,31.91
2020-01-23,XAUUSD,3272.41,1885.45,1.74
2020-01-24,EURUSD,-69035.74,4493.39,-15.36
2020-01-24,GBPUSD,-14056.5,1895.13,-7.42
2020-01-24,USDJPY,6023.67,351.88,17.12
2020-01-24,XAUUSD,-4067.56,1926.29,-2.11
2020-01-25,EURUSD,-314.32,15.89,-19.78
2020-01-25,GBPUSD,5599.29,65.38,85.64
2020-01-25,USDJPY,142.65,1.29,110.58
2020-01-25,XAUUSD,545.5,18.5,29.49
2020-01-27,EURUSD,-57316.9,3754.42,-15.27
2020-01-27,GBPUSD,-24850.49,1896.65,-13.1
2020-01-27,USDJPY,2457.91,470.77,5.22
2020-01-27,XAUUSD,-152370.57,2059.72,-73.98
2020-01-28,EURUSD,-47510.08,5562.05,-8.54
2020-01-28,GBPUSD,-38282.45,2419.09,-15.83
2020-01-28,USDJPY,6488.07,426.56,15.21
2020-01-28,XAUUSD,-13078.87,1746.3,-7.49
2020-01-29,EURUSD,-25475.7,4504.01,-5.66
2020-01-29,GBPUSD,6533.58,1197.75,5.45
2020-01-29,USDJPY,4032.09,411.64,9.8
2020-01-29,XAUUSD,-44126.72,1794.58,-24.59
2020-01-30,EURUSD,-19741.17,3014.24,-6.55
2020-01-30,GBPUSD,8916.8,1980.45,4.5
2020-01-30,USDJPY,404.62,477.12,0.85
2020-01-30,XAUUSD,-17952.14,2321.51,-7.73
2020-01-31,EURUSD,-38688.36,4019.07,-9.63
2020-01-31,GBPUSD,-60126.94,1870.62,-32.14
2020-01-31,USDJPY,-10942.09,483.96,-22.61
2020-01-31,XAUUSD,-34550.27,2282.78,-15.14
2020-02-01,EURUSD,-8840.72,183.39,-48.21
2020-02-01,GBPUSD,-8970.75,31.01,-289.29
2020-02-01,USDJPY,-484.3,8.18,-59.21
2020-02-01,XAUUSD,-20480.49,43.89,-466.63
2020-02-03,EURUSD,644.19,2686.85,0.24
2020-02-03,GBPUSD,-53793.38,2606.03,-20.64
2020-02-03,USDJPY,3146.27,514.36,6.12
2020-02-03,XAUUSD,-60432.89,2242.46,-26.95
2020-02-04,EURUSD,-16743.29,2058.83,-8.13
2020-02-04,GBPUSD,-38713.26,2365.61,-16.37
2020-02-04,USDJPY,-9662.97,515.07,-18.76
2020-02-04,XAUUSD,-215525.78,2528.94,-85.22
2020-02-05,EURUSD,-65535.35,2796.51,-23.43
2020-02-05,GBPUSD,-33365.96,2326.61,-14.34
2020-02-05,USDJPY,-7470.5,424.13,-17.61
2020-02-05,XAUUSD,-26222.98,2127.94,-12.32
2020-02-06,EURUSD,-105369.57,3064.32,-34.39
2020-02-06,GBPUSD,-91736.15,2244.12,-40.88
2020-02-06,USDJPY,-10054.27,354.17,-28.39
2020-02-06,XAUUSD,-33781.02,1851.27,-18.25
2020-02-07,EURUSD,-219833.85,3045.05,-72.19
2020-02-07,GBPUSD,-82709.39,2062.63,-40.1
2020-02-07,USDJPY,372.46,560.35,0.66
2020-02-07,XAUUSD,-37476.96,2114.37,-17.72
2020-02-08,EURUSD,-3910.99,18.12,-215.84
2020-02-08,GBPUSD,381.13,7.06,53.98
2020-02-08,USDJPY,25.34,3.47,7.3
2020-02-08,XAUUSD,143.12,13.44,10.65
2020-02-10,EURUSD,-306254.52,2933.47,-104.4
2020-02-10,GBPUSD,-69735.83,1735.87,-40.17
2020-02-10,USDJPY,-296.98,416.63,-0.71
2020-02-10,XAUUSD,-8446.53,1504.35,-5.61
2020-02-11,EURUSD,-97487.71,3085.54,-31.6
2020-02-11,GBPUSD,-5472.55,2043.69,-2.68
2020-02-11,USDJPY,-3504.97,419.64,-8.35
2020-02-11,XAUUSD,42272.1,2155.4,19.61
2020-02-12,EURUSD,-189614.91,3650.77,-51.94
2020-02-12,GBPUSD,-12558.52,1439.46,-8.72
2020-02-12,USDJPY,-7228.32,424.02,-17.05
2020-02-12,XAUUSD,35768.15,1389.01,25.75
2020-02-13,EURUSD,-320957.73,3965.81,-80.93
2020-02-13,GBPUSD,-79382.43,2171.74,-36.55
2020-02-13,USDJPY,7634.12,536.41,14.23
2020-02-13,XAUUSD,-44792.31,1828.73,-24.49
2020-02-14,EURUSD,-88856.14,2630.1,-33.78
2020-02-14,GBPUSD,-5262.63,1338.41,-3.93
2020-02-14,USDJPY,-332.15,268.15,-1.24
2020-02-14,XAUUSD,-81988.32,1485.64,-55.19
2020-02-15,EURUSD,-6184.28,120.15,-51.47
2020-02-15,GBPUSD,-1246.37,24.68,-50.5
2020-02-15,USDJPY,-144.95,4.22,-34.35
2020-02-15,XAUUSD,-21908.58,51.62,-424.42
2020-02-17,EURUSD,-23015.19,2115.4,-10.88
2020-02-17,GBPUSD,-2584.56,873.71,-2.96
2020-02-17,USDJPY,-2125.98,191.81,-11.08
2020-02-17,XAUUSD,-644.9,613.28,-1.05
2020-02-18,EURUSD,-531271.68,4211.16,-126.16
2020-02-18,GBPUSD,-14540.3,1956.53,-7.43
2020-02-18,USDJPY,-352.65,413.83,-0.85
2020-02-18,XAUUSD,-548763.97,2300.81,-238.51
2020-02-19,EURUSD,-87166.76,3171.83,-27.48
2020-02-19,GBPUSD,-47067.82,1920.42,-24.51
2020-02-19,USDJPY,-151819.04,1095.48,-138.59
2020-02-19,XAUUSD,-275003.13,1755.91,-156.62
2020-02-20,EURUSD,-38991.4,3967.22,-9.83
2020-02-20,GBPUSD,-97944.4,1630.59,-60.07
2020-02-20,USDJPY,-80935.49,1243.83,-65.07
2020-02-20,XAUUSD,-394146.17,1961.23,-200.97
2020-02-21,EURUSD,-34854.66,3454.09,-10.09
2020-02-21,GBPUSD,-6215.14,1447.93,-4.29
2020-02-21,USDJPY,-18541.23,742.97,-24.96
2020-02-21,XAUUSD,-344789.93,2779.78,-124.03
2020-02-22,EURUSD,-1045.62,19.91,-52.52
2020-02-22,GBPUSD,-951.65,19.19,-49.59
2020-02-22,USDJPY,16.87,6.23,2.71
2020-02-22,XAUUSD,334.76,10.49,31.91
2020-02-24,EURUSD,-41049.96,4560.37,-9.0
2020-02-24,GBPUSD,-11147.99,1184.53,-9.41
2020-02-24,USDJPY,-4167.49,742.84,-5.61
2020-02-24,XAUUSD,-502345.73,4115.69,-122.06
2020-02-25,EURUSD,26616.03,4062.61,6.55
2020-02-25,GBPUSD,7297.54,1577.52,4.63
2020-02-25,USDJPY,-3903.59,708.99,-5.51
2020-02-25,XAUUSD,-120318.24,3017.53,-39.87
2020-02-26,EURUSD,41900.85,4138.09,10.13
2020-02-26,GBPUSD,-2279.27,1545.7,-1.47
2020-02-26,USDJPY,6181.39,707.91,8.73
2020-02-26,XAUUSD,-27444.27,2440.62,-11.24
2020-02-27,EURUSD,931.3,5065.6,0.18
2020-02-27,GBPUSD,-42130.79,2291.23,-18.39
2020-02-27,USDJPY,9690.46,942.92,10.28
2020-02-27,XAUUSD,-82741.01,2612.19,-31.67
2020-02-28,EURUSD,-164943.31,4259.38,-38.72
2020-02-28,GBPUSD,-119692.51,2027.96,-59.02
2020-02-28,USDJPY,-52825.75,965.48,-54.71
2020-02-28,XAUUSD,-281686.33,3846.06,-73.24
2020-02-29,EURUSD,-3436.19,56.88,-60.41
