date,symbol,volume,profit,PnL_per_lot,hour,day
2020-01-02 00:00:00,EURUSD,34.02,-2614.08,-76.84,00:00:00,2020-01-02
2020-01-02 00:00:00,GBPUSD,17.66,-1124.92,-63.7,00:00:00,2020-01-02
2020-01-02 00:00:00,USDJPY,4.4,2.61,0.59,00:00:00,2020-01-02
2020-01-02 00:00:00,XAUUSD,14.06,-193.57,-13.77,00:00:00,2020-01-02
2020-01-02 04:00:00,EURUSD,101.92,-21.24,-0.21,04:00:00,2020-01-02
2020-01-02 04:00:00,GBPUSD,69.16,881.66,12.75,04:00:00,2020-01-02
2020-01-02 04:00:00,USDJPY,13.12,499.44,38.07,04:00:00,2020-01-02
2020-01-02 04:00:00,XAUUSD,11.65,237.99,20.43,04:00:00,2020-01-02
2020-01-02 08:00:00,EURUSD,189.51,-88.15,-0.47,08:00:00,2020-01-02
2020-01-02 08:00:00,GBPUSD,125.23,1717.36,13.71,08:00:00,2020-01-02
2020-01-02 08:00:00,USDJPY,19.6,669.99,34.18,08:00:00,2020-01-02
2020-01-02 08:00:00,XAUUSD,36.24,51.97,1.43,08:00:00,2020-01-02
2020-01-02 12:00:00,EURUSD,165.84,-659.96,-3.98,12:00:00,2020-01-02
2020-01-02 12:00:00,GBPUSD,138.88,-115.51,-0.83,12:00:00,2020-01-02
2020-01-02 12:00:00,USDJPY,8.73,68.73,7.87,12:00:00,2020-01-02
2020-01-02 12:00:00,XAUUSD,45.2,265.71,5.88,12:00:00,2020-01-02
2020-01-02 16:00:00,EURUSD,319.74,7043.94,22.03,16:00:00,2020-01-02
2020-01-02 16:00:00,GBPUSD,253.53,565.17,2.23,16:00:00,2020-01-02
2020-01-02 16:00:00,USDJPY,26.97,768.55,28.5,16:00:00,2020-01-02
2020-01-02 16:00:00,XAUUSD,79.19,-1407.29,-17.77,16:00:00,2020-01-02
2020-01-02 20:00:00,EURUSD,9.49,215.15,22.67,20:00:00,2020-01-02
2020-01-02 20:00:00,GBPUSD,19.93,169.4,8.5,20:00:00,2020-01-02
2020-01-02 20:00:00,USDJPY,2.71,84.93,31.34,20:00:00,2020-01-02
