day,symbol_name,profit,volume,PnL/Lot
1/2/2020,XAUUSD,-109918.23,1374.82,-79.951
1/3/2020,XAUUSD,-451752.19,2317.49,-194.931666
1/6/2020,XAUUSD,-89979.68,2125.13,-42.340789
1/7/2020,XAUUSD,-211276.29,1964.61,-107.541086
1/8/2020,XAUUSD,-352300.5,3239.59,-108.748485
1/9/2020,XAUUSD,-150256.65,1534.88,-97.894723
1/10/2020,XAUUSD,-45527.13,1473.47,-30.897899
1/13/2020,XAUUSD,-40706.55,1100.05,-37.004274
1/14/2020,XAUUSD,-96624.86,1257.44,-76.842519
1/15/2020,XAUUSD,-48546.5,1137.12,-42.6925
1/16/2020,XAUUSD,6270.43,1027.85,6.100526
1/17/2020,XAUUSD,936.62,1069.6,0.875669
1/20/2020,XAUUSD,-31066.14,555.73,-55.901495
1/21/2020,XAUUSD,-12340413,2284.58,-54.016111
1/22/2020,XAUUSD,-2216.51,1152.37,-1.923437
1/23/2020,XAUUSD,22522,1804.39,12.481783
1/24/2020,XAUUSD,-4340.65,1909.66,-2.272995
1/27/2020,XAUUSD,40400.92,1826.77,22.116043
1/28/2020,XAUUSD,-24334.35,1790.06,-13.594151
1/29/2020,XAUUSD,-28620.83,1766.01,-16.206492
1/30/2020,XAUUSD,-8697.13,2382.23,-3.650837
1/31/2020,XAUUSD,-70295.25,2216.36,-31.71653
2/3/2020,XAUUSD,-23933.4,2177.59,-10.990776
2/4/2020,XAUUSD,-213946.22,2591.45,-82.558497
2/5/2020,XAUUSD,-27096.76,2057.94,-13.166933
2/6/2020,XAUUSD,-34292.64,1835.25,-18.685541
2/7/2020,XAUUSD,-37286.57,2113.61,-17.641177
2/10/2020,XAUUSD,15737.42,1419.36,11.087691
2/11/2020,XAUUSD,40784.21,2151.6,18.955293
2/12/2020,XAUUSD,34320.41,1420.65,24.158243
2/13/2020,XAUUSD,-46620.82,1783.82,-26.135382
2/14/2020,XAUUSD,-101672.77,1502.58,-67.665462
2/17/2020,XAUUSD,-12957.13,678.95,-19.084067
2/18/2020,XAUUSD,-544262.02,2215.51,-245.659927
2/19/2020,XAUUSD,-267715.1,1791.34,-149.449628
2/20/2020,XAUUSD,-397021.14,1944.71,-204.154418
2/21/2020,XAUUSD,-340311.2,2743.67,-124.035034
2/24/2020,XAUUSD,-159785.9,3878.13,-41.201791
2/25/2020,XAUUSD,-124329.16,3004.18,-41.385391
2/26/2020,XAUUSD,-10318.26,2423.93,-4.256829
2/27/2020,XAUUSD,-108453.21,2646.71,-40.976611
2/28/2020,XAUUSD,-269709.62,3778.57,-71.378755
3/2/2020,XAUUSD,-70928.93,2725.59,-26.02333
3/3/2020,XAUUSD,-512689.59,2962.2,-173.077303
3/4/2020,XAUUSD,-18268.26,2305.42,-7.924049
3/5/2020,XAUUSD,-178910.89,2651.58,-67.473315
3/6/2020,XAUUSD,-250562.31,3788.71,-66.133938
3/9/2020,XAUUSD,18085.68,3470.76,5.21087
3/10/2020,XAUUSD,-22007.93,2535.97,-8.678309
3/11/2020,XAUUSD,-146569.49,2557.06,-57.319535
3/12/2020,XAUUSD,-754399.69,3566.19,-211.542202
3/13/2020,XAUUSD,-271838.26,3519.19,-77.244553
3/16/2020,XAUUSD,-243461.35,2788.41,-87.311892
3/17/2020,XAUUSD,-179111.75,2378.75,-75.296585
3/18/2020,XAUUSD,-132720.03,5418.16,-24.495406
3/19/2020,XAUUSD,-75030.78,2173.93,-34.513889
3/20/2020,XAUUSD,-85744.06,1265.21,-67.770616
3/23/2020,XAUUSD,-232407.14,1584.36,-146.688341
3/24/2020,XAUUSD,-389148.4,764.92,-508.743923
3/25/2020,XAUUSD,63511.16,835.57,76.009388
3/26/2020,XAUUSD,-63035.99,1449.2,-43.497098
3/27/2020,XAUUSD,1967.76,318.08,6.186361
3/30/2020,XAUUSD,618.52,245.75,2.516859
3/31/2020,XAUUSD,-67761.73,526.97,-128.587462
4/1/2020,XAUUSD,131.23,436.56,0.300598
4/2/2020,XAUUSD,-61823.15,605.5,-102.102645
4/3/2020,XAUUSD,-21999.82,432.67,-50.846649
4/6/2020,XAUUSD,-170552.41,686.28,-248.517244
4/7/2020,XAUUSD,-18660.26,515.51,-36.197674
4/8/2020,XAUUSD,22768.92,516.69,44.066888
4/9/2020,XAUUSD,-93624.04,888.66,-105.354177
4/13/2020,XAUUSD,-190146.76,720.1,-264.056047
4/14/2020,XAUUSD,-131792.42,1156.92,-113.916621
4/15/2020,XAUUSD,-26651.11,705.42,-37.780482
4/16/2020,XAUUSD,-29919.75,878.01,-34.076771
4/17/2020,XAUUSD,37350.49,937.43,39.8435
4/20/2020,XAUUSD,48144.55,1648.65,29.202406
4/21/2020,XAUUSD,-32563.53,621.53,-52.392527
4/22/2020,XAUUSD,-101968.85,541.54,-188.294222
4/23/2020,XAUUSD,-116317.62,633.04,-183.744502
4/24/2020,XAUUSD,10469.86,987.63,10.600993
4/27/2020,XAUUSD,33424.26,928.71,35.989989
4/28/2020,XAUUSD,11255.55,1476.63,7.62246
4/29/2020,XAUUSD,20933.94,1185.21,17.662638
4/30/2020,XAUUSD,-155604.9,1640.36,-94.860216
5/1/2020,XAUUSD,-151374.53,1217.14,-124.369041
5/4/2020,XAUUSD,15824.39,1017.32,15.554974
5/5/2020,XAUUSD,44429.22,1046.84,42.441268
5/6/2020,XAUUSD,29566.87,1317.77,22.437053
5/7/2020,XAUUSD,-188980.63,1565.57,-120.710432
5/8/2020,XAUUSD,-5473.79,1599.72,-3.421717
5/11/2020,XAUUSD,36597.49,1472,24.862428
5/12/2020,XAUUSD,67443.37,1388.62,48.568632
5/13/2020,XAUUSD,40182.79,1589.03,25.287622
5/14/2020,XAUUSD,-227420.34,1792.89,-126.845676
5/15/2020,XAUUSD,-223748.46,2053,-108.986096
5/18/2020,XAUUSD,-165084.71,2093.47,-78.856975
5/19/2020,XAUUSD,-53517.67,1441.28,-37.132041
5/20/2020,XAUUSD,16141.1,1591.34,10.143086
5/21/2020,XAUUSD,22374.49,1957.59,11.429612
5/22/2020,XAUUSD,3943.84,1510.43,2.611071
5/25/2020,XAUUSD,15704.26,1237.83,12.686926
5/26/2020,XAUUSD,-72156.24,2294.63,-31.445699
5/27/2020,XAUUSD,-158460.53,2235.49,-70.884023
5/28/2020,XAUUSD,-19118.15,1985.2,-9.630341
5/29/2020,XAUUSD,-35210.76,1609.26,-21.880093
6/1/2020,XAUUSD,-21680.27,1745.86,-12.418104
6/2/2020,XAUUSD,-65395.32,1739.15,-37.601889
6/3/2020,XAUUSD,-223843.04,2025.98,-110.486304
6/4/2020,XAUUSD,-33258.16,1544.43,-21.53426
6/5/2020,XAUUSD,-186280.68,2175.56,-85.624242
6/8/2020,XAUUSD,20845.47,1616.71,12.89376
6/9/2020,XAUUSD,-172390.09,2036.78,-84.638542
6/10/2020,XAUUSD,-193637.48,2386.69,-81.13223
6/11/2020,XAUUSD,34069.11,2018.13,16.881522
6/12/2020,XAUUSD,52700.35,1438.84,36.62697
6/15/2020,XAUUSD,-12641.57,2002.49,-6.312927
6/16/2020,XAUUSD,118341.38,2174.79,54.415083
6/17/2020,XAUUSD,56492.12,1976.78,28.577847
6/18/2020,XAUUSD,25647.18,1814.56,14.134106
6/19/2020,XAUUSD,-65842.24,1535.81,-42.871343
6/22/2020,XAUUSD,-139739.22,2403.61,-58.137225
6/23/2020,XAUUSD,-275993.87,1920.44,-143.713874
6/24/2020,XAUUSD,-262286.6,2668.97,-98.272591
6/25/2020,XAUUSD,37363.49,1622.23,23.032179
6/26/2020,XAUUSD,-34313.48,2155.31,-15.920439
6/29/2020,XAUUSD,64365.51,1546.92,41.608818
6/30/2020,XAUUSD,-108270.72,2648.65,-40.8777
7/1/2020,XAUUSD,-56375.7,3206.57,-17.581311
7/2/2020,XAUUSD,58486.37,2390.43,24.466883
7/3/2020,XAUUSD,-41000.53,708.5,-57.869492
7/6/2020,XAUUSD,73892.33,2479.17,29.805271
7/7/2020,XAUUSD,-262097.13,2602.64,-100.704336
7/8/2020,XAUUSD,-1059592.18,3195.11,-331.629329
7/9/2020,XAUUSD,-109575.4,2728.76,-40.155747
7/10/2020,XAUUSD,20413.19,1867.78,10.929119
7/13/2020,XAUUSD,80948.07,2141.73,37.795645
7/14/2020,XAUUSD,64317.53,2165.65,29.698948
7/15/2020,XAUUSD,47375.55,2160.31,21.929976
7/16/2020,XAUUSD,20479.97,2289.05,8.946931
7/17/2020,XAUUSD,66686.14,2167.17,30.771072
7/20/2020,XAUUSD,-185634.68,2222.77,-83.51502
7/21/2020,XAUUSD,-1605311.6,3577.01,-448.785885
7/22/2020,XAUUSD,-759229.29,3152.29,-240.850078
7/23/2020,XAUUSD,-144153.42,3359.46,-42.909701
7/24/2020,XAUUSD,134730.35,2159.92,62.377473
7/27/2020,XAUUSD,97907.55,4691.83,20.867668
7/28/2020,XAUUSD,-894005.26,4724.23,-189.238301
7/29/2020,XAUUSD,-3605.08,3278.64,-1.099567
7/30/2020,XAUUSD,-95597.54,2982.11,-32.057012
7/31/2020,XAUUSD,164722.18,3159.1,52.142124
8/3/2020,XAUUSD,29022.04,2639.31,10.99607
8/4/2020,XAUUSD,-733231.61,4759.31,-154.062586
8/5/2020,XAUUSD,-423898.83,4226.74,-100.289782
8/6/2020,XAUUSD,149556.91,4235.52,35.310165
8/7/2020,XAUUSD,-512497.64,4545.63,-112.745128
8/10/2020,XAUUSD,-144869.86,3141.94,-46.108409
8/11/2020,XAUUSD,-1163598.67,6223.6,-186.96553
8/12/2020,XAUUSD,-580223.08,5062,-114.623286
8/13/2020,XAUUSD,-447718.71,3675.79,-121.802036
8/14/2020,XAUUSD,-87374.96,2536.03,-34.453442
8/17/2020,XAUUSD,-216544.7,3694.38,-58.614625
8/18/2020,XAUUSD,-166771.14,4738.38,-35.195814
8/19/2020,XAUUSD,-587576.72,4723.57,-124.392507
8/20/2020,XAUUSD,-142706,3550.34,-40.195025
8/21/2020,XAUUSD,-199487.7,3214.38,-62.06102
8/24/2020,XAUUSD,-101220.38,3223.6,-31.399794
8/25/2020,XAUUSD,3515.63,3506.94,1.002478
8/26/2020,XAUUSD,-306311.83,4996.98,-61.29939
8/27/2020,XAUUSD,-130953.57,5323.01,-24.601413
8/28/2020,XAUUSD,-79235.85,4226.29,-18.748322
8/31/2020,XAUUSD,-12050.7,4188.47,-2.877114
9/1/2020,XAUUSD,-201934.91,5112.77,-39.496184
9/2/2020,XAUUSD,-304002.23,5402.61,-56.269511
9/3/2020,XAUUSD,-160127.66,5024.13,-31.871719
9/4/2020,XAUUSD,-6788.26,4912.98,-1.3817
9/7/2020,XAUUSD,10310.7,2607.15,3.954777
9/8/2020,XAUUSD,-234836.84,6493.19,-36.166636
9/9/2020,XAUUSD,-44462.55,4509.84,-9.859008
9/10/2020,XAUUSD,-164036.58,4886.61,-33.568584
9/11/2020,XAUUSD,12354.28,3865.27,3.196228
9/14/2020,XAUUSD,6792.61,4281.39,1.586543
9/15/2020,XAUUSD,-97425.49,5081.94,-19.170925
9/16/2020,XAUUSD,153982.74,5811.66,26.495483
9/17/2020,XAUUSD,32287.59,4852.24,6.654163
9/18/2020,XAUUSD,76070.89,3915.12,19.430027
9/21/2020,XAUUSD,-1647019.06,6944.99,-237.152113
9/22/2020,XAUUSD,-163217.33,5092.95,-32.047698
9/23/2020,XAUUSD,-492387.59,6383.41,-77.13551
9/24/2020,XAUUSD,-84862.45,5862.99,-14.474261
9/25/2020,XAUUSD,17837.8,4144.99,4.303461
9/28/2020,XAUUSD,-82124.54,5354.32,-15.337996
9/29/2020,XAUUSD,-264805.44,5328.94,-49.691953
9/30/2020,XAUUSD,75772.37,6168.93,12.282903
10/1/2020,XAUUSD,-48479.61,5066.59,-9.568489
10/2/2020,XAUUSD,129025.22,6112.07,21.109906
10/5/2020,XAUUSD,-265921.15,5380.41,-49.423956
10/6/2020,XAUUSD,-174963.1,6467.06,-27.054503
10/7/2020,XAUUSD,46398.48,5163.6,8.985685
10/8/2020,XAUUSD,160389.85,5284.75,30.349562
10/9/2020,XAUUSD,-1000570.84,5512.94,-181.494962
10/12/2020,XAUUSD,45125.44,3955.53,11.408191
10/13/2020,XAUUSD,-438094.52,6352.56,-68.96346
10/14/2020,XAUUSD,-42523.14,4640.93,-9.162632
10/15/2020,XAUUSD,146322.45,4973.03,29.423199
10/16/2020,XAUUSD,78450.41,4058.85,19.328235
10/19/2020,XAUUSD,55573.92,5402.11,10.287448
10/20/2020,XAUUSD,323403.61,6698.61,48.279212
10/21/2020,XAUUSD,-456013.28,6875.38,-66.325539
10/22/2020,XAUUSD,-80257.14,6439.08,-12.46407
10/23/2020,XAUUSD,208123.37,5955.41,34.946942
10/26/2020,XAUUSD,378894.04,6876.76,55.097755
10/27/2020,XAUUSD,379556.2,8121.14,46.736813
10/28/2020,XAUUSD,-1327262.39,10058.92,-131.948797
10/29/2020,XAUUSD,-694435.19,5853.84,-118.629001
10/30/2020,XAUUSD,-7578.41,6459.77,-1.17317
11/2/2020,XAUUSD,-25636.87,5979.01,-4.287811
11/3/2020,XAUUSD,-510763.53,7012.58,-72.835323
11/4/2020,XAUUSD,333765.08,8068.83,41.364743
11/5/2020,XAUUSD,-1229409.09,7728.74,-159.069795
11/6/2020,XAUUSD,-351883.05,6029.84,-58.356946
11/9/2020,XAUUSD,-598754.03,9527.26,-62.846404
11/10/2020,XAUUSD,5023.03,4854.01,1.03482
11/11/2020,XAUUSD,-105314.87,4156.62,-25.33666
11/12/2020,XAUUSD,53672.83,4728.98,11.34977
11/13/2020,XAUUSD,-154998.2,4746.26,-32.656912
11/16/2020,XAUUSD,-83593.09,5995.88,-13.941754
11/17/2020,XAUUSD,97086.1,4293.44,22.612661
11/18/2020,XAUUSD,-29261.95,5468.27,-5.351227
11/19/2020,XAUUSD,-66529.62,5381.29,-12.363136
11/20/2020,XAUUSD,13901.73,4664.54,2.980301
11/23/2020,XAUUSD,-777806.76,5995.41,-129.733706
11/24/2020,XAUUSD,-1420044.3,6371.64,-222.869513
11/25/2020,XAUUSD,-22983.19,4088.07,-5.622015
11/26/2020,XAUUSD,53588.15,2909.35,18.419284
11/27/2020,XAUUSD,-1430698.95,5513.94,-259.469444
11/30/2020,XAUUSD,-360915.81,5313.37,-67.925971
12/1/2020,XAUUSD,-817475.17,5385.63,-151.788215
12/2/2020,XAUUSD,-371089.56,4288.19,-86.537574
12/3/2020,XAUUSD,-257952.86,4171.81,-61.832361
12/4/2020,XAUUSD,-108295.34,3980.64,-27.20551
12/7/2020,XAUUSD,-406155.32,5010.49,-81.060997
12/8/2020,XAUUSD,-136265.03,3848.69,-35.405561
12/9/2020,XAUUSD,3239.61,6257.35,0.517728
12/10/2020,XAUUSD,12889.52,5487.89,2.348721
12/11/2020,XAUUSD,-60282.72,4924.39,-12.241663
12/14/2020,XAUUSD,-88820.66,5720.73,-15.526107
12/15/2020,XAUUSD,-650157.27,5646.87,-115.135866
12/16/2020,XAUUSD,-257970.06,6395.7,-40.334923
12/17/2020,XAUUSD,-720512.95,7147.76,-100.802622
12/18/2020,XAUUSD,16776.43,5271.8,3.182297
12/21/2020,XAUUSD,-464538.04,7769.98,-59.786259
12/22/2020,XAUUSD,-42441.1,6122.15,-6.932384
12/23/2020,XAUUSD,16683.78,5788.43,2.882263
12/24/2020,XAUUSD,-6221.27,4004.67,-1.553504
12/28/2020,XAUUSD,23154.26,6968.33,3.322785
12/29/2020,XAUUSD,227748.05,5917.3,38.488508
12/30/2020,XAUUSD,114100.03,5871.76,19.431998
12/31/2020,XAUUSD,112423.69,6183.06,18.182532
1/4/2021,XAUUSD,-892648.59,9059.73,-98.529271
1/5/2021,XAUUSD,89556.85,9310.41,9.619002
1/6/2021,XAUUSD,-433524.42,13255.62,-32.704952
1/7/2021,XAUUSD,172859.93,7976.9,21.670064
1/8/2021,XAUUSD,-1932441.69,12783.78,-151.163559
1/11/2021,XAUUSD,-304485.46,8544.8,-35.634006
1/12/2021,XAUUSD,-118603.26,8692.32,-13.644604
1/13/2021,XAUUSD,120403.46,7736.99,15.562054
1/14/2021,XAUUSD,-2619.63,8665.02,-0.302322
1/15/2021,XAUUSD,63449.17,10663.79,5.949964
1/18/2021,XAUUSD,-20251.55,9266.59,-2.185437
1/19/2021,XAUUSD,157684.87,11767.78,13.399713
1/20/2021,XAUUSD,-620909.3,15546.57,-39.938668
1/21/2021,XAUUSD,33486.88,10042.9,3.334383
1/22/2021,XAUUSD,-200699.48,12368.23,-16.227017
1/25/2021,XAUUSD,103879.48,14085.28,7.375038
