day,symbol,spread
7/29/2022,XAUUSD.fix,0.8
8/7/2022,XAGUSD.fix,0.06
8/11/2022,NZDUSD.fix,0.0004
8/31/2022,EURGBP.fix,0.0003
9/5/2022,XAGUSD.fix,0.06
9/8/2022,GBPJPY.fix,0.08
9/9/2022,NZDUSD.fix,0.0004
9/27/2022,EURJPY.fix,0.04
10/6/2022,EURGBP.fix,0.0003
11/22/2022,GBPJPY.fix,0.08
11/27/2022,AUDUSD.fix,0.0004
12/1/2022,GBPJPY.fix,0.08
12/1/2022,XAUUSD.fix,0.8
12/8/2022,XAGUSD.fix,0.06
12/11/2022,AUDUSD.fix,0.0004
12/20/2022,NZDUSD.fix,0.0004
7/31/2022,EURUSD.fix,0.0002
8/18/2022,GBPJPY.fix,0.08
8/26/2022,AUDUSD.fix,0.0004
9/23/2022,XAUUSD.fix,0.8
9/25/2022,EURUSD.fix,0.0002
9/25/2022,XAGUSD.fix,0.06
10/4/2022,XAGUSD.fix,0.06
11/4/2022,GBPJPY.fix,0.08
11/13/2022,USDJPY.fix,0.03
11/15/2022,USDCAD.fix,0.0004
11/16/2022,AUDUSD.fix,0.0004
11/27/2022,XAGUSD.fix,0.06
12/11/2022,XAGUSD.fix,0.06
12/15/2022,NZDUSD.fix,0.0004
1/25/2023,TRXUSD,0.00024
2/20/2023,TWTUSD,0.00183
8/7/2022,USDJPY.fix,0.03
8/15/2022,USDCAD.fix,0.0004
8/25/2022,GBPJPY.fix,0.08
8/31/2022,EURUSD.fix,0.0002
9/8/2022,NZDUSD.fix,0.0004
9/13/2022,EURUSD.fix,0.0002
9/14/2022,XAUUSD.fix,0.8
9/22/2022,USDJPY.fix,0.03
9/25/2022,USDJPY.fix,0.03
9/30/2022,USDCHF.fix,0.0004
10/3/2022,USDCHF.fix,0.0004
10/17/2022,GBPJPY.fix,0.08
10/27/2022,EURJPY.fix,0.04
11/14/2022,USDCAD.fix,0.0004
11/24/2022,XAGUSD.fix,0.06
11/25/2022,USDCHF.fix,0.0004
12/2/2022,GBPUSD.fix,0.0003
12/2/2022,XAUUSD.fix,0.8
12/6/2022,NZDUSD.fix,0.0004
12/10/2022,XRPUSD.test,0.00103
12/13/2022,GBPJPY.fix,0.08
12/19/2022,EURUSD.fix,0.0002
12/22/2022,USDCAD.fix,0.0004
1/5/2023,XRPUSD.test,0.00102
8/14/2022,EURUSD.fix,0.0002
8/16/2022,EURGBP.fix,0.0003
8/18/2022,NZDUSD.fix,0.0004
8/21/2022,EURGBP.fix,0.0003
8/26/2022,USDJPY.fix,0.03
8/29/2022,USDJPY.fix,0.03
9/11/2022,AUDUSD.fix,0.0004
9/11/2022,EURUSD.fix,0.0002
9/13/2022,AUDUSD.fix,0.0004
9/27/2022,EURGBP.fix,0.0003
10/2/2022,EURGBP.fix,0.0003
10/4/2022,NZDUSD.fix,0.0004
10/30/2022,USDCHF.fix,0.0004
11/1/2022,USDJPY.fix,0.03
11/3/2022,EURGBP.fix,0.0003
11/9/2022,XAUUSD.fix,0.8
11/20/2022,EURGBP.fix,0.0003
12/6/2022,GBPUSD.fix,0.0003
12/12/2022,GBPJPY.fix,0.08
12/20/2022,XRPUSD.test,0.00091
12/21/2022,AUDUSD.fix,0.0004
12/26/2022,XRPUSD.test,0.00102
1/20/2023,XRPUSD.test,0.00102
8/8/2022,EURGBP.fix,0.0003
8/17/2022,AUDUSD.fix,0.0004
8/22/2022,GBPUSD.fix,0.0003
8/24/2022,AUDUSD.fix,0.0004
9/4/2022,NZDUSD.fix,0.0004
9/7/2022,XAUUSD.fix,0.8
9/27/2022,USDJPY.fix,0.03
9/29/2022,EURUSD.fix,0.0002
9/29/2022,XAUUSD.fix,0.8
10/5/2022,USDCAD.fix,0.0004
10/6/2022,GBPJPY.fix,0.08
10/7/2022,GBPJPY.fix,0.08
10/11/2022,NZDUSD.fix,0.0004
10/18/2022,XAGUSD.fix,0.06
11/3/2022,EURUSD.fix,0.0002
11/3/2022,XAUUSD.fix,0.8
11/7/2022,EURGBP.fix,0.0003
11/9/2022,AUDUSD.fix,0.0004
11/10/2022,EURJPY.fix,0.04
12/13/2022,XRPUSD.test,0.00091
8/2/2022,XAGUSD.fix,0.06
8/17/2022,EURUSD.fix,0.0002
8/22/2022,USDJPY.fix,0.03
10/25/2022,EURGBP.fix,0.0003
10/30/2022,EURJPY.fix,0.04
10/31/2022,GBPJPY.fix,0.08
11/23/2022,USDCHF.fix,0.0004
12/4/2022,XAGUSD.fix,0.06
12/5/2022,NZDUSD.fix,0.0004
12/7/2022,EURUSD.fix,0.0002
1/9/2023,XRPUSD.test,0.00102
7/31/2022,AUDUSD.fix,0.0004
8/25/2022,EURGBP.fix,0.0003
9/21/2022,GBPJPY.fix,0.08
9/22/2022,USDCAD.fix,0.0004
9/26/2022,EURJPY.fix,0.04
10/5/2022,USDCHF.fix,0.0004
10/12/2022,XAUUSD.fix,0.8
10/16/2022,EURJPY.fix,0.04
10/18/2022,USDCAD.fix,0.0004
11/17/2022,USDCHF.fix,0.0004
12/1/2022,USDCHF.fix,0.0004
12/4/2022,AUDUSD.fix,0.0004
2/27/2023,XRPUSD.test,0.00102
8/9/2022,NZDUSD.fix,0.0004
9/2/2022,AUDUSD.fix,0.0004
9/6/2022,NZDUSD.fix,0.0004
9/7/2022,EURGBP.fix,0.0003
9/15/2022,NZDUSD.fix,0.0004
10/12/2022,AUDUSD.fix,0.0004
10/13/2022,USDCAD.fix,0.0004
10/25/2022,GBPJPY.fix,0.08
10/25/2022,USDJPY.fix,0.03
11/8/2022,USDCAD.fix,0.0004
11/24/2022,USDCAD.fix,0.0004
11/25/2022,XAUUSD.fix,0.8
11/28/2022,AUDUSD.fix,0.0004
12/2/2022,XAGUSD.fix,0.06
12/5/2022,GBPJPY.fix,0.08
12/8/2022,GBPUSD.fix,0.0003
12/14/2022,EURJPY.fix,0.04
2/22/2023,XRPUSD.test,0.00102
8/3/2022,USDCAD.fix,0.0004
8/11/2022,GBPJPY.fix,0.08
8/11/2022,XAGUSD.fix,0.06
8/23/2022,GBPJPY.fix,0.08
8/25/2022,EURUSD.fix,0.0002
8/31/2022,XAGUSD.fix,0.06
9/1/2022,USDCAD.fix,0.0004
9/6/2022,EURJPY.fix,0.04
9/8/2022,USDCAD.fix,0.0004
9/9/2022,USDJPY.fix,0.03
9/11/2022,USDCHF.fix,0.0004
10/25/2022,USDCAD.fix,0.0004
10/26/2022,XAUUSD.fix,0.8
11/3/2022,USDCHF.fix,0.0004
11/7/2022,NZDUSD.fix,0.0004
11/13/2022,GBPJPY.fix,0.08
11/13/2022,XAGUSD.fix,0.06
11/21/2022,XAUUSD.fix,0.8
11/22/2022,XAGUSD.fix,0.06
11/24/2022,NZDUSD.fix,0.0004
11/30/2022,AUDUSD.fix,0.0004
12/14/2022,USDCAD.fix,0.0004
12/19/2022,XAGUSD.fix,0.06
2/20/2023,TRXUSD,0.00024
8/3/2022,AUDUSD.fix,0.0004
8/5/2022,EURUSD.fix,0.0002
8/9/2022,EURUSD.fix,0.0002
8/18/2022,XAUUSD.fix,0.8
8/19/2022,EURJPY.fix,0.04
8/19/2022,GBPJPY.fix,0.08
8/29/2022,EURJPY.fix,0.04
9/30/2022,XAUUSD.fix,0.8
10/4/2022,EURUSD.fix,0.0002
10/7/2022,XAGUSD.fix,0.06
10/13/2022,NZDUSD.fix,0.0004
10/28/2022,NZDUSD.fix,0.0004
11/1/2022,EURGBP.fix,0.0003
11/24/2022,EURUSD.fix,0.0002
11/25/2022,NZDUSD.fix,0.0004
11/27/2022,XAUUSD.fix,0.8
12/9/2022,XAUUSD.fix,0.8
12/22/2022,GBPUSD.fix,0.0003
2/14/2023,TWTUSD,0.00163
8/2/2022,GBPUSD.fix,0.0003
8/23/2022,XAUUSD.fix,0.8
9/1/2022,GBPUSD.fix,0.0003
9/11/2022,USDCAD.fix,0.0004
9/15/2022,EURUSD.fix,0.0002
9/19/2022,NZDUSD.fix,0.0004
9/25/2022,USDCAD.fix,0.0004
10/19/2022,XAUUSD.fix,0.8
10/20/2022,AUDUSD.fix,0.0004
10/20/2022,XAGUSD.fix,0.06
10/26/2022,XAGUSD.fix,0.06
11/30/2022,XAUUSD.fix,0.8
12/14/2022,GBPUSD.fix,0.0003
12/18/2022,USDCHF.fix,0.0004
2/11/2023,TWTUSD,0.001
8/7/2022,AUDUSD.fix,0.0004
8/9/2022,USDJPY.fix,0.03
8/31/2022,NZDUSD.fix,0.0004
8/31/2022,XAUUSD.fix,0.8
9/6/2022,USDCHF.fix,0.0004
10/3/2022,AUDUSD.fix,0.0004
10/11/2022,EURGBP.fix,0.0003
10/11/2022,USDCHF.fix,0.0004
10/12/2022,USDCAD.fix,0.0004
10/14/2022,XAUUSD.fix,0.8
10/26/2022,EURJPY.fix,0.04
10/28/2022,XAUUSD.fix,0.8
11/3/2022,EURJPY.fix,0.04
11/13/2022,EURUSD.fix,0.0002
12/2/2022,USDCHF.fix,0.0004
12/19/2022,XAUUSD.fix,0.8
2/8/2023,TWTUSD,0.001
2/8/2023,XRPUSD.test,0.00102
2/12/2023,TWTUSD,0.001
7/31/2022,EURGBP.fix,0.0003
8/8/2022,USDJPY.fix,0.03
8/11/2022,EURUSD.fix,0.0002
8/15/2022,EURJPY.fix,0.04
8/18/2022,EURUSD.fix,0.0002
8/19/2022,USDCAD.fix,0.0004
9/7/2022,USDCHF.fix,0.0004
9/11/2022,EURGBP.fix,0.0003
9/16/2022,EURJPY.fix,0.04
9/18/2022,NZDUSD.fix,0.0004
9/30/2022,GBPJPY.fix,0.08
10/3/2022,GBPUSD.fix,0.0003
10/4/2022,USDCHF.fix,0.0004
10/24/2022,EURUSD.fix,0.0002
11/1/2022,XAGUSD.fix,0.06
11/30/2022,EURJPY.fix,0.04
12/13/2022,AUDUSD.fix,0.0004
12/19/2022,USDJPY.fix,0.03
2/14/2023,TRXUSD,0.00024
2/19/2023,TWTUSD,0.001
7/31/2022,USDCAD.fix,0.0004
8/2/2022,USDJPY.fix,0.03
