date,open,high,low,close,move,abs_move,st_dev,avg_move,st_dev_move,pct_move,abs_pct_move,st_dev_pct,st_dev_pct_move,diff,avg_diff,avg_diff_multiple,2_st_dev_move,3_st_dev_move,2_st_dev_pct_move,3_st_dev_pct_move,2_mean_diff,3_mean_diff,2_st_dev_move_price,3_st_dev_move_price,2_st_dev_pct_move_price,3_st_dev_pct_move_price,2_mean_diff_move_price,3_mean_diff_move_price
2016-02-11,1196.2,1263.39,1195.9,1246.52,49.430000000000064,49.430000000000064,9.939976941556976,7.424365079365071,4.972848557962294,0.04129179927992053,0.04129179927992053,0.008695151229083507,4.74883049093015,67.49000000000001,15.43404761904763,4.372799777856622,1,1,1,1,1,1,1246.52,1246.52,1246.52,1246.52,1246.52,1246.52
2016-06-24,1252.6,1358.35,1250.14,1314.38,58.570000000000164,58.570000000000164,12.080200337003047,8.974047619047612,4.848429526503256,0.04663922090125112,0.04663922090125112,0.010203598336994872,4.5708601378547735,108.20999999999981,17.747103174603176,6.097333121658565,1,1,1,1,1,1,1314.38,1314.38,1314.38,1314.38,1314.38,1314.38
2016-11-09,1275.19,1337.26,1267.6,1277.2,2.0399999999999636,2.0399999999999636,12.192173667884889,9.006428571428572,0.1673204512640333,0.0015997992408795473,0.0015997992408795473,0.00991000038808889,0.1614328131411974,69.66000000000008,18.07547619047619,3.8538403783078934,0,0,0,0,1,1,,,,,1277.2,1277.2
2018-02-14,1329.39,1355.43,1317.22,1349.93,21.019999999999982,21.019999999999982,8.058171479780404,6.434841269841276,2.608532227533684,0.015817474471559383,0.015817474471559383,0.006307968329733013,2.507538662964223,38.210000000000036,12.60174603174603,3.032119509768113,1,0,1,0,1,1,1349.93,,1349.93,,1349.93,1349.93
2019-06-20,1359.91,1393.86,1357.63,1388.39,28.0300000000002,28.0300000000002,7.587453778817792,5.765515873015869,3.694256441897901,0.020604839895321976,0.020604839895321976,0.006032675763695904,3.415539091180739,36.22999999999979,11.398690476190481,3.1784352839193946,1,1,1,1,1,1,1388.39,1388.39,1388.39,1388.39,1388.39,1388.39
2019-07-02,1383.34,1420.89,1383.02,1417.8,33.61999999999989,33.61999999999989,8.135211002395701,6.043412698412694,4.132652489296134,0.02428874857316237,0.02428874857316237,0.006375810020269543,3.8095157314827808,37.87000000000012,11.748373015873023,3.2234250605453725,1,1,1,1,1,1,1417.8,1417.8,1417.8,1417.8,1417.8,1417.8
2019-07-05,1415.09,1424.13,1386.51,1398.4,-16.86999999999989,16.86999999999989,8.149899436687294,6.027182539682537,2.0699641917124163,-0.01191998699894712,0.01191998699894712,0.0063745440643529225,1.86993561870642,37.62000000000012,11.905873015873023,3.159785086725247,1,0,0,0,1,1,1398.4,,,,1398.4,1398.4
2019-08-01,1412.58,1445.84,1400.42,1444.03,31.87999999999988,31.87999999999988,8.838869372259353,6.519404761904761,3.6067961474863224,0.022575505434974955,0.022575505434974955,0.006780567249826738,3.3294420073116777,45.419999999999845,12.484087301587309,3.638231526482905,1,1,1,1,1,1,1444.03,1444.03,1444.03,1444.03,1444.03,1444.03
2019-08-13,1510.52,1533.11,1479.75,1500.61,-9.840000000000146,9.840000000000146,8.985456009166022,6.642063492063494,1.0951030186962585,-0.006514614849879271,0.006514614849879271,0.0068071141766436385,0.9570303480779003,53.3599999999999,12.869563492063497,4.146216772068949,0,0,0,0,1,1,,,,,1500.61,1500.61
2020-01-08,1576.61,1604.67,1555.14,1555.91,-17.799999999999955,17.799999999999955,10.393644630883045,7.776746031746036,1.712585010565987,-0.011310851427518382,0.011310851427518382,0.007288791581886746,1.5518143577636092,49.52999999999997,15.092738095238106,3.281710693411365,0,0,0,0,1,1,,,,,1555.91,1555.91
