date,open,high,low,close,TR,ATR,NATR,CHOP
2015.03.20,1170.71,1187.87,1168.66,1182.41,,,,
2015.03.23,1184.27,1191.51,1179.23,1189.4,12.28,,,
2015.03.24,1189.53,1194.93,1185.35,1192.95,9.58,,,
2015.03.25,1193,1199.59,1186.57,1195.05,13.02,,,
2015.03.26,1195.54,1219.67,1194.4,1204.56,25.27,,,
2015.03.27,1203.92,1205.99,1192.43,1198.54,13.56,,,
2015.03.30,1198.57,1199.48,1182.31,1185.89,17.17,,,
2015.03.31,1185.38,1190.67,1178.39,1183.39,12.28,,,
2015.04.01,1183.36,1208.44,1180.79,1203.8,27.65,,,
2015.04.02,1203.91,1207.26,1194.87,1202.72,12.39,,,
2015.04.06,1213.43,1224.05,1213.43,1214.74,21.33,,,
2015.04.07,1214.27,1215.67,1207.37,1208.93,8.3,,,
2015.04.08,1208.54,1212.28,1197.36,1202.14,14.92,,,
2015.04.09,1202.73,1203.18,1192.52,1194.46,10.66,,,
2015.04.10,1194.07,1210.66,1193.16,1207.5,17.5,15.42214286,0.012771961,
2015.04.13,1206.75,1209.4,1196.2,1197.77,13.2,15.48785714,0.012930577,
2015.04.14,1198.9,1201.39,1183.86,1192.45,17.53,16.05571429,0.013464476,
2015.04.15,1192.41,1204.55,1188.8,1202.31,15.75,16.25071429,0.013516243,
2015.04.16,1202.13,1209.01,1194.62,1198.24,14.39,15.47357143,0.012913583,
2015.04.17,1198.87,1207.68,1197.33,1204.15,10.35,15.24428571,0.01265979,
2015.04.20,1204.44,1209.05,1191.29,1195.6,17.76,15.28642857,0.012785571,
2015.04.21,1196.03,1204.18,1193,1202.54,11.18,15.20785714,0.012646446,
2015.04.22,1202.43,1204.86,1185.61,1186.67,19.25,14.60785714,0.012309957,
2015.04.23,1187.41,1197.96,1184.25,1193.85,13.71,14.70214286,0.0123149,
2015.04.24,1193.64,1195.92,1175.12,1179.21,20.8,14.66428571,0.012435686,
2015.04.27,1179.72,1207.13,1178.49,1201.92,28.64,16.11714286,0.013409497,
2015.04.28,1202.03,1215,1199.15,1212.27,15.85,16.18357143,0.013349808,
2015.04.29,1211.74,1213.93,1201.29,1204.56,12.64,16.325,0.013552667,-310.1155925
2015.04.30,1204.99,1207.12,1176.99,1184.03,30.13,17.22714286,0.014549583,-312.0272969
2015.05.01,1184.2,1185.13,1170.22,1178.37,14.91,17.34928571,0.014723122,-311.910424
2015.05.04,1177.36,1192.78,1177.36,1188.1,15.42,17.19857143,0.014475693,-311.2942894
2015.05.05,1188.06,1199.7,1185.66,1193.1,14.04,17.07642857,0.014312655,-310.7988415
2015.05.06,1192.93,1197.53,1188.15,1191.94,9.38,16.71857143,0.014026353,-309.620613
2015.05.07,1191.67,1192.69,1178.75,1184.21,13.94,16.975,0.014334451,-309.8956116
2015.05.08,1183.78,1193.69,1181.58,1188.43,12.11,16.57142857,0.013943967,-308.5855746
2015.05.11,1189.39,1191.64,1178.81,1183.76,12.83,16.68928571,0.014098538,-308.5633688
2015.05.12,1183.41,1196.96,1180.74,1193.83,16.22,16.47285714,0.013798327,-307.6608392
2015.05.13,1192.99,1218.84,1191.17,1215.55,27.67,17.47,0.014372095,-309.7535405
2015.05.14,1215.48,1227.15,1212.33,1220.89,14.82,17.04285714,0.013959372,-308.3411206
2015.05.15,1221.01,1226.08,1210.93,1224.04,15.15,16.07928571,0.013136242,-305.8738663
2015.05.18,1223.54,1232.3,1221.48,1225.15,10.82,15.72,0.012831082,-305.0071653
2015.05.19,1225.56,1225.56,1205.57,1207.48,19.99,16.245,0.013453639,-306.4558179
2015.05.20,1207.83,1213.36,1203.15,1209.51,10.21,14.82214286,0.012254667,-302.9864112
2015.05.21,1209.71,1212.7,1201.37,1206.02,11.33,14.56642857,0.012078099,-302.8276841
2015.05.22,1206.38,1214.77,1201.28,1206.24,13.49,14.42857143,0.011961609,-302.9899275
2015.05.25,1204.86,1208.63,1202.83,1206.84,5.8,13.84,0.011467966,-301.8413852
2015.05.26,1207.07,1207.57,1185.5,1186.95,22.07,14.74642857,0.012423799,-304.972842
2015.05.27,1186.73,1190.94,1183.51,1187.7,7.43,14.28142857,0.012024441,-304.1296627
2015.05.28,1187.67,1192.16,1180.19,1187.97,11.97,14.27142857,0.01201329,-304.5629103
2015.05.29,1188,1193.99,1185.57,1190.38,8.42,13.95642857,0.011724347,-304.1706481
2015.06.01,1190.64,1204.23,1184.55,1189.03,19.68,14.20357143,0.011945511,-305.3886936
2015.06.02,1189.2,1196.31,1185.92,1192.66,10.39,12.96928571,0.010874252,-302.3141311
2015.06.03,1193.29,1195.5,1179.36,1184.86,16.14,13.06357143,0.011025413,-303.3752746
2015.06.04,1185.69,1186.4,1172.9,1176.6,13.5,12.94571429,0.011002647,-303.5327601
2015.06.05,1176.87,1178.48,1162.67,1171.57,15.81,13.30214286,0.011354117,-305.0979347
2015.06.08,1170.13,1177.6,1169.09,1173.74,8.51,12.48214286,0.010634504,-303.0803696
2015.06.09,1174.02,1182.9,1172.51,1176.7,10.39,12.495,0.010618679,-303.5637554
2015.06.10,1176.83,1192.27,1175.18,1185.76,17.09,12.90642857,0.01088452,-305.2936033
2015.06.11,1186.39,1187.95,1175.58,1181.86,12.37,12.82642857,0.010852748,-305.3256853
2015.06.12,1181.68,1184.32,1176.62,1181.46,7.7,12.96214286,0.010971292,-305.9187971
2015.06.15,1180.94,1190.32,1172.73,1186.31,17.59,12.64214286,0.010656694,-305.3205624
2015.06.16,1185.65,1187.82,1176.04,1181.84,11.78,12.95285714,0.010959908,-306.6713161
2015.06.17,1181.63,1189.19,1174.59,1185.66,14.6,13.14071429,0.011083038,-307.5572154
2015.06.18,1184.04,1205.75,1183.58,1201.75,22.17,14.12285714,0.011751909,-310.6798322
2015.06.19,1201.63,1204.15,1198.4,1200.2,5.75,13.12785714,0.010938058,-307.7908666
2015.06.22,1200.06,1201.04,1182.14,1185.72,18.9,13.73571429,0.011584282,-309.5563235
2015.06.23,1185.62,1188.13,1176.19,1178.41,11.94,13.43571429,0.011401562,-308.4915446
2015.06.24,1177.94,1180.3,1170.19,1175.03,10.11,13.19357143,0.011228285,-307.6384055
2015.06.25,1175.29,1178.11,1171.42,1172.85,6.69,12.54214286,0.010693731,-305.6248677
2015.06.26,1173.09,1178.67,1168.6,1175.25,10.07,12.65357143,0.010766706,-305.9718019
2015.06.29,1185.08,1188.14,1173.76,1179.55,14.38,12.93857143,0.010969074,-306.8406701
2015.06.30,1179.84,1180.51,1166.66,1171.94,13.85,12.70714286,0.010842827,-306.0685316
2015.07.01,1172.53,1175.07,1167.61,1168.23,7.46,12.35642857,0.010577051,-304.9305029
2015.07.02,1168.85,1169.44,1156.83,1166.06,12.61,12.70714286,0.010897503,-306.1667547
2015.07.03,1166.34,1170.18,1164.62,1168.58,5.56,11.84785714,0.010138679,-303.2719429
2015.07.06,1173.23,1174.83,1162.79,1170.15,12.04,11.86642857,0.010140947,-303.5717886
2015.07.07,1169.88,1170.36,1147.98,1154.6,22.38,12.42214286,0.010758828,-305.6515547
2015.07.08,1155.02,1164.67,1147.11,1157.81,17.56,12.09285714,0.010444596,-304.8582352
2015.07.09,1159.08,1167.78,1155.91,1159.11,11.87,12.53,0.010810018,-306.4371984
2015.07.10,1159.6,1165.42,1157.34,1163.56,8.08,11.75714286,0.010104458,-304.0992635
2015.07.13,1162.41,1164.92,1151.1,1157.73,13.82,11.89142857,0.010271331,-304.9214583
2015.07.14,1157.7,1159.8,1152.88,1155.57,6.92,11.66357143,0.010093349,-304.414078
2015.07.15,1155.31,1156.85,1143.13,1149.11,13.72,12.16571429,0.010587075,-306.2760968
2015.07.16,1148.46,1149.4,1142.24,1145.09,7.16,11.95785714,0.010442723,-305.6232325
2015.07.17,1145.3,1145.73,1131.01,1134.28,14.72,11.98214286,0.010563655,-305.8312235
2015.07.20,1133.31,1133.34,1087.54,1096.49,45.8,14.26428571,0.013009043,-312.7660574
2015.07.21,1098.37,1109.88,1096.93,1100.78,13.39,14.68785714,0.013343136,-313.144169
2015.07.22,1100.73,1103.34,1086.97,1094.04,16.37,14.95642857,0.013670824,-313.1455104
2015.07.23,1094.86,1105.73,1087.2,1090.47,18.53,15.88285714,0.014565148,-314.5331913
2015.07.24,1090.49,1101.58,1077.2,1099.05,24.38,16.76428571,0.015253433,-315.5072505
