date,open,high,low,close,CI,trend,trend_in_progress,Volatility,Volatility_median,Volatility_status,Volatility_Trend,typical_spread_in_points,weighted_avg_execution_spread_$,PnL_per_lot,total_profit,total_volume
2020-01-02,1.32426,1.32657,1.31147,1.31349,38.77904847196739,1.0,0.0,0.011513797494414751,0.006728893805355775,High_Volatility,High Volatility + Trend,,,5.745884,114.7453001,19.97
2020-01-03,1.31332,1.31595,1.30529,1.30785,39.960242149883626,1.0,0.0,0.008166767538248122,0.006728893805355775,High_Volatility,High Volatility + Trend,,,-16.110797,-37224.15806,2310.51
2020-01-06,1.30798,1.31738,1.30617,1.31671,46.57843942369193,0.0,0.0,0.008582343799046021,0.006728893805355775,High_Volatility,High Volatility + No Trend,,,-16.796961,-30502.77684,1815.97
2020-01-07,1.31623,1.32117,1.30941,1.31202,53.87460205046483,0.0,0.0,0.00898114417943959,0.006742014835083162,High_Volatility,High Volatility + No Trend,,,-6.822611,-12896.3716,1890.24
2020-01-08,1.31222,1.3169,1.30797,1.3093,58.64901968881424,0.0,0.0,0.00682737371652246,0.006742014835083162,High_Volatility,High Volatility + No Trend,,,-8.343065,-17223.67423,2064.43
2020-01-09,1.30937,1.3123,1.30127,1.30666,58.60056723718933,0.0,0.0,0.008476334657680648,0.006742014835083162,High_Volatility,High Volatility + No Trend,,,-9.925155,-16506.52589,1663.1
2020-01-10,1.30636,1.30967,1.30419,1.30585,58.29736176389673,0.0,0.0,0.004201841756185778,0.006742014835083162,Low_Volatility,Low Volatility + No Trend,,,7.026898,11379.35803,1619.4
2020-01-13,1.30335,1.30449,1.29601,1.2987,57.91255075064775,0.0,0.0,0.006543159389202105,0.006728893805355775,Low_Volatility,Low Volatility + No Trend,,,-10.096629,-14904.24029,1476.16
2020-01-14,1.29857,1.30325,1.29537,1.30177,58.2351791125206,0.0,0.0,0.006083204026648841,0.00670239414091483,Low_Volatility,Low Volatility + No Trend,,,-25.016963,-48679.75867,1945.87
2020-01-15,1.30152,1.30419,1.29841,1.30373,62.20290741148322,0.0,0.0,0.004451598493542022,0.00670239414091483,Low_Volatility,Low Volatility + No Trend,,,-0.681007,-1211.08309,1778.37
2020-01-16,1.30366,1.30825,1.30247,1.30761,61.75405093774397,0.0,0.0,0.004437722174023122,0.0066373576352853556,Low_Volatility,Low Volatility + No Trend,,,6.585713,10799.64668,1639.86
2020-01-17,1.30709,1.31181,1.30046,1.30057,61.09370439928946,0.0,0.0,0.008727680974424412,0.00670239414091483,High_Volatility,High Volatility + No Trend,,,5.852504,10353.4901,1769.07
2020-01-20,1.29961,1.30133,1.29614,1.30072,60.30499073161003,0.0,0.0,0.00400419707747622,0.0066373576352853556,Low_Volatility,Low Volatility + No Trend,,,5.132704,10004.87175,1949.24
2020-01-21,1.30056,1.30828,1.29948,1.30455,61.31613704879952,0.0,0.0,0.006771939545048898,0.0066373576352853556,High_Volatility,High Volatility + No Trend,,,-16.348888,-24899.02915,1522.98
2020-01-22,1.304,1.31523,1.30341,1.3139,67.21026681852653,0.0,0.0,0.00906852026607126,0.00670239414091483,High_Volatility,High Volatility + No Trend,,,-1.058739,-2539.989384,2399.07
2020-01-23,1.31379,1.315,1.30965,1.31247,65.89283186360527,0.0,0.0,0.004085060894131994,0.00670239414091483,Low_Volatility,Low Volatility + No Trend,,,-53.948333,-122219.9477,2265.5
2020-01-24,1.31134,1.31723,1.3056,1.30689,64.96906331671057,0.0,0.0,0.00890778186274495,0.006728893805355775,High_Volatility,High Volatility + No Trend,,,-11.775471,-18956.15351,1609.8
2020-01-27,1.30734,1.31045,1.30397,1.30568,70.16752233105815,0.0,0.0,0.004969439480969515,0.00670239414091483,Low_Volatility,Low Volatility + No Trend,,,-4.167294,-8016.705914,1923.72
2020-01-28,1.30511,1.30644,1.29746,1.3027,69.3499195212577,0.0,0.0,0.006921215297581418,0.006728893805355775,High_Volatility,High Volatility + No Trend,,,-0.653156,-1216.202012,1862.04
2020-01-29,1.30176,1.30279,1.29888,1.30183,68.29705529673389,0.0,0.0,0.003010285784675919,0.00670239414091483,Low_Volatility,Low Volatility + No Trend,,,-9.245984,-23409.07447,2531.81
2020-01-30,1.30094,1.31095,1.29773,1.30901,67.55896898401336,0.0,0.0,0.010187018871413937,0.006728893805355775,High_Volatility,High Volatility + No Trend,,,-8.439406,-9269.674916,1098.38
2020-01-31,1.30844,1.32093,1.308,1.32026,60.95270473573838,0.0,0.0,0.009885321100917343,0.006728893805355775,High_Volatility,High Volatility + No Trend,,,5.009851,9852.07272,1966.54
2020-02-03,1.31786,1.31837,1.29824,1.29983,61.82495277251812,0.0,0.0,0.015505607591816599,0.006742014835083162,High_Volatility,High Volatility + No Trend,,,-36.660257,-69073.78944,1884.16
2020-02-04,1.29886,1.30461,1.29405,1.30304,58.570524525620776,0.0,0.0,0.008160426567752501,0.006742014835083162,High_Volatility,High Volatility + No Trend,,,-21.073475,-54319.8314,2577.64
2020-02-05,1.30296,1.30695,1.29558,1.29993,58.53767112260642,0.0,0.0,0.008775992219700908,0.006742014835083162,High_Volatility,High Volatility + No Trend,,,-21.790131,-52120.46719,2391.93
2020-02-06,1.29976,1.29995,1.29203,1.29259,55.76129673340042,0.0,0.5,0.006129888624877075,0.006728893805355775,Low_Volatility,Low Volatility + No Trend,,,-7.966428,-18408.9823,2310.82
2020-02-07,1.29255,1.29585,1.28812,1.28842,51.05034212833242,0.0,0.5,0.006000993696239493,0.006728893805355775,Low_Volatility,Low Volatility + No Trend,,,-43.601136,-97858.39032,2244.4
2020-02-10,1.28865,1.29455,1.28714,1.29129,50.20307583744408,0.0,0.5,0.005756949515981276,0.00670239414091483,Low_Volatility,Low Volatility + No Trend,,,-37.871169,-77180.30657,2037.97
2020-02-11,1.29098,1.29674,1.2894,1.29525,50.44377599760496,0.0,0.5,0.0056925701876841175,0.0066373576352853556,Low_Volatility,Low Volatility + No Trend,,,-37.12001,-63941.81612,1722.57
2020-02-12,1.29473,1.29907,1.29445,1.29558,50.77913080555761,0.0,0.5,0.0035690833944917503,0.0066373576352853556,Low_Volatility,Low Volatility + No Trend,,,-2.767169,-5641.952602,2038.89
2020-02-13,1.29571,1.30688,1.29433,1.30398,51.12193668979887,0.0,0.5,0.009696136224919504,0.0066373576352853556,High_Volatility,High Volatility + No Trend,,,-10.191523,-14983.88219,1470.23
2020-02-14,1.30385,1.30627,1.30003,1.30452,51.56533941437284,0.0,0.5,0.004799889233325402,0.0066373576352853556,Low_Volatility,Low Volatility + No Trend,,,-35.941456,-77483.3102,2155.82
2020-02-17,1.30345,1.30532,1.29971,1.30017,51.93410610529336,0.0,0.5,0.004316347492902352,0.006582424645501774,Low_Volatility,Low Volatility + No Trend,,,-3.994628,-5320.604826,1331.94
2020-02-18,1.30016,1.30482,1.29701,1.29958,52.52069433602375,0.0,0.5,0.00602154185395648,0.006566042876501315,Low_Volatility,Low Volatility + No Trend,,,-0.095456,-83.71549447,877.01
2020-02-19,1.29948,1.30224,1.29071,1.29212,52.911856918538376,0.0,0.5,0.008933067846379155,0.006582424645501774,High_Volatility,High Volatility + No Trend,,,-7.352632,-14367.99804,1954.13
2020-02-20,1.29199,1.29276,1.28485,1.28806,53.44354298080553,0.0,0.5,0.006156360664668919,0.006566042876501315,Low_Volatility,Low Volatility + No Trend,,,-29.06748,-55737.18263,1917.51
2020-02-21,1.28806,1.29801,1.28726,1.29546,68.95344100051383,0.0,0.0,0.008351071267653805,0.006566042876501315,High_Volatility,High Volatility + No Trend,,,-57.629919,-93449.79519,1621.55
2020-02-24,1.29414,1.29541,1.28861,1.29285,68.50659856936785,0.0,0.0,0.005277003903430764,0.006550614196766278,Low_Volatility,Low Volatility + No Trend,,,-2.970383,-4309.402089,1450.79
2020-02-25,1.29239,1.30174,1.29122,1.30025,68.04351277192026,0.0,0.0,0.008147333529530105,0.006566042876501315,High_Volatility,High Volatility + No Trend,,,-3.420987,-3956.440422,1156.52
2020-02-26,1.29964,1.30074,1.28952,1.28957,67.59026739908893,0.0,0.0,0.008700911967243631,0.006566042876501315,High_Volatility,High Volatility + No Trend,,,4.230906,6779.011796,1602.26
2020-02-27,1.28948,1.29461,1.28597,1.28839,67.09746440354527,0.0,0.0,0.006718663732435423,0.006566042876501315,High_Volatility,High Volatility + No Trend,,,-2.519261,-3883.868469,1541.67
2020-02-28,1.28832,1.29192,1.27251,1.28129,50.02712549397809,1.0,0.5,0.015253318245043203,0.006566042876501315,High_Volatility,High Volatility + Trend,,,-19.702815,-45071.17375,2287.55
2020-03-02,1.28089,1.28502,1.27391,1.27527,49.98335485956883,1.0,0.5,0.00872118124514287,0.006566042876501315,High_Volatility,High Volatility + Trend,,,-57.803992,-115869.8352,2004.53
2020-03-03,1.27477,1.28436,1.27375,1.28134,50.08092772739703,1.0,0.5,0.008329735034347406,0.006566042876501315,High_Volatility,High Volatility + Trend,,,-3.846598,-4568.258538,1187.61
2020-03-04,1.2803,1.28717,1.27693,1.28716,50.78908209548902,1.0,0.5,0.00801923363066106,0.006566042876501315,High_Volatility,High Volatility + Trend,,,-3.031519,-4804.320873,1584.79
2020-03-05,1.28675,1.29677,1.28602,1.29516,51.9997035012838,1.0,0.5,0.008359123497301783,0.006566042876501315,High_Volatility,High Volatility + Trend,,,32.047944,45772.15594,1428.24
2020-03-06,1.29534,1.30516,1.29482,1.30445,52.48200359731682,1.0,0.5,0.00798566596129193,0.006566042876501315,High_Volatility,High Volatility + Trend,,,-30.030419,-41690.62976,1388.28
2020-03-09,1.30828,1.31993,1.30338,1.30936,38.73489637675914,1.0,0.0,0.012697755067593538,0.006582424645501774,High_Volatility,High Volatility + Trend,,,-80.203616,-126816.3542,1581.18
2020-03-10,1.3096,1.31157,1.28674,1.28832,39.42857102102778,1.0,0.0,0.019296827641947796,0.006582424645501774,High_Volatility,High Volatility + Trend,,,-52.129115,-72327.58285,1387.47
2020-03-11,1.2883,1.29758,1.2802,1.2814,40.395653258846615,1.0,0.0,0.013576003749414116,0.006582424645501774,High_Volatility,High Volatility + Trend,,,-53.716231,-56846.81257,1058.28
2020-03-12,1.28131,1.28481,1.24898,1.2576,26.761236186253363,1.0,0.0,0.02868740892568338,0.006582424645501774,High_Volatility,High Volatility + Trend,,,-11.107325,-11498.74711,1035.24
2020-03-13,1.25763,1.26237,1.22535,1.22924,18.04147178799825,1.0,0.0,0.030211776227200435,0.006654748137383396,High_Volatility,High Volatility + Trend,,,-86.480402,-120790.6368,1396.74
2020-03-16,1.24062,1.24209,1.22009,1.22658,18.252938564627232,1.0,0.0,0.01803145669581754,0.006654748137383396,High_Volatility,High Volatility + Trend,,,-44.54374,-52277.86918,1173.63
2020-03-17,1.22658,1.22711,1.20001,1.20578,13.642366897660771,1.0,0.0,0.022583145140457082,0.006654748137383396,High_Volatility,High Volatility + Trend,,,-23.477229,-28139.10222,1198.57
