date,open,high,low,close,CI,trend,trend_in_progress
2015.05.07,1.52457,1.52749,1.51636,1.52414,,0.0,0.0
2015.05.08,1.52529,1.55222,1.52438,1.54372,,0.0,0.0
2015.05.11,1.54415,1.56131,1.53932,1.55851,,0.0,0.0
2015.05.12,1.5585,1.57103,1.55573,1.56678,,0.0,0.0
2015.05.13,1.56677,1.57689,1.56334,1.57442,,0.0,0.0
2015.05.14,1.57442,1.58145,1.57285,1.57733,,0.0,0.0
2015.05.15,1.57734,1.58084,1.57014,1.57245,,0.0,0.0
2015.05.18,1.57389,1.57452,1.56376,1.56527,,0.0,0.0
2015.05.19,1.56527,1.56697,1.54457,1.55111,,0.0,0.0
2015.05.20,1.55105,1.55877,1.54723,1.55294,,0.0,0.0
2015.05.21,1.55294,1.56999,1.5524,1.56596,,0.0,0.0
2015.05.22,1.56601,1.56895,1.546,1.54798,,0.0,0.0
2015.05.25,1.54769,1.55074,1.54559,1.54668,,0.0,0.0
2015.05.26,1.54649,1.5475,1.53537,1.53834,,0.0,0.0
2015.05.27,1.53843,1.54369,1.5301,1.535,,0.0,0.0
2015.05.28,1.53525,1.53851,1.52601,1.53109,,0.0,0.0
2015.05.29,1.53149,1.53421,1.52362,1.52895,,0.0,0.0
2015.06.01,1.5291,1.53045,1.51701,1.51999,,0.0,0.0
2015.06.02,1.51984,1.53669,1.51792,1.53432,,0.0,0.0
2015.06.03,1.53432,1.53752,1.52504,1.53397,,0.0,0.0
2015.06.04,1.53396,1.54409,1.53037,1.53579,,0.0,0.0
2015.06.05,1.53553,1.53695,1.51901,1.52616,,0.0,0.0
2015.06.08,1.52564,1.53636,1.52211,1.53465,,0.0,0.0
2015.06.09,1.5347,1.53889,1.52572,1.53857,,0.0,0.0
2015.06.10,1.53838,1.55539,1.53687,1.55283,,0.0,0.0
2015.06.11,1.55282,1.55333,1.54208,1.55156,,0.0,0.0
2015.06.12,1.55157,1.55976,1.54664,1.55522,,0.0,0.0
2015.06.15,1.5544,1.56137,1.54871,1.56012,56.33678212679926,0.0,0.0
2015.06.16,1.56012,1.5654,1.55407,1.56465,52.75673391260462,0.0,0.0
2015.06.17,1.56468,1.58468,1.56255,1.58298,40.11371636236994,0.0,0.0
2015.06.18,1.58297,1.59296,1.58058,1.58765,35.986053477246344,0.0,0.0
2015.06.19,1.58773,1.58961,1.58349,1.58746,36.61268458789725,0.0,0.0
2015.06.22,1.58721,1.59096,1.5805,1.58217,37.15093078700942,0.0,0.0
2015.06.23,1.58211,1.58312,1.57086,1.5729,37.07836407630586,0.0,0.0
2015.06.24,1.57297,1.58024,1.56669,1.57026,36.96166391919853,0.0,0.0
2015.06.25,1.57027,1.57703,1.56765,1.57474,38.248810576483514,0.0,0.0
2015.06.26,1.57481,1.57663,1.57083,1.57471,39.88767720110607,0.0,0.0
2015.06.29,1.56907,1.57886,1.5661,1.57373,46.3831254479433,0.0,0.0
2015.06.30,1.57371,1.57758,1.56928,1.57131,49.53845065137176,0.0,0.0
2015.07.01,1.57118,1.5725,1.5588,1.56104,52.75594961143135,0.0,0.0
2015.07.02,1.56113,1.56395,1.5562,1.56038,53.94881675433919,0.0,0.0
2015.07.03,1.56084,1.56434,1.55521,1.55655,58.23338121049029,0.0,0.0
2015.07.06,1.55454,1.56281,1.55316,1.55986,56.74782372799457,0.0,0.5
2015.07.07,1.55998,1.56098,1.54135,1.54612,46.09448591943018,0.0,0.5
2015.07.08,1.54617,1.54669,1.533,1.53595,40.86528777254139,0.0,0.5
2015.07.09,1.53595,1.54202,1.53432,1.53774,40.15862672097138,0.0,0.5
2015.07.10,1.53791,1.55507,1.53638,1.55126,45.2173438188142,0.0,0.5
2015.07.13,1.54972,1.55887,1.54802,1.54858,46.98639956976476,0.0,0.5
2015.07.14,1.54852,1.56387,1.54505,1.56355,47.721686976904884,0.0,0.5
2015.07.15,1.56349,1.56752,1.55764,1.56327,47.48256916205477,0.0,0.5
2015.07.16,1.56353,1.56503,1.556,1.56084,47.439559633586384,0.0,0.5
2015.07.17,1.56041,1.56729,1.55534,1.55975,48.46239635911716,0.0,0.5
2015.07.20,1.56017,1.56273,1.55382,1.55577,53.17971030058143,0.0,0.5
2015.07.21,1.55612,1.55904,1.55287,1.55527,58.250768930876376,0.0,0.0
2015.07.22,1.55504,1.56469,1.55457,1.56082,58.3457110388822,0.0,0.0
2015.07.23,1.56081,1.56705,1.55007,1.55113,58.630787044008905,0.0,0.0
2015.07.24,1.55112,1.55258,1.54663,1.55054,58.880263336043356,0.0,0.0
2015.07.27,1.55125,1.5595,1.54896,1.55587,59.01942109806005,0.0,0.0
