date,open,high,low,close,CI,trend,trend_in_progress,Volatility,Volatility_median,Volatility_status,Volatility_Trend,typical_spread_in_points,weighted_avg_execution_spread_$,PnL_per_lot,total_profit,total_volume
2023-01-02,1.06959,1.07048,1.0649,1.06611,77.82767036208104,0.0,0.0,0.005239928631796545,0.009367653807594557,Low_Volatility,Low Volatility + No Trend,53.99999999999,29.07499805,30.9241759,221266.81,7155.14
2023-01-03,1.06614,1.06828,1.05192,1.05482,66.27928152196529,0.0,0.0,0.015552513499125342,0.00937562413119132,High_Volatility,High Volatility + No Trend,7.0000000000014495,8.772797914,-38.77160255,-1449549.25,37386.88
2023-01-04,1.05473,1.0635,1.05401,1.06036,69.50289348552145,0.0,0.0,0.009003709642223507,0.00937562413119132,Low_Volatility,Low Volatility + No Trend,7.0000000000014495,8.583322949,6.649689245,178248.91,26805.6
2023-01-05,1.06028,1.06312,1.05146,1.05207,67.84085243838352,0.0,0.0,0.011089342438133646,0.009387351527711254,High_Volatility,High Volatility + No Trend,7.0000000000014495,8.673862146,5.348457322,154211.11,28832.82
2023-01-06,1.05208,1.06477,1.04797,1.06435,61.088070173926326,0.0,0.0,0.0160309932536236,0.009410886970332776,High_Volatility,High Volatility + No Trend,7.0000000000014495,9.728241828,-19.9205934,-680924.53,34181.94
2023-01-09,1.0639,1.07603,1.06357,1.07327,53.68738050997016,1.0,0.5,0.01171526086670378,0.009437129194901205,High_Volatility,High Volatility + Trend,7.0000000000014495,8.504482764,-44.29577378,-1124032.72,25375.62
2023-01-10,1.07309,1.07588,1.07118,1.0734,53.49181347734831,1.0,0.5,0.004387684609496001,0.009437129194901205,Low_Volatility,Low Volatility + Trend,7.0000000000014495,8.383107813,0.621686105,13683.43,22010.19
2023-01-11,1.07333,1.0776,1.07251,1.07564,51.22141503768832,1.0,0.5,0.004745876495323882,0.009410886970332776,Low_Volatility,Low Volatility + Trend,7.0000000000014495,8.300595063,8.155536534,203974.62,25010.57
2023-01-12,1.07555,1.08668,1.07293,1.08503,41.2605687119036,1.0,0.5,0.012815374721556999,0.009437129194901205,High_Volatility,High Volatility + Trend,7.0000000000014495,11.97352975,-60.6518553,-1982330.68,32683.76
2023-01-13,1.08477,1.08675,1.07801,1.08317,41.54908494540671,1.0,0.5,0.008107531470023648,0.009410886970332776,Low_Volatility,Low Volatility + Trend,7.0000000000014495,8.06536637,-5.824862696,-147189.62,25269.2
2023-01-16,1.08313,1.08739,1.08012,1.08213,41.427945659589376,1.0,0.5,0.006730733622190229,0.009410886970332776,Low_Volatility,Low Volatility + Trend,7.0000000000014495,8.375291107,-6.681298895,-106577.34,15951.59
2023-01-17,1.0821,1.0869,1.07745,1.07887,41.998837120975416,1.0,0.5,0.008770708617569222,0.009410886970332776,Low_Volatility,Low Volatility + Trend,7.0000000000014495,8.467886196,9.23470343,266777.01,28888.53
2023-01-18,1.0788,1.08869,1.07658,1.07944,41.42569344452048,1.0,0.5,0.011248583477307623,0.009410886970332776,High_Volatility,High Volatility + Trend,7.0000000000014495,9.703630698,-4.694605163,-137094.96,29202.66
2023-01-19,1.07927,1.08396,1.07819,1.08306,42.033146718306064,1.0,0.5,0.005351561413109056,0.009410886970332776,Low_Volatility,Low Volatility + Trend,7.0000000000014495,8.387414343,10.50034111,214388.51,20417.29
2023-01-20,1.08294,1.08586,1.08019,1.08553,42.825793937264585,1.0,0.5,0.005249076551347508,0.009410886970332776,Low_Volatility,Low Volatility + Trend,7.0000000000014495,7.768847172,8.209782569,185944.02,22649.08
2023-01-23,1.08676,1.09264,1.08459,1.08708,39.733722575876094,1.0,0.0,0.0074221595257195,0.009410886970332776,Low_Volatility,Low Volatility + Trend,7.0000000000014495,8.514700438,-8.416064596,-201433.04,23934.35
2023-01-24,1.08709,1.08977,1.08348,1.08874,40.18057635616879,0.0,0.0,0.005805367888654989,0.009410886970332776,Low_Volatility,Low Volatility + No Trend,7.0000000000014495,8.331307933,11.25843228,230254.42,20451.73
2023-01-25,1.08868,1.09232,1.0857,1.0915,40.43926225585006,0.0,0.0,0.0060974486506399994,0.009387351527711254,Low_Volatility,Low Volatility + No Trend,8.000000000007999,8.453263381,16.08384573,368383.92,22903.97
2023-01-26,1.09149,1.09289,1.08499,1.08918,56.28629338492628,0.0,0.0,0.007281173098369588,0.009387351527711254,Low_Volatility,Low Volatility + No Trend,9.999999999998897,11.51000557,15.19746742,306587.48,20173.59
2023-01-27,1.08907,1.08998,1.08375,1.08669,67.34030668909962,0.0,0.0,0.005748558246828104,0.009387351527711254,Low_Volatility,Low Volatility + No Trend,8.000000000007999,9.909844689,11.09556128,189835.18,17109.11
2023-01-30,1.08633,1.09133,1.08388,1.08508,69.4762291556467,0.0,0.0,0.006873454625973315,0.009387351527711254,Low_Volatility,Low Volatility + No Trend,9.999999999998897,10.88538573,20.37072053,482462.79,23684.13
2023-01-31,1.08498,1.08745,1.08011,1.08623,70.12704829803234,0.0,0.0,0.006795604151429137,0.009387351527711254,Low_Volatility,Low Volatility + No Trend,8.000000000007999,10.69079681,-14.20332385,-334164.01,23527.17
2023-02-01,1.08615,1.10007,1.08519,1.09886,63.64670730141415,0.0,0.0,0.013711884554778429,0.009410886970332776,High_Volatility,High Volatility + No Trend,9.999999999998897,14.60216354,-98.08777351,-2528782.25,25780.81
2023-02-02,1.09875,1.10325,1.08846,1.09094,58.55175198342657,0.0,0.5,0.013588005071385334,0.009437129194901205,High_Volatility,High Volatility + No Trend,13.999999999999998,16.42635836,0.75519281,14628.56,19370.63
2023-02-03,1.09087,1.09396,1.07919,1.07925,58.39712067028561,0.0,0.5,0.013686190568852518,0.009500691026850888,High_Volatility,High Volatility + No Trend,11.0,15.2444279,-9.47143437,-144331.21,15238.58
2023-02-06,1.07833,1.07984,1.07089,1.07243,50.8446427426684,0.0,0.5,0.008357534387285356,0.009500691026850888,Low_Volatility,Low Volatility + No Trend,12.999999999989999,13.61057436,-36.27699273,-587135.51,16184.79
2023-02-07,1.07245,1.07658,1.06685,1.07272,46.0247823158507,0.0,0.5,0.009120307447157534,0.009500691026850888,Low_Volatility,Low Volatility + No Trend,12.999999999989999,13.90866222,-15.22470919,-300725.76,19752.48
2023-02-08,1.07251,1.07602,1.07088,1.07139,45.68291242244635,0.0,0.5,0.004799790826236294,0.009437129194901205,Low_Volatility,Low Volatility + No Trend,12.999999999989999,13.98709214,9.689673356,105046.23,10841.05
