date,open,high,low,close,trend,Volatility,Volatility_median,Volatility_status,Volatility_Trend,typical_spread_in_points,weighted_avg_execution_spread_$,PnL_per_lot,total_profit,total_volume
2021-01-04,103.117,103.313,102.707,103.099,0,0.00590027943567633,0.005308061163394618,High_Volatility,High Volatility + No Trend,,9.936307839161715,-6.597496,-7668.0,1162.32
2021-01-05,103.11,103.187,102.6,102.658,0,0.005721247563352859,0.0053197414325601685,High_Volatility,High Volatility + No Trend,,10.081902898560257,-19.395223,-28649.0,1477.14
2021-01-06,102.681,103.438,102.588,102.994,0,0.008285569462315364,0.005334229947199831,High_Volatility,High Volatility + No Trend,,10.042160629187086,13.28188,18011.0,1356.05
2021-01-07,102.972,103.952,102.942,103.762,0,0.009811350080627976,0.005347563191666066,High_Volatility,High Volatility + No Trend,,10.073522228510877,-24.444897,-29012.0,1186.83
2021-01-08,103.758,104.087,103.597,103.93,0,0.004729866694981603,0.005347563191666066,Low_Volatility,Low Volatility + No Trend,,10.272937368985811,-31.814499,-41891.0,1316.74
2021-01-11,103.865,104.393,103.852,104.218,0,0.005209336363286184,0.005334229947199831,Low_Volatility,Low Volatility + No Trend,,10.1666004111982,-41.228608,-37880.0,918.79
2021-01-12,104.162,104.327,103.713,103.716,0,0.005920183583543089,0.005347563191666066,High_Volatility,High Volatility + No Trend,,10.19691786496495,13.815131,11691.0,846.21
2021-01-13,103.758,103.993,103.52,103.826,0,0.004569165378670779,0.005347563191666066,Low_Volatility,Low Volatility + No Trend,,10.096599843177042,9.520035,7089.0,744.65
2021-01-14,103.842,104.195,103.56,103.779,0,0.006131711085361056,0.005353882471963265,High_Volatility,High Volatility + No Trend,,10.30430819628904,6.997713,6053.0,864.97
2021-01-15,103.726,103.907,103.613,103.856,0,0.0028374817831738966,0.005353882471963265,Low_Volatility,Low Volatility + No Trend,,10.420761825023014,8.538843,4755.0,556.82
2021-01-18,103.805,103.927,103.632,103.648,0,0.00284661108537905,0.005353882471963265,Low_Volatility,Low Volatility + No Trend,,10.034031470281182,-9.900552,-4335.0,437.89
2021-01-19,103.657,104.081,103.647,103.876,0,0.004187289550107553,0.005347563191666066,Low_Volatility,Low Volatility + No Trend,,10.282294701368594,12.649108,10718.0,847.33
2021-01-20,103.872,103.925,103.441,103.488,0,0.0046789957560347895,0.005347563191666066,Low_Volatility,Low Volatility + No Trend,,10.033795833903032,-1.062911,-702.0,660.28
2021-01-21,103.508,103.662,103.322,103.453,0,0.0032906834943187647,0.005334229947199831,Low_Volatility,Low Volatility + No Trend,,9.883574709146586,15.598975,15785.0,1011.91
2021-01-22,103.468,103.881,103.454,103.74,0,0.004127438281748475,0.005334229947199831,Low_Volatility,Low Volatility + No Trend,,9.850878050679674,-7.759296,-5275.0,679.81
2021-01-25,103.76,103.931,103.668,103.691,0,0.002536944862445412,0.005334229947199831,Low_Volatility,Low Volatility + No Trend,,10.038176908788254,-7.638579,-5038.0,659.52
2021-01-26,103.722,103.824,103.55,103.603,0,0.0026460647030420175,0.005334229947199831,Low_Volatility,Low Volatility + No Trend,,10.189092033468553,-0.042161,-29.0,691.82
2021-01-27,103.633,104.195,103.581,104.069,0,0.005927728058234522,0.005347563191666066,High_Volatility,High Volatility + No Trend,,10.123643877169824,-7.347362,-5460.0,743.18
2021-01-28,104.087,104.458,104.038,104.196,0,0.004036986485707162,0.005347563191666066,Low_Volatility,Low Volatility + No Trend,,10.045872057519682,3.425555,6524.0,1904.61
2021-01-29,104.206,104.935,104.174,104.656,1,0.007305085721965132,0.005353882471963265,High_Volatility,High Volatility + Trend,,9.70077212670709,-39.137173,-101823.0,2601.7
2021-02-01,104.762,105.03,104.602,104.935,1,0.004091699967495815,0.005353882471963265,Low_Volatility,Low Volatility + Trend,,9.604618274173975,-32.178313,-41262.0,1282.3
2021-02-02,104.882,105.168,104.824,104.939,1,0.003281691215752197,0.005353882471963265,Low_Volatility,Low Volatility + Trend,,9.692420144156973,-23.932909,-43514.0,1818.18
2021-02-03,104.913,105.1,104.909,105.009,1,0.0018206254944760534,0.005353882471963265,Low_Volatility,Low Volatility + Trend,,9.564515297714424,-5.685841,-5279.0,928.36
2021-02-04,105.012,105.559,104.97,105.555,1,0.005611126988663414,0.005388616955699406,High_Volatility,High Volatility + Trend,,11.847220598836346,-169.856075,-377858.0,2224.58
2021-02-05,105.493,105.763,105.33,105.332,1,0.004110889585113519,0.005353882471963265,Low_Volatility,Low Volatility + Trend,,9.916501177159546,-5.882626,-20807.0,3536.95
2021-02-08,105.3,105.666,105.146,105.188,1,0.004945504346337436,0.005347563191666066,Low_Volatility,Low Volatility + Trend,,9.34781942129755,10.854956,22600.0,2081.99
2021-02-09,105.191,105.259,104.492,104.533,1,0.007340274853577268,0.005347563191666066,High_Volatility,High Volatility + Trend,,9.440969266011695,29.686903,76779.0,2586.3
2021-02-10,104.576,104.838,104.405,104.576,1,0.004147310952540517,0.005334229947199831,Low_Volatility,Low Volatility + Trend,,9.69628468682725,-8.669191,-12237.0,1411.58
2021-02-11,104.577,104.801,104.546,104.721,1,0.00243911770895104,0.0053197414325601685,Low_Volatility,Low Volatility + Trend,,9.441921586757102,15.940037,14776.0,927.0
2021-02-12,104.721,105.177,104.702,104.91,1,0.004536685068098112,0.0053197414325601685,Low_Volatility,Low Volatility + Trend,,9.51864949600568,45.36666,57806.0,1274.2
2021-02-15,104.887,105.412,104.887,105.362,1,0.00500538674954957,0.005308061163394618,Low_Volatility,Low Volatility + Trend,,9.786329762671864,-18.495389,-15753.0,851.74
2021-02-16,105.357,106.075,105.173,106.008,1,0.008576345640040704,0.005308061163394618,High_Volatility,High Volatility + Trend,,9.438778263273335,-49.047868,-89060.0,1815.78
2021-02-17,106.011,106.22,105.77,105.835,1,0.004254514512621753,0.005288320348190491,Low_Volatility,Low Volatility + Trend,,9.913630676630053,-22.553482,-29544.0,1309.96
2021-02-18,105.864,105.919,105.594,105.657,1,0.003077826391651068,0.005275175095134886,Low_Volatility,Low Volatility + Trend,,9.597172212195133,18.093358,24575.0,1358.22
2021-02-19,105.676,105.738,105.235,105.401,1,0.004779778590773033,0.005267671071550728,Low_Volatility,Low Volatility + Trend,,9.3743136604629,7.489654,8925.0,1191.67
2021-02-22,105.377,105.84,104.979,105.028,1,0.008201640328065652,0.005267671071550728,High_Volatility,High Volatility + Trend,,9.29173505312854,-38.410187,-59338.0,1544.85
2021-02-23,105.049,105.425,104.916,105.207,1,0.004851500247817305,0.005256590585690128,Low_Volatility,Low Volatility + Trend,,9.664725668748856,10.609853,12724.0,1199.27
2021-02-24,105.169,106.1,105.167,105.841,1,0.008871604210446173,0.005256590585690128,High_Volatility,High Volatility + Trend,,9.541522944991073,-18.260521,-23495.0,1286.67
2021-02-25,105.821,106.397,105.821,106.184,1,0.005443154005348727,0.005256590585690128,High_Volatility,High Volatility + Trend,,9.70306806566328,-14.617714,-18774.0,1284.34
2021-02-26,106.214,106.687,105.843,106.505,1,0.007974074808915035,0.005256590585690128,High_Volatility,High Volatility + Trend,,9.52375388702347,-30.153918,-42985.0,1425.52
2021-03-01,106.516,106.883,106.361,106.73,1,0.00490781395436289,0.005246040792059901,Low_Volatility,Low Volatility + Trend,,9.60022658322638,-37.123673,-47218.0,1271.91
2021-03-02,106.659,106.951,106.656,106.677,1,0.0027659015901588986,0.005225327714292174,Low_Volatility,Low Volatility + Trend,,9.49703481546264,-3.220541,-4358.0,1353.25
2021-03-03,106.673,107.147,106.669,106.983,1,0.004481151974800633,0.005205221284355174,Low_Volatility,Low Volatility + Trend,,9.925460870579634,-28.824336,-31488.0,1092.4
2021-03-04,106.957,107.98,106.954,107.939,1,0.009592909101108986,0.005205221284355174,High_Volatility,High Volatility + Trend,,9.690996743211766,-111.375959,-218349.0,1960.47
2021-03-05,107.979,108.633,107.815,108.331,1,0.00758707044474329,0.005205221284355174,High_Volatility,High Volatility + Trend,,10.505669427287742,-134.795542,-266254.0,1975.24
2021-03-08,108.321,108.936,108.265,108.845,1,0.006197755507320062,0.005205221284355174,High_Volatility,High Volatility + Trend,,9.519164319489985,-131.955233,-198694.0,1505.77
2021-03-09,108.833,109.23,108.41,108.44,1,0.007563877871045175,0.005205221284355174,High_Volatility,High Volatility + Trend,,9.63955173205431,-49.401317,-105059.0,2126.64
2021-03-10,108.462,108.916,108.335,108.357,1,0.00536299441547056,0.005205221284355174,High_Volatility,High Volatility + Trend,,9.875040286341354,-2.528778,-5003.0,1978.36
2021-03-11,108.377,108.807,108.351,108.477,1,0.004208544452750811,0.005194426620498606,Low_Volatility,Low Volatility + Trend,,9.57547146269103,8.468848,16748.0,1977.64
2021-03-12,108.497,109.16,108.49,109.008,1,0.0061756843948751194,0.005194426620498606,High_Volatility,High Volatility + Trend,,9.743729477084852,-10.182699,-18500.0,1816.79
2021-03-14,108.971,109.035,108.971,109.013,1,0.0005873122206825022,0.005178466681917678,Low_Volatility,Low Volatility + Trend,,12.747658758831616,,,
2021-03-15,109.004,109.359,108.909,109.13,1,0.004131889926452255,0.005164806185008763,Low_Volatility,Low Volatility + Trend,,9.715887272383245,-27.527352,-41899.0,1522.08
2021-03-16,109.128,109.286,108.767,108.994,1,0.004771667877205453,0.0051581744483026794,Low_Volatility,Low Volatility + Trend,,9.98961905257699,-3.578375,-5291.0,1478.59
2021-03-17,108.993,109.321,108.739,108.843,1,0.005352265516511957,0.0051581744483026794,High_Volatility,High Volatility + Trend,,10.601985114662428,-9.977056,-18586.0,1862.86
2021-03-18,108.84,109.291,108.617,108.934,1,0.006205290147950987,0.0051581744483026794,High_Volatility,High Volatility + Trend,,9.87290950678574,12.822178,18716.0,1459.67
