date,open,high,low,close,CI,trend,trend_in_progress,Volatility,Volatility_median,Volatility_status,Volatility_Trend
2015-05-27,1.5384,1.5437,1.5301,1.535,,0.0,0.0,0.00888830795372855,,Low_Volatility,Low Volatility + No Trend
2015-05-28,1.5353,1.5386,1.5261,1.5311,,0.0,0.0,0.008190813183932872,,Low_Volatility,Low Volatility + No Trend
2015-05-29,1.5315,1.5342,1.5236,1.529,,0.0,0.0,0.00695720661590965,,Low_Volatility,Low Volatility + No Trend
2015-06-01,1.5291,1.5305,1.517,1.52,,0.0,0.0,0.008899143045484554,,Low_Volatility,Low Volatility + No Trend
2015-06-02,1.5198,1.5367,1.5179,1.5343,,0.0,0.0,0.012385532643784128,,Low_Volatility,Low Volatility + No Trend
2015-06-03,1.5343,1.5375,1.525,1.5339,,0.0,0.0,0.008196721311475526,,Low_Volatility,Low Volatility + No Trend
2015-06-04,1.534,1.5441,1.5304,1.5358,,0.0,0.0,0.008951907997909073,,Low_Volatility,Low Volatility + No Trend
2015-06-05,1.5355,1.5369,1.519,1.5261,,0.0,0.0,0.011784068466096134,,Low_Volatility,Low Volatility + No Trend
2015-06-08,1.5256,1.5363,1.5221,1.5346,,0.0,0.0,0.009329216214440569,,Low_Volatility,Low Volatility + No Trend
2015-06-09,1.5347,1.5389,1.5257,1.5386,,0.0,0.0,0.008651766402307057,,Low_Volatility,Low Volatility + No Trend
2015-06-10,1.5384,1.5554,1.5369,1.5529,,0.0,0.0,0.012037217776042658,,Low_Volatility,Low Volatility + No Trend
2015-06-11,1.5528,1.5533,1.5421,1.5515,,0.0,0.0,0.007262823422605457,,Low_Volatility,Low Volatility + No Trend
2015-06-12,1.5516,1.5598,1.5467,1.5553,,0.0,0.0,0.008469645050753288,,Low_Volatility,Low Volatility + No Trend
2015-06-15,1.5544,1.5614,1.5487,1.5601,,0.0,0.0,0.00820042616387934,,Low_Volatility,Low Volatility + No Trend
2015-06-16,1.5601,1.5654,1.554,1.5646,,0.0,0.0,0.007335907335907242,,Low_Volatility,Low Volatility + No Trend
2015-06-17,1.5647,1.5847,1.5626,1.583,,0.0,0.0,0.014143094841930121,,Low_Volatility,Low Volatility + No Trend
2015-06-18,1.583,1.593,1.5806,1.5877,,0.0,0.0,0.007845122105529524,,Low_Volatility,Low Volatility + No Trend
2015-06-19,1.5877,1.5896,1.5835,1.5874,,0.0,0.0,0.0038522260814651058,,Low_Volatility,Low Volatility + No Trend
2015-06-22,1.5872,1.591,1.5805,1.5822,,0.0,0.0,0.006643467257197061,,Low_Volatility,Low Volatility + No Trend
2015-06-23,1.5821,1.5831,1.5708,1.5729,,0.0,0.0,0.007830404889228405,,Low_Volatility,Low Volatility + No Trend
2015-06-24,1.573,1.5803,1.5667,1.5703,,0.0,0.0,0.0086806663688007,,Low_Volatility,Low Volatility + No Trend
2015-06-25,1.5703,1.5771,1.5677,1.5748,,0.0,0.0,0.005996045161701762,,Low_Volatility,Low Volatility + No Trend
2015-06-26,1.5748,1.5766,1.5708,1.5747,,0.0,0.0,0.003692386045327239,,Low_Volatility,Low Volatility + No Trend
2015-06-29,1.5691,1.5789,1.5661,1.5738,,0.0,0.0,0.00817316901858114,,Low_Volatility,Low Volatility + No Trend
2015-06-30,1.5737,1.5776,1.5693,1.5713,,0.0,0.0,0.005288982348817928,,Low_Volatility,Low Volatility + No Trend
2015-07-01,1.5712,1.5725,1.5588,1.5611,,0.0,0.0,0.008788811906594847,,Low_Volatility,Low Volatility + No Trend
2015-07-02,1.5611,1.5639,1.5562,1.5603,,0.0,0.0,0.0049479501349441206,,Low_Volatility,Low Volatility + No Trend
2015-07-03,1.5608,1.5643,1.5552,1.5565,58.14730347220184,0.0,0.0,0.00585133744855974,,Low_Volatility,Low Volatility + No Trend
2015-07-06,1.5545,1.5628,1.5531,1.5598,56.67508882976856,0.0,0.0,0.006245573369390279,,Low_Volatility,Low Volatility + No Trend
2015-07-07,1.56,1.561,1.5414,1.5461,46.126215061185455,0.0,0.0,0.012715712988192447,,Low_Volatility,Low Volatility + No Trend
2015-07-08,1.5462,1.5467,1.533,1.536,40.86534363603549,0.0,0.0,0.00893672537508157,,Low_Volatility,Low Volatility + No Trend
2015-07-09,1.536,1.5421,1.5344,1.5378,40.16208610957308,0.0,0.0,0.005018248175182508,,Low_Volatility,Low Volatility + No Trend
2015-07-10,1.5379,1.5551,1.5364,1.5513,45.26471117327862,0.0,0.0,0.012171309554803398,,Low_Volatility,Low Volatility + No Trend
2015-07-13,1.5497,1.5589,1.548,1.5486,46.97310506010307,0.0,0.0,0.0070413436692505875,,Low_Volatility,Low Volatility + No Trend
2015-07-14,1.5485,1.5639,1.545,1.5635,47.725317618633696,0.0,0.0,0.012233009708737955,,Low_Volatility,Low Volatility + No Trend
2015-07-15,1.5635,1.5675,1.5576,1.5633,47.48693701762919,0.0,0.0,0.0063559322033897,,Low_Volatility,Low Volatility + No Trend
2015-07-16,1.5635,1.565,1.556,1.5608,47.44312696861906,0.0,0.0,0.005784061696658032,,Low_Volatility,Low Volatility + No Trend
2015-07-17,1.5604,1.5673,1.5553,1.5597,48.48120786247703,0.0,0.0,0.007715553269465705,,Low_Volatility,Low Volatility + No Trend
2015-07-20,1.5602,1.5628,1.5538,1.5558,53.21572881718597,0.0,0.0,0.005792251254987705,,Low_Volatility,Low Volatility + No Trend
2015-07-21,1.5561,1.559,1.5528,1.5552,58.30878127287463,0.0,0.0,0.003992787223080875,,Low_Volatility,Low Volatility + No Trend
2015-07-22,1.555,1.5647,1.5545,1.5608,58.40632057996429,0.0,0.0,0.006561595368285614,,Low_Volatility,Low Volatility + No Trend
2015-07-23,1.5608,1.567,1.5501,1.5511,58.69410748566602,0.0,0.0,0.010902522417908468,,Low_Volatility,Low Volatility + No Trend
2015-07-24,1.5511,1.5526,1.5466,1.5505,58.94662419735745,0.0,0.0,0.0038794775636880937,,Low_Volatility,Low Volatility + No Trend
2015-07-27,1.5513,1.5596,1.549,1.5559,59.09040314652479,0.0,0.0,0.0068431245965139866,,Low_Volatility,Low Volatility + No Trend
2015-07-28,1.5559,1.5628,1.5528,1.5613,60.72111430640394,0.0,0.0,0.006439979392065951,,Low_Volatility,Low Volatility + No Trend
2015-07-29,1.5612,1.5689,1.5587,1.5596,61.48996516617495,0.0,0.0,0.006543914800795527,,Low_Volatility,Low Volatility + No Trend
2015-07-30,1.5595,1.5641,1.5563,1.5597,72.89754081171233,0.0,0.0,0.0050118871682837685,,Low_Volatility,Low Volatility + No Trend
2015-07-31,1.5597,1.5679,1.555,1.5618,72.71350460069517,0.0,0.0,0.008295819935691404,,Low_Volatility,Low Volatility + No Trend
2015-08-03,1.5627,1.5644,1.5565,1.5583,74.88097962954288,0.0,0.0,0.005075489881143603,,Low_Volatility,Low Volatility + No Trend
2015-08-04,1.5582,1.5633,1.5558,1.5558,74.36780342148533,0.0,0.0,0.004820671037408304,,Low_Volatility,Low Volatility + No Trend
