date,open,high,low,close,CI,trend,in_progress,Volatility,Volatility_median,Volatility_status,Volatility_Trend,Volatility_Trend_actionable,typical_spread_in_points,weighted_avg_execution_spread_$,PnL_per_lot,total_profit,total_volume
2023-01-02,130.926,131.05,130.613,130.716,48.94439526146806,0.0,0.0,0.0033457619073140638,0.008780064422721896,Low_Volatility,Low Volatility + No Trend,,50.0000000000113,23.72235385,-20.305626,-24508.0,1206.97
2023-01-03,130.718,131.394,129.503,131.0,43.914781516632246,0.0,0.0,0.014601978332548433,0.008864548255860059,High_Volatility,High Volatility + No Trend,Low Volatility + No Trend,10.9999999999956,10.91077353,-37.762814,-331216.0,8770.95
2023-01-04,130.992,132.71,129.921,132.66,45.32216248594981,0.0,0.0,0.021466891418631444,0.008921017781967976,High_Volatility,High Volatility + No Trend,High Volatility + No Trend,10.9999999999956,10.5774467,-8.188685,-60327.0,7367.07
2023-01-05,132.598,134.048,131.677,133.42,46.622309073244246,0.0,0.0,0.018006181793327684,0.009023649826589788,High_Volatility,High Volatility + No Trend,High Volatility + No Trend,10.9999999999956,10.90723575,-24.988417,-188961.0,7561.96
2023-01-06,133.402,134.769,131.991,132.108,46.58167440831773,0.0,0.0,0.021046889560651795,0.009096382172810048,High_Volatility,High Volatility + No Trend,High Volatility + No Trend,10.9999999999956,12.42212584,-12.746732,-97385.0,7639.98
2023-01-09,131.912,132.65,131.302,131.867,61.18341488667434,0.0,0.0,0.01026640873710997,0.009111799586031194,High_Volatility,High Volatility + No Trend,High Volatility + No Trend,10.9999999999956,9.798568569,-1.39527,-8599.0,6163.21
2023-01-10,131.833,132.47,131.375,132.232,60.276447820018255,0.0,0.0,0.008334919124643188,0.009111799586031194,Low_Volatility,Low Volatility + No Trend,High Volatility + No Trend,10.9999999999956,9.958394746,0.341636,1835.0,5371.36
2023-01-11,132.184,132.866,132.061,132.496,59.45495849541716,0.0,0.5,0.006095667911041161,0.009111799586031194,Low_Volatility,Low Volatility + No Trend,Low Volatility + No Trend,10.9999999999956,9.384179798,-3.921482,-21543.0,5493.52
2023-01-12,132.474,132.474,128.854,129.325,54.6885642177404,0.0,0.5,0.028093811600726215,0.009120729897538132,High_Volatility,High Volatility + No Trend,Low Volatility + No Trend,10.9999999999956,12.379009,-40.048253,-428035.0,10687.98
2023-01-13,129.279,129.402,127.453,127.849,46.44304396030641,0.0,0.5,0.015291911528171042,0.009135276171887185,High_Volatility,High Volatility + No Trend,High Volatility + No Trend,10.9999999999956,11.01125097,-32.969681,-244581.0,7418.37
