date,open,high,low,close,CI,trend,in_progress,Volatility,Volatility_median,Volatility_status,Volatility_Trend
2015-01-02,1.20538,1.2069,1.19997,1.20014,35.02123434871057,1.0,0.0,0.005775144378609551,0.004892679128286793,High_Volatility,High Volatility + Trend confirmed
2015-01-05,1.19454,1.19757,1.18642,1.19317,26.584373569201325,1.0,0.0,0.009398020936936324,0.00492460659728535,High_Volatility,High Volatility + Trend confirmed
2015-01-06,1.19318,1.19682,1.18836,1.18887,26.30617842944729,1.0,0.0,0.007119054831869056,0.00492460659728535,High_Volatility,High Volatility + Trend confirmed
2015-01-07,1.18889,1.18956,1.18014,1.18386,25.39239919536985,1.0,0.0,0.007982103818191049,0.00495679722777728,High_Volatility,High Volatility + Trend confirmed
2015-01-08,1.18386,1.18467,1.17536,1.17899,31.110699493655414,1.0,0.0,0.00792097740266806,0.00495679722777728,High_Volatility,High Volatility + Trend confirmed
2015-01-09,1.17901,1.1845,1.17623,1.18402,33.45819973148344,1.0,0.0,0.007030937826785577,0.004970807258155232,High_Volatility,High Volatility + Trend confirmed
2015-01-12,1.18481,1.18702,1.17856,1.18325,34.54045307861199,1.0,0.0,0.0071782514254682935,0.004973602731563557,High_Volatility,High Volatility + Trend confirmed
2015-01-13,1.18324,1.18589,1.17529,1.17718,35.656388781472,1.0,0.0,0.009019050617294596,0.004977613497582448,High_Volatility,High Volatility + Trend confirmed
2015-01-14,1.17712,1.18451,1.17267,1.17881,34.75913528685973,1.0,0.0,0.010096617121611237,0.004977613497582448,High_Volatility,High Volatility + Trend confirmed
2015-01-15,1.17882,1.17921,1.15673,1.16298,24.048656067220943,1.0,0.0,0.019434094386762732,0.004977613497582448,High_Volatility,High Volatility + Trend confirmed
2015-01-16,1.16305,1.16479,1.14594,1.1565,18.634409085172614,1.0,0.0,0.016449377803375423,0.004979082248155967,High_Volatility,High Volatility + Trend confirmed
2015-01-19,1.15524,1.16381,1.15512,1.1606,20.77509701797226,1.0,0.0,0.007523027910520195,0.004980870530875505,High_Volatility,High Volatility + Trend confirmed
2015-01-20,1.1605,1.16138,1.15397,1.15479,22.35631890497981,1.0,0.0,0.006421310779309808,0.004980870530875505,High_Volatility,High Volatility + Trend confirmed
2015-01-21,1.1548,1.1679,1.15406,1.16087,28.937431214996675,1.0,0.0,0.011992444067032782,0.004980870530875505,High_Volatility,High Volatility + Trend confirmed
2015-01-22,1.16088,1.16485,1.13156,1.13642,27.214272303972404,1.0,0.0,0.029419562374067697,0.004980870530875505,High_Volatility,High Volatility + Trend confirmed
2015-01-23,1.1363,1.13731,1.11145,1.12032,18.88286603923625,1.0,0.0,0.023266903594403702,0.004992652316823075,High_Volatility,High Volatility + Trend confirmed
2015-01-26,1.11492,1.12945,1.1097,1.12373,22.94551557088496,1.0,0.0,0.01779760295575395,0.005028547836660745,High_Volatility,High Volatility + Trend confirmed
2015-01-27,1.12377,1.14221,1.1223,1.13803,25.905501880134807,1.0,0.0,0.01774035462888699,0.005088602981693795,High_Volatility,High Volatility + Trend confirmed
2015-01-28,1.13803,1.13828,1.12757,1.12865,27.760230938161605,1.0,0.0,0.009498301657546757,0.005088602981693795,High_Volatility,High Volatility + Trend confirmed
2015-01-29,1.12867,1.1367,1.12612,1.13185,29.57253094072383,1.0,0.0,0.009395091109295664,0.005088602981693795,High_Volatility,High Volatility + Trend confirmed
2015-01-30,1.13154,1.13628,1.1277,1.12844,31.857663429875156,1.0,0.0,0.007608406491088084,0.005125939129813042,High_Volatility,High Volatility + Trend confirmed
2015-02-02,1.13115,1.13616,1.12918,1.13413,34.08630315825142,1.0,0.0,0.0061814768238898895,0.005130013002224388,High_Volatility,High Volatility + Trend confirmed
2015-02-03,1.13399,1.15332,1.13122,1.14781,38.43900912846864,1.0,0.0,0.019536429695373145,0.005130013002224388,High_Volatility,High Volatility + Trend confirmed
2015-02-04,1.14779,1.14842,1.13155,1.13433,46.36033361701512,0.0,0.0,0.014908753479740126,0.005130013002224388,High_Volatility,High Volatility + No Trend
2015-02-05,1.13428,1.14983,1.13035,1.14763,47.33018699550969,0.0,0.0,0.017233600212323567,0.005132795504758762,High_Volatility,High Volatility + No Trend
2015-02-06,1.1476,1.1485,1.1309,1.13102,48.37988314889344,0.0,0.0,0.015562826067733716,0.005148897811217664,High_Volatility,High Volatility + No Trend
2015-02-09,1.12952,1.13586,1.12698,1.13234,49.40658559235733,0.0,0.0,0.007879465474098919,0.005148897811217664,High_Volatility,High Volatility + No Trend
2015-02-10,1.13233,1.13448,1.12726,1.13197,52.282736290976615,0.0,0.0,0.006404911023188976,0.005184470739593017,High_Volatility,High Volatility + No Trend
2015-02-11,1.132,1.13466,1.12794,1.13351,61.38357599518409,0.0,0.0,0.005957763710835735,0.005184470739593017,High_Volatility,High Volatility + No Trend
2015-02-12,1.13348,1.14224,1.13016,1.14022,61.278065686473816,0.0,0.0,0.010688752035109956,0.005225688623510489,High_Volatility,High Volatility + No Trend
2015-02-13,1.1402,1.14421,1.13792,1.13919,73.78225844571271,0.0,0.0,0.005527629358830064,0.005245858861162583,High_Volatility,High Volatility + No Trend
2015-02-16,1.13994,1.14285,1.13191,1.13528,78.09892415145454,0.0,0.0,0.009665079379102534,0.005270657176280079,High_Volatility,High Volatility + No Trend
2015-02-17,1.13533,1.14478,1.13217,1.141,77.43060566273923,0.0,0.0,0.011137903318406256,0.005270657176280079,High_Volatility,High Volatility + No Trend
2015-02-18,1.14097,1.14152,1.13335,1.13962,77.90568802610879,0.0,0.0,0.007208717518860026,0.005270657176280079,High_Volatility,High Volatility + No Trend
2015-02-19,1.1396,1.14496,1.1355,1.13674,77.1587156145502,0.0,0.0,0.008331131660061669,0.005270657176280079,High_Volatility,High Volatility + No Trend
2015-02-20,1.13675,1.14231,1.12788,1.13785,76.52772134519918,0.0,0.0,0.012793914246196353,0.005306075593337701,High_Volatility,High Volatility + No Trend
2015-02-23,1.1394,1.13952,1.12947,1.1334,80.96126820869878,0.0,0.0,0.008897978697973487,0.00537001496984798,High_Volatility,High Volatility + No Trend
2015-02-24,1.13335,1.13577,1.129,1.13397,79.91985674904384,0.0,0.0,0.00599645704162971,0.005430689211539632,High_Volatility,High Volatility + No Trend
2015-02-25,1.13395,1.1388,1.13353,1.13606,80.90130430615656,0.0,0.0,0.00464919322823402,0.00537001496984798,Low_Volatility,Low Volatility + No Trend
2015-02-26,1.13593,1.13791,1.11834,1.11975,71.39887377248711,0.0,0.0,0.017499150526673543,0.005430689211539632,High_Volatility,High Volatility + No Trend
2015-02-27,1.11975,1.12446,1.11758,1.11957,68.7757273839014,0.0,0.0,0.006156158843214801,0.005451048989282805,High_Volatility,High Volatility + No Trend
2015-03-02,1.11805,1.12402,1.11597,1.11824,65.1124320389221,0.0,0.0,0.007213455558841289,0.005495809372824524,High_Volatility,High Volatility + No Trend
2015-03-03,1.11835,1.12171,1.11545,1.11752,63.33177758566341,0.0,0.0,0.0056120848088214905,0.005569857083825777,High_Volatility,High Volatility + No Trend
2015-03-04,1.11742,1.11852,1.10615,1.10767,52.06009988986128,1.0,0.5,0.011182931790444326,0.005569857083825777,High_Volatility,High Volatility + Possible Trend that got confirmed
2015-03-05,1.10772,1.11118,1.09879,1.10291,44.91948243924598,1.0,0.5,0.011276040007644886,0.005569857083825777,High_Volatility,High Volatility + Possible Trend that got confirmed
2015-03-06,1.10284,1.10322,1.08387,1.08433,34.05477769094149,1.0,0.0,0.01785269451133457,0.005622878416575744,High_Volatility,High Volatility + Trend confirmed
2015-03-09,1.08296,1.09061,1.08227,1.08518,32.70702437357893,1.0,0.0,0.007706025298677792,0.0056399326212501185,High_Volatility,High Volatility + Trend confirmed
