date,open,high,low,close,CI,trend,in_progress,Volatility,Volatility_median,Volatility_status,Volatility_Trend,Volatility_Trend_actionable,typical_spread_in_points,weighted_avg_execution_spread_$,volume_spreads_df,PnL_per_lot,total_profit,total_volume
2023-01-02,1.20782,1.20783,1.2035,1.20458,54.89368628328244,0.0,0.5,0.003597839634399622,0.009422633611016326,Low_Volatility,Low Volatility + Possible Trend False,,45.0,36.84025348076779,614.1962837785308,2.84,3266.27,1148.52
2023-01-03,1.20432,1.20848,1.19003,1.19655,48.47860643677126,0.0,0.5,0.015503810828298513,0.009473885998798687,High_Volatility,High Volatility + Possible Trend False,Low Volatility + Possible Trend False,17.0,17.057790149213346,9671.242261744503,-17.42,-321886.32,18478.76
2023-01-04,1.19616,1.20876,1.19572,1.20532,64.18006802545816,0.0,0.0,0.010905563175325464,0.009540732487701445,High_Volatility,High Volatility + No Trend,High Volatility + Possible Trend False,17.0,16.623866859318017,7459.811108159821,6.83,91772.03,13442.21
2023-01-05,1.20523,1.20778,1.18732,1.19128,60.5336315943044,0.0,0.0,0.01723208570562287,0.009575453133708757,High_Volatility,High Volatility + No Trend,High Volatility + No Trend,13.999999999999998,16.43320809587071,8299.186988850985,-8.35,-131873.54,15789.44
2023-01-06,1.19098,1.20991,1.18414,1.20945,58.66298702072803,0.0,0.5,0.02176262941881878,0.009584332863676125,High_Volatility,High Volatility + Possible Trend False,High Volatility + No Trend,13.999999999999998,17.47754855378145,8757.57608295339,-18.45,-301372.35,16338.2
2023-01-09,1.2077,1.221,1.2076,1.21836,59.48723120548036,0.0,0.5,0.011096389532957999,0.009606393525074312,High_Volatility,High Volatility + Possible Trend False,High Volatility + Possible Trend False,13.999999999999998,14.852105942292251,6814.231325045748,-45.51,-588018.4,12920.83
2023-01-10,1.21842,1.21982,1.21099,1.21495,59.089140268857456,0.0,0.5,0.0072915548435576625,0.009606393525074312,Low_Volatility,Low Volatility + Possible Trend False,High Volatility + Possible Trend False,13.999999999999998,15.61410140838514,5902.410648608836,15.44,184253.91,11933.37
2023-01-11,1.21466,1.21781,1.21003,1.21483,58.58275581832615,0.0,0.5,0.006429592654727668,0.009606393525074312,Low_Volatility,Low Volatility + Possible Trend False,Low Volatility + Possible Trend False,13.999999999999998,14.965944237099022,5127.036641630771,14.3,149162.46,10428.45
2023-01-12,1.21436,1.22466,1.20882,1.22079,54.74230595201973,0.0,0.5,0.013103687893979315,0.009645637434314711,High_Volatility,High Volatility + Possible Trend False,Low Volatility + Possible Trend False,13.999999999999998,19.469796127517817,6715.959033628476,1.91,27276.62,14286.57
2023-01-13,1.22069,1.22484,1.21507,1.22351,54.598287084240106,0.0,0.5,0.008040689013801536,0.009645637434314711,Low_Volatility,Low Volatility + Possible Trend False,High Volatility + Possible Trend False,13.999999999999998,16.158138815781413,5021.015417011057,0.55,5511.27,9970.57
2023-01-16,1.221,1.2289,1.21716,1.21917,51.05861573019498,0.0,0.5,0.009645404055342012,0.009657452728090037,Low_Volatility,Low Volatility + Possible Trend False,Low Volatility + Possible Trend False,13.999999999999998,15.882649649162335,4679.1898127514605,2.78,29313.78,10545.39
2023-01-17,1.21901,1.23,1.21693,1.22875,50.16347390137216,0.0,0.5,0.010740141174923713,0.00968144282280313,High_Volatility,High Volatility + Possible Trend False,Low Volatility + Possible Trend False,13.999999999999998,15.807383093330971,7836.254595241196,9.98,168993.79,16930.0
2023-01-18,1.22862,1.24359,1.22538,1.23467,40.60952685813797,0.0,0.5,0.01486069627380899,0.009802236162982505,High_Volatility,High Volatility + Possible Trend False,High Volatility + Possible Trend False,17.0,18.7350550786938,7015.3131379444685,-89.57,-1336216.37,14918.51
2023-01-19,1.23467,1.23973,1.2313,1.23882,40.85705842869961,0.0,0.5,0.006846422480305318,0.009802236162982505,Low_Volatility,Low Volatility + Possible Trend False,High Volatility + Possible Trend False,13.999999999999998,15.310136045677476,4200.568256377017,6.76,65255.04,9654.01
2023-01-20,1.2388,1.24041,1.23353,1.23993,41.31780356166098,0.0,0.5,0.005577488994998093,0.009802236162982505,Low_Volatility,Low Volatility + Possible Trend False,Low Volatility + Possible Trend False,13.999999999999998,14.645785117154857,4033.531134435862,15.37,132226.85,8605.38
2023-01-23,1.23978,1.24477,1.23234,1.23758,40.81617489871556,0.0,0.5,0.010086502101692667,0.009918263514662316,High_Volatility,High Volatility + Possible Trend False,Low Volatility + Possible Trend False,13.999999999999998,15.725221628290738,5306.694126295974,-0.61,-8650.48,14213.53
2023-01-24,1.23742,1.24138,1.2263,1.23343,41.306479169502445,0.0,0.5,0.01229715404060995,0.00997753788573106,High_Volatility,High Volatility + Possible Trend False,High Volatility + Possible Trend False,13.999999999999998,15.79437928108959,5896.479522446208,23.49,384235.07,16358.41
2023-01-25,1.23282,1.24039,1.2283,1.23995,41.515109321237496,0.0,0.5,0.009842872262476722,0.00997753788573106,Low_Volatility,Low Volatility + Possible Trend False,High Volatility + Possible Trend False,8.0,12.728547114935246,5770.280470736597,25.53,346073.86,13558.12
2023-01-26,1.23974,1.24302,1.23445,1.24078,59.80303229860542,0.0,0.5,0.006942362995666059,0.00997753788573106,Low_Volatility,Low Volatility + Possible Trend False,Low Volatility + Possible Trend False,8.0,9.833177257181683,6688.049193813945,11.43,198158.84,17339.92
2023-01-27,1.24082,1.24184,1.23453,1.23976,60.72742539896527,0.0,0.0,0.005921281783350871,0.00997753788573106,Low_Volatility,Low Volatility + No Trend,Low Volatility + Possible Trend False,8.0,9.29178267016575,6332.4882411396475,28.81,371271.9,12888.63
2023-01-30,1.23897,1.24173,1.2337,1.23495,60.44667884664497,0.0,0.0,0.006508875739644955,0.00997753788573106,Low_Volatility,Low Volatility + No Trend,Low Volatility + No Trend,8.0,9.009342803812585,7200.7969223202335,28.93,452216.91,15631.4
2023-01-31,1.23456,1.23707,1.22842,1.23191,60.295632449848405,0.0,0.0,0.0070415655883165566,0.00997753788573106,Low_Volatility,Low Volatility + No Trend,Low Volatility + No Trend,8.0,8.848480158877761,7302.018664540643,19.78,388904.44,19660.86
2023-02-01,1.23151,1.23947,1.22724,1.23733,67.21703306745003,0.0,0.0,0.009965450930543303,0.009997543876938797,Low_Volatility,Low Volatility + No Trend,Low Volatility + No Trend,8.0,10.664025061166344,6007.8301671346735,24.34,406786.2,16713.14
2023-02-02,1.23718,1.2401,1.22214,1.22237,69.37428117075079,0.0,0.0,0.014695534063200595,0.01003944651493195,High_Volatility,High Volatility + No Trend,Low Volatility + No Trend,10.0,14.817936167013722,8816.802918581368,11.16,202090.03,18108.74
2023-02-03,1.22236,1.22654,1.20471,1.20506,55.43599086787294,0.0,0.5,0.018120543533298485,0.010053426237911315,High_Volatility,High Volatility + Possible Trend False,High Volatility + No Trend,10.0,12.841093157193598,7261.30977480624,-13.63,-238991.49,17531.5
2023-02-06,1.20297,1.20774,1.20056,1.20171,51.44750622923637,0.0,0.5,0.005980542413540318,0.010053426237911315,Low_Volatility,Low Volatility + Possible Trend False,High Volatility + Possible Trend False,10.0,11.11880068019216,6507.045770267813,10.09,156898.37,15552.09
2023-02-07,1.20197,1.20954,1.19611,1.20469,47.30142013769176,0.0,0.5,0.011228064308466656,0.010072049185492845,High_Volatility,High Volatility + Possible Trend False,Low Volatility + Possible Trend False,10.0,11.71149063507651,8520.550443357659,14.01,276979.43,19770.44
2023-02-08,1.20433,1.21096,1.203,1.20698,46.79699702953664,0.0,0.5,0.006616791354945941,0.010072049185492845,Low_Volatility,Low Volatility + Possible Trend False,High Volatility + Possible Trend False,10.0,12.107611192609188,6051.879194204283,20.65,305392.52,14792.26
2023-02-09,1.20662,1.21937,1.20566,1.212,46.38696478909886,0.0,0.5,0.011371365061460206,0.01012010843769516,High_Volatility,High Volatility + Possible Trend False,Low Volatility + Possible Trend False,12.999999999999998,12.955676059645562,8395.608100246434,-50.58,-935140.48,18486.58
2023-02-10,1.21175,1.21393,1.2047,1.20578,47.40690267951291,0.0,0.5,0.007661658504191789,0.01012010843769516,Low_Volatility,Low Volatility + Possible Trend False,High Volatility + Possible Trend False,12.999999999999998,13.599106397625665,5898.201936548931,11.93,155363.3,13018.56
