date,open,high,low,close,CI,trend,in_progress,Volatility,Volatility_median,Volatility_status,Volatility_Trend,Volatility_Trend_actionable,typical_spread_in_points,weighted_avg_execution_spread_$,volume_spreads_df,PnL_per_lot,total_profit,total_volume
2023-01-02,130.921,131.051,130.622,130.668,49.17939671845906,0.0,0.0,0.003284285954892542,0.008853115564044155,Low_Volatility,Low Volatility + No Trend,,50.0,23.612782297466303,697.8812206607648,-48.43,-38458.77,794.08
2023-01-03,130.671,131.398,129.506,131.011,44.118312052858926,0.0,0.0,0.014609361728414096,0.008866914899280195,High_Volatility,High Volatility + No Trend,Low Volatility + No Trend,11.0,11.309526971929476,4503.053665391496,-36.36,-329063.12,9048.97
2023-01-04,131.02,132.714,129.924,132.621,45.1643169804553,0.0,0.0,0.021474092546411687,0.00898449650419247,High_Volatility,High Volatility + No Trend,High Volatility + No Trend,11.0,10.969810755422335,3650.95449262164,-9.43,-68138.48,7223.61
2023-01-05,132.552,134.05,131.679,133.402,46.83763177375158,0.0,0.0,0.018005908307323182,0.009109342330276424,High_Volatility,High Volatility + No Trend,High Volatility + No Trend,11.0,11.25271581442896,3941.5672421981426,-23.34,-180207.6,7722.58
2023-01-06,133.384,134.775,131.993,132.138,46.796644732765685,0.0,0.0,0.021076875288841158,0.009127216043822542,High_Volatility,High Volatility + No Trend,High Volatility + No Trend,11.0,12.75861942037102,4090.3733313693992,-12.88,-100096.06,7771.01
2023-01-09,131.867,132.655,131.304,131.882,61.39376231267334,0.0,0.0,0.010289100103576426,0.00913875644750242,High_Volatility,High Volatility + No Trend,High Volatility + No Trend,11.0,10.100314347837454,3372.421836376036,-2.01,-12445.46,6206.41
2023-01-10,131.773,132.473,131.38,132.236,60.478029927489295,0.0,0.0,0.008319378900898294,0.00913875644750242,Low_Volatility,Low Volatility + No Trend,High Volatility + No Trend,11.0,10.37825779783942,2819.940360520775,-0.28,-1539.33,5432.63
2023-01-11,132.225,132.873,131.947,132.48,59.658863383373465,0.0,0.5,0.007017969336172764,0.00913875644750242,Low_Volatility,Low Volatility + Possible Trend False,Low Volatility + No Trend,11.0,9.611112103895904,2792.3227790149967,-5.3,-27284.31,5147.41
2023-01-12,132.39,132.485,128.861,129.257,54.91875070259395,0.0,0.5,0.028123326685343307,0.00915564295191057,High_Volatility,High Volatility + Possible Trend False,Low Volatility + Possible Trend False,11.0,12.541337337667397,5125.9440909089935,-37.17,-408878.65,11001.12
2023-01-13,129.233,129.406,127.458,127.856,46.69104600123915,0.0,0.5,0.015283465926030594,0.009187030567281852,High_Volatility,High Volatility + Possible Trend False,High Volatility + Possible Trend False,11.0,11.424829471623436,3483.7529196554933,-34.65,-257927.05,7444.42
2023-01-16,127.752,128.863,127.218,128.556,45.45279153283966,0.0,0.5,0.01293056014086054,0.009214206851204037,High_Volatility,High Volatility + Possible Trend False,High Volatility + Possible Trend False,11.0,11.662960718284747,2981.2538389277124,-12.29,-75200.45,6119.28
2023-01-17,128.46,129.155,127.989,128.139,45.39349372407375,0.0,0.5,0.009110157904194867,0.009214206851204037,Low_Volatility,Low Volatility + Possible Trend False,High Volatility + Possible Trend False,11.0,11.784954255006443,3108.021277714888,-2.29,-14315.52,6255.01
