date,open,high,low,close,CI,trend,in_progress,Volatility,Volatility_median,Volatility_status,Volatility_Trend
2015-01-02,1186.94,1195.03,1167.33,1188.82,63.15526225928479,0.0,0.0,0.02372936530372735,0.011370645754555323,High_Volatility,High Volatility + No Trend
2015-01-05,1187.73,1207.28,1178.0,1204.32,65.82631854034898,0.0,0.0,0.02485568760611203,0.011390909286817939,High_Volatility,High Volatility + No Trend
2015-01-06,1202.87,1222.92,1201.52,1218.35,66.06788888540166,0.0,0.0,0.017810773020840345,0.011408130579609654,High_Volatility,High Volatility + No Trend
2015-01-07,1217.66,1218.48,1208.85,1210.52,65.67044431352146,0.0,0.0,0.007966248914257443,0.011408130579609654,Low_Volatility,Low Volatility + No Trend
2015-01-08,1210.97,1216.54,1204.42,1208.69,64.86361420278153,0.0,0.0,0.01006293485661139,0.011408130579609654,Low_Volatility,Low Volatility + No Trend
2015-01-09,1207.5,1223.91,1206.16,1222.36,63.30983732590157,0.0,0.0,0.014716123897327054,0.011408130579609654,High_Volatility,High Volatility + No Trend
2015-01-12,1223.9,1235.74,1217.4,1233.25,55.95659293218174,1.0,0.5,0.015064892393625691,0.011450765932906424,High_Volatility,High Volatility + Possible Trend that got confirmed
2015-01-13,1231.85,1244.02,1227.14,1230.77,51.2135645401803,1.0,0.5,0.013755561712599932,0.011450765932906424,High_Volatility,High Volatility + Possible Trend that got confirmed
2015-01-14,1231.54,1244.24,1224.89,1228.89,50.82951106631568,1.0,0.5,0.01579733690372189,0.01149474260562371,High_Volatility,High Volatility + Possible Trend that got confirmed
2015-01-15,1229.28,1266.64,1225.87,1262.31,41.20222775447849,1.0,0.5,0.033258012676711406,0.01149474260562371,High_Volatility,High Volatility + Possible Trend that got confirmed
2015-01-16,1262.97,1282.01,1254.87,1280.04,35.801237690877485,1.0,0.0,0.02162773833146071,0.01149474260562371,High_Volatility,High Volatility + Trend confirmed
2015-01-19,1278.61,1279.03,1271.89,1276.66,35.78683015707407,1.0,0.0,0.0056136930080430475,0.011450765932906424,Low_Volatility,Low Volatility + Trend confirmed
2015-01-21,1294.74,1305.07,1284.48,1293.47,28.89502247821047,1.0,0.0,0.016029833084205216,0.01149474260562371,High_Volatility,High Volatility + Trend confirmed
2015-01-22,1291.97,1307.53,1279.29,1301.38,28.27243148452376,1.0,0.0,0.022074744584886938,0.01149474260562371,High_Volatility,High Volatility + Trend confirmed
2015-01-23,1300.63,1302.07,1284.29,1293.76,31.129545543884745,1.0,0.0,0.013844225213931412,0.01149474260562371,High_Volatility,High Volatility + Trend confirmed
2015-01-26,1294.62,1299.0,1275.71,1281.22,38.38084604046072,1.0,0.0,0.018256500301792697,0.01149474260562371,High_Volatility,High Volatility + Trend confirmed
2015-01-27,1280.55,1297.42,1272.07,1292.25,39.23776739248036,1.0,0.0,0.019928148608174188,0.01149474260562371,High_Volatility,High Volatility + Trend confirmed
2015-01-28,1292.29,1293.8,1279.57,1284.72,39.331687835158405,1.0,0.0,0.011120923435216533,0.01149474260562371,Low_Volatility,Low Volatility + Trend confirmed
2015-01-29,1284.66,1285.75,1251.88,1257.3,40.33863084955427,0.0,0.0,0.027055308815541336,0.01149474260562371,High_Volatility,High Volatility + No Trend
2015-01-30,1258.23,1284.63,1256.95,1283.56,45.30717049976576,0.0,0.0,0.022021560125701153,0.011577837470790539,High_Volatility,High Volatility + No Trend
2015-02-02,1280.42,1283.27,1266.3,1274.98,48.998392914974666,0.0,0.0,0.01340124772960596,0.011577837470790539,High_Volatility,High Volatility + No Trend
2015-02-03,1274.76,1285.55,1255.38,1259.87,49.656123270109454,0.0,0.0,0.02403256384521009,0.011666426154801627,High_Volatility,High Volatility + No Trend
2015-02-04,1261.74,1272.33,1256.54,1269.31,50.662423938544194,0.0,0.0,0.012566253362407853,0.011666426154801627,High_Volatility,High Volatility + No Trend
2015-02-05,1270.01,1273.82,1256.18,1264.52,65.25911790132336,0.0,0.0,0.014042573516534153,0.01170833439531395,High_Volatility,High Volatility + No Trend
2015-02-06,1266.87,1268.62,1228.21,1233.12,51.98776517729309,0.0,0.5,0.0329015396389867,0.01170833439531395,High_Volatility,High Volatility + Possible Trend False
2015-02-09,1237.11,1243.65,1235.04,1239.27,52.25507996885938,0.0,0.5,0.006971434123591242,0.011666426154801627,Low_Volatility,Low Volatility + Possible Trend False
2015-02-10,1238.6,1245.82,1230.84,1233.22,52.41987305373552,0.0,0.5,0.012170550193363897,0.01170833439531395,High_Volatility,High Volatility + Possible Trend False
2015-02-11,1234.04,1238.59,1216.41,1217.18,49.55741572529309,0.0,0.5,0.018233983607500625,0.01170833439531395,High_Volatility,High Volatility + Possible Trend False
2015-02-12,1218.3,1232.82,1218.02,1222.17,51.05793719972441,0.0,0.5,0.012150867801842297,0.011762413290957039,High_Volatility,High Volatility + Possible Trend False
