date,open,high,low,close,CI,trend,in_progress
2014-11-04,1.24819,1.2577,1.24813,1.25452,,0.0,0.0
2014-11-05,1.25443,1.25671,1.24574,1.2485,,0.0,0.0
2014-11-06,1.2485,1.25331,1.23649,1.23735,,0.0,0.0
2014-11-07,1.23736,1.24694,1.23581,1.24531,,0.0,0.0
2014-11-10,1.24705,1.25092,1.24186,1.24204,,0.0,0.0
2014-11-11,1.24183,1.24992,1.23942,1.24751,,0.0,0.0
2014-11-12,1.24744,1.24977,1.24193,1.24379,,0.0,0.0
2014-11-13,1.2438,1.24917,1.24263,1.24759,,0.0,0.0
2014-11-14,1.24757,1.2546,1.23986,1.25218,,0.0,0.0
2014-11-17,1.25292,1.25773,1.24451,1.24496,,0.0,0.0
2014-11-18,1.24492,1.2545,1.24435,1.25359,,0.0,0.0
2014-11-19,1.25357,1.25997,1.25122,1.25537,,0.0,0.0
2014-11-20,1.25536,1.25753,1.25044,1.25387,,0.0,0.0
2014-11-21,1.25386,1.25681,1.23749,1.23874,,0.0,0.0
2014-11-24,1.23592,1.24446,1.23592,1.24413,,0.0,0.0
2014-11-25,1.2442,1.24869,1.2402,1.24744,,0.0,0.0
2014-11-26,1.24741,1.25314,1.24436,1.25052,,0.0,0.0
2014-11-27,1.2506,1.25232,1.24646,1.24669,,0.0,0.0
2014-11-28,1.24668,1.24902,1.24263,1.245,,0.0,0.0
2014-12-01,1.24596,1.25065,1.24192,1.24686,,0.0,0.0
2014-12-02,1.24691,1.2476,1.23768,1.2382,,0.0,0.0
2014-12-03,1.23825,1.23903,1.23011,1.231,,0.0,0.0
2014-12-04,1.23099,1.24562,1.22795,1.23774,,0.0,0.0
2014-12-05,1.23771,1.23929,1.22709,1.2286,,0.0,0.0
2014-12-08,1.22879,1.23434,1.22471,1.23122,,0.0,0.0
2014-12-09,1.23125,1.24477,1.22921,1.2373,,0.0,0.0
2014-12-10,1.23735,1.24479,1.23621,1.24479,,0.0,0.0
2014-12-11,1.24478,1.24949,1.237,1.24096,61.10395972350383,0.0,0.0
2014-12-12,1.24097,1.24851,1.23843,1.24605,60.88753004138242,0.0,0.0
2014-12-15,1.24741,1.24789,1.24144,1.24355,60.678303952113765,0.0,0.0
2014-12-16,1.24354,1.25695,1.24337,1.25103,55.949497971138165,1.0,0.5
2014-12-17,1.25097,1.25157,1.2321,1.23413,56.34610001480476,1.0,0.5
2014-12-18,1.23412,1.23519,1.22656,1.22856,56.830699286207874,1.0,0.5
2014-12-19,1.22856,1.2302,1.222,1.22296,54.27380349019915,1.0,0.5
2014-12-22,1.22218,1.22723,1.22165,1.22286,54.27374639747021,1.0,0.5
2014-12-23,1.22293,1.22454,1.21647,1.2172,49.40054062027267,1.0,0.5
2014-12-24,1.21719,1.222,1.21694,1.22,49.43229804194163,1.0,0.5
2014-12-26,1.22134,1.22165,1.21685,1.21777,49.3482189644339,1.0,0.5
2014-12-29,1.218,1.22206,1.21429,1.2151,47.25193804951167,1.0,0.5
2014-12-30,1.21512,1.21873,1.21236,1.21584,45.17259287401128,1.0,0.5
2014-12-31,1.2156,1.21695,1.20972,1.20991,42.53309027047458,1.0,0.5
2015-01-02,1.20516,1.20696,1.1998,1.19994,34.92724874280332,1.0,0.0
2015-01-05,1.19505,1.19761,1.18626,1.19324,26.524042721089113,1.0,0.0
2015-01-06,1.19329,1.19686,1.1884,1.1889,26.25212477918851,1.0,0.0
2015-01-07,1.18893,1.18962,1.18019,1.18393,25.437135061445016,1.0,0.0
2015-01-08,1.18391,1.18473,1.1754,1.17893,31.229981646414878,1.0,0.0
2015-01-09,1.17928,1.1846,1.17624,1.1841,33.53727753213892,1.0,0.0
2015-01-12,1.18485,1.18706,1.1786,1.18331,34.64343313735015,1.0,0.0
2015-01-13,1.18326,1.18594,1.17534,1.17718,35.78484456028929,1.0,0.0
2015-01-14,1.1772,1.18456,1.17272,1.17895,34.92760672876376,1.0,0.0
2015-01-15,1.17894,1.1792,1.15679,1.163,24.22207224861356,1.0,0.0
2015-01-16,1.16299,1.16485,1.14599,1.1558,18.784279526993004,1.0,0.0
2015-01-19,1.15504,1.16388,1.15504,1.1601,20.904147705110475,1.0,0.0
2015-01-20,1.1601,1.16146,1.15402,1.15477,22.47881210062586,1.0,0.0
2015-01-21,1.15483,1.16788,1.15412,1.16087,29.016767396575514,1.0,0.0
2015-01-22,1.16081,1.16505,1.13161,1.13649,27.301701099047463,1.0,0.0
2015-01-23,1.13586,1.13738,1.11144,1.12041,18.941492709887324,1.0,0.0
2015-01-26,1.11513,1.12952,1.10979,1.12371,23.039761649320273,1.0,0.0
2015-01-27,1.12347,1.14223,1.12235,1.13798,26.0071499573419,1.0,0.0
2015-01-28,1.13805,1.13826,1.12761,1.12855,27.856686489501566,1.0,0.0
2015-01-29,1.12863,1.13677,1.12617,1.13194,29.660345757538348,1.0,0.0
2015-01-30,1.13193,1.13637,1.12749,1.1277,31.937740999793935,1.0,0.0
2015-02-02,1.13121,1.13617,1.12922,1.13378,34.174936987925165,1.0,0.0
2015-02-03,1.13401,1.15337,1.13123,1.14761,38.56944807567876,1.0,0.0
2015-02-04,1.14776,1.14846,1.13152,1.13451,46.51839124842175,0.0,0.0
2015-02-05,1.1345,1.14987,1.13039,1.14751,47.50575322263342,0.0,0.0
2015-02-06,1.14751,1.14855,1.13111,1.13139,48.565550120239386,0.0,0.0
2015-02-09,1.12966,1.13593,1.12702,1.13231,49.60154462044041,0.0,0.0
2015-02-10,1.13234,1.13452,1.12728,1.13206,52.3422197114394,0.0,0.0
2015-02-11,1.13203,1.13468,1.12797,1.13352,61.561867790025566,0.0,0.0
2015-02-12,1.13353,1.14228,1.13019,1.14003,61.4637488683575,0.0,0.0
2015-02-13,1.14002,1.1443,1.13799,1.13829,73.94263801293685,0.0,0.0
2015-02-16,1.13961,1.14288,1.13195,1.13509,78.27083131246123,0.0,0.0
2015-02-17,1.13515,1.14486,1.13219,1.14109,77.61698605634831,0.0,0.0
2015-02-18,1.14109,1.14157,1.13337,1.13969,78.0940524232628,0.0,0.0
2015-02-19,1.13958,1.14499,1.1355,1.13676,77.35644037684732,0.0,0.0
2015-02-20,1.13681,1.14294,1.1279,1.13777,76.72235312008075,0.0,0.0
2015-02-23,1.13895,1.1396,1.12951,1.13343,81.16821778892098,0.0,0.0
2015-02-24,1.13344,1.13579,1.1288,1.13388,80.12512379215053,0.0,0.0
2015-02-25,1.13399,1.13884,1.13356,1.13604,81.08866617979,0.0,0.0
2015-02-26,1.13604,1.13795,1.11836,1.11971,71.59739041343265,0.0,0.0
2015-02-27,1.11972,1.12449,1.11759,1.11904,68.96938195316123,0.0,0.0
2015-03-02,1.11813,1.12403,1.11599,1.11828,65.32708903458048,0.0,0.0
2015-03-03,1.11825,1.12174,1.11545,1.11753,63.52858811397549,0.0,0.0
2015-03-04,1.11756,1.11854,1.10615,1.10765,52.273994967796824,1.0,0.5
2015-03-05,1.10764,1.11141,1.09873,1.10256,45.09888389865902,1.0,0.5
2015-03-06,1.10251,1.10326,1.0837,1.08386,34.195849491343154,1.0,0.0
2015-03-09,1.083,1.09064,1.08226,1.08524,32.95794923099725,1.0,0.0
2015-03-10,1.08526,1.08548,1.06685,1.06799,24.5065729727397,1.0,0.0
2015-03-11,1.0681,1.07165,1.05111,1.05446,18.450621310384243,1.0,0.0
2015-03-12,1.05459,1.06834,1.04943,1.06243,19.15417726997129,1.0,0.0
2015-03-13,1.06236,1.06346,1.04623,1.04888,18.500514064183513,1.0,0.0
2015-03-16,1.04893,1.06193,1.04793,1.0567,19.155405099936882,1.0,0.0
2015-03-17,1.0567,1.06507,1.05512,1.0597,20.490729350264985,1.0,0.0
2015-03-18,1.0597,1.10398,1.05799,1.08288,27.853880388054538,1.0,0.0
2015-03-19,1.08287,1.09192,1.06132,1.06563,29.79003835545381,1.0,0.0
2015-03-20,1.06578,1.08817,1.06554,1.08147,32.76955086418532,1.0,0.0
2015-03-23,1.08669,1.09711,1.07674,1.0945,36.380282639061235,1.0,0.0
2015-03-24,1.09451,1.1029,1.08904,1.09193,42.20235615550826,0.0,0.0
2015-03-25,1.09194,1.10142,1.09008,1.09713,48.48687609033705,0.0,0.0
2015-03-26,1.09713,1.10519,1.08563,1.08748,49.21877780923907,0.0,0.0
2015-03-27,1.08749,1.09485,1.08012,1.08858,50.80596983918491,0.0,0.0
2015-03-30,1.0886,1.08948,1.081,1.08313,52.091158728916916,0.0,0.0
2015-03-31,1.08316,1.08452,1.07129,1.07313,53.127339131207464,0.0,0.0
2015-04-01,1.07311,1.07997,1.07184,1.07625,53.974441526425046,0.0,0.0
2015-04-02,1.07625,1.09052,1.07502,1.08799,55.81564335187888,0.0,0.0
2015-04-03,1.08798,1.10268,1.08638,1.09674,61.56862802670449,0.0,0.0
2015-04-06,1.10009,1.10354,1.09098,1.0922,64.44077137434229,0.0,0.0
2015-04-07,1.09219,1.09546,1.08032,1.08142,67.24386029287763,0.0,0.0
2015-04-08,1.08137,1.08872,1.07631,1.07793,70.66663553963032,0.0,0.0
2015-04-09,1.07794,1.07886,1.06376,1.06585,68.35128477625686,0.0,0.0
2015-04-10,1.06579,1.06834,1.05677,1.05991,61.529545095184076,0.0,0.0
2015-04-13,1.05814,1.06188,1.05206,1.05667,57.013124644679365,1.0,0.5
2015-04-14,1.0567,1.0707,1.05315,1.06541,56.074822256437024,1.0,0.5
2015-04-15,1.06537,1.07017,1.05707,1.06828,56.23120468880708,1.0,0.5
2015-04-16,1.06833,1.08174,1.06249,1.07609,55.140403682778874,1.0,0.5
2015-04-17,1.07611,1.08485,1.0734,1.07999,54.18271737443942,1.0,0.5
2015-04-20,1.08178,1.08195,1.07124,1.07372,53.26200259777922,1.0,0.5
2015-04-21,1.07369,1.07808,1.06598,1.07346,52.512816069361364,1.0,0.5
2015-04-22,1.0735,1.08006,1.07084,1.07232,51.6874176571406,1.0,0.5
2015-04-23,1.07233,1.08456,1.06659,1.08236,50.83498020805078,1.0,0.5
2015-04-24,1.08228,1.08996,1.07848,1.08667,56.380492580400485,1.0,0.5
2015-04-27,1.08613,1.09262,1.08193,1.08894,58.377181865055796,1.0,0.5
2015-04-28,1.08895,1.09908,1.086,1.09802,52.47345361247324,1.0,0.5
2015-04-29,1.09801,1.11877,1.09595,1.11275,39.13428246730013,1.0,0.0
2015-04-30,1.11279,1.1266,1.10712,1.12235,35.084778528824046,1.0,0.0
2015-05-01,1.12239,1.12899,1.11747,1.11937,34.66695273141144,1.0,0.0
2015-05-04,1.11887,1.12243,1.11226,1.11448,36.7202445313326,1.0,0.0
2015-05-05,1.11442,1.12227,1.10663,1.11848,39.85959910236073,1.0,0.0
2015-05-06,1.11846,1.13699,1.11747,1.13465,37.48259462479039,1.0,0.0
2015-05-07,1.13468,1.13916,1.12371,1.1265,36.46566330544135,1.0,0.0
2015-05-08,1.12651,1.12871,1.11788,1.1209,36.62610234856217,1.0,0.0
2015-05-11,1.11988,1.12057,1.11308,1.11547,36.98729068338924,1.0,0.0
2015-05-12,1.11546,1.12786,1.11343,1.12126,37.1921789136411,1.0,0.0
