date,open,high,low,close,CI,trend,in_progress
2015-05-27,1.5384,1.5437,1.5301,1.535,,0.0,0.0
2015-05-28,1.5353,1.5386,1.5261,1.5311,,0.0,0.0
2015-05-29,1.5315,1.5342,1.5236,1.529,,0.0,0.0
2015-06-01,1.5291,1.5305,1.517,1.52,,0.0,0.0
2015-06-02,1.5198,1.5367,1.5179,1.5343,,0.0,0.0
2015-06-03,1.5343,1.5375,1.525,1.5339,,0.0,0.0
2015-06-04,1.534,1.5441,1.5304,1.5358,,0.0,0.0
2015-06-05,1.5355,1.5369,1.519,1.5261,,0.0,0.0
2015-06-08,1.5256,1.5363,1.5221,1.5346,,0.0,0.0
2015-06-09,1.5347,1.5389,1.5257,1.5386,,0.0,0.0
2015-06-10,1.5384,1.5554,1.5369,1.5529,,0.0,0.0
2015-06-11,1.5528,1.5533,1.5421,1.5515,,0.0,0.0
2015-06-12,1.5516,1.5598,1.5467,1.5553,,0.0,0.0
2015-06-15,1.5544,1.5614,1.5487,1.5601,,0.0,0.0
2015-06-16,1.5601,1.5654,1.554,1.5646,,0.0,0.0
2015-06-17,1.5647,1.5847,1.5626,1.583,,0.0,0.0
2015-06-18,1.583,1.593,1.5806,1.5877,,0.0,0.0
2015-06-19,1.5877,1.5896,1.5835,1.5874,,0.0,0.0
2015-06-22,1.5872,1.591,1.5805,1.5822,,0.0,0.0
2015-06-23,1.5821,1.5831,1.5708,1.5729,,0.0,0.0
2015-06-24,1.573,1.5803,1.5667,1.5703,,0.0,0.0
2015-06-25,1.5703,1.5771,1.5677,1.5748,,0.0,0.0
2015-06-26,1.5748,1.5766,1.5708,1.5747,,0.0,0.0
2015-06-29,1.5691,1.5789,1.5661,1.5738,,0.0,0.0
2015-06-30,1.5737,1.5776,1.5693,1.5713,,0.0,0.0
2015-07-01,1.5712,1.5725,1.5588,1.5611,,0.0,0.0
2015-07-02,1.5611,1.5639,1.5562,1.5603,,0.0,0.0
2015-07-03,1.5608,1.5643,1.5552,1.5565,58.147303472201834,0.0,0.0
2015-07-06,1.5545,1.5628,1.5531,1.5598,56.67508882976856,0.0,0.0
2015-07-07,1.56,1.561,1.5414,1.5461,46.126215061185455,0.0,0.0
