date,open,high,low,close,CI,trend,in_progress
2015-05-27,123.05,124.07,122.77,123.61,,0.0,0.0
2015-05-28,123.61,124.46,123.49,123.95,,0.0,0.0
2015-05-29,123.94,124.18,123.6,124.11,,0.0,0.0
2015-06-01,124.08,124.92,123.86,124.77,,0.0,0.0
2015-06-02,124.77,125.05,123.75,124.08,,0.0,0.0
2015-06-03,124.08,124.68,123.78,124.24,,0.0,0.0
2015-06-04,124.24,124.68,123.77,124.34,,0.0,0.0
2015-06-05,124.35,125.86,124.34,125.58,,0.0,0.0
2015-06-08,125.57,125.68,124.29,124.48,,0.0,0.0
2015-06-09,124.48,124.74,123.86,124.33,,0.0,0.0
2015-06-10,124.33,124.62,122.46,122.6,,0.0,0.0
2015-06-11,122.59,124.14,122.58,123.41,,0.0,0.0
2015-06-12,123.41,123.82,123.14,123.35,,0.0,0.0
2015-06-15,123.21,123.66,123.12,123.4,,0.0,0.0
2015-06-16,123.4,123.8,123.29,123.36,,0.0,0.0
2015-06-17,123.35,124.45,123.21,123.43,,0.0,0.0
2015-06-18,123.42,123.61,122.45,122.96,,0.0,0.0
2015-06-19,122.96,123.22,122.56,122.63,,0.0,0.0
2015-06-22,122.94,123.42,122.56,123.35,,0.0,0.0
2015-06-23,123.34,124.18,123.34,123.93,,0.0,0.0
2015-06-24,123.91,124.37,123.71,123.84,,0.0,0.0
2015-06-25,123.84,123.95,123.32,123.62,,0.0,0.0
2015-06-26,123.62,123.99,123.22,123.81,,0.0,0.0
2015-06-29,122.7,123.19,122.1,122.53,,0.0,0.0
2015-06-30,122.53,122.72,121.93,122.49,,0.0,0.0
2015-07-01,122.49,123.24,122.36,123.17,,0.0,0.0
2015-07-02,123.16,123.71,122.95,123.02,,0.0,0.0
2015-07-03,123.03,123.18,122.6,122.82,64.87120768043192,0.0,0.0
2015-07-06,121.88,122.93,121.84,122.55,63.087079909782915,0.0,0.0
2015-07-07,122.56,122.89,122.01,122.53,63.68142032527424,0.0,0.0
2015-07-08,122.53,122.57,120.41,120.7,46.19518007946752,0.0,0.5
2015-07-09,120.7,121.58,120.46,121.31,45.854353846965616,0.0,0.5
2015-07-10,121.32,122.88,121.25,122.84,45.758452287794675,0.0,0.5
2015-07-13,122.19,123.54,122.19,123.44,45.77887721183869,0.0,0.5
2015-07-14,123.45,123.73,122.92,123.39,49.7034604838582,0.0,0.5
2015-07-15,123.4,123.97,123.26,123.76,50.0016430547187,0.0,0.5
2015-07-16,123.76,124.18,123.69,124.14,48.40610353314538,0.0,0.5
2015-07-17,124.15,124.24,123.92,124.06,47.72565405832986,0.0,0.5
2015-07-20,124.02,124.39,124.01,124.26,46.38008769397825,0.0,0.5
2015-07-21,124.21,124.48,123.76,123.88,45.74613681140571,0.0,0.5
2015-07-22,123.83,124.15,123.57,123.96,45.906861675825475,0.0,0.5
2015-07-23,123.96,124.19,123.68,123.92,46.04521266781849,0.0,0.5
2015-07-24,123.91,124.09,123.59,123.76,45.95237560238203,0.0,0.5
2015-07-27,123.73,123.84,123.01,123.24,45.92071952855342,0.0,0.5
2015-07-28,123.24,123.79,123.07,123.56,45.87095740009485,0.0,0.5
2015-07-29,123.56,124.03,123.33,123.93,53.45698244001267,0.0,0.5
2015-07-30,123.93,124.58,123.88,124.14,63.79572117556328,0.0,0.0
2015-07-31,124.13,124.38,123.52,123.87,76.28407100668471,0.0,0.0
2015-08-03,123.85,124.27,123.85,124.02,76.9038278695063,0.0,0.0
2015-08-04,124.02,124.4,123.8,124.38,75.30532490686659,0.0,0.0
2015-08-05,124.38,125.02,124.01,124.85,64.47178769957472,0.0,0.0
2015-08-06,124.86,124.97,124.54,124.73,63.32212505804475,0.0,0.0
2015-08-07,124.73,125.08,124.11,124.21,61.28228446369834,0.0,0.0
2015-08-10,124.11,124.78,124.11,124.62,60.36309659909642,0.0,0.0
2015-08-11,124.62,125.21,124.52,125.1,57.192032670469466,0.0,0.5
2015-08-12,125.1,125.28,123.79,124.2,55.41311493960406,0.0,0.5
2015-08-13,124.2,124.63,124.07,124.44,54.993674374665815,0.0,0.5
2015-08-14,124.44,124.53,124.06,124.32,55.49690774421963,0.0,0.5
2015-08-17,124.29,124.58,124.2,124.39,60.03523519941737,0.0,0.0
2015-08-18,124.38,124.51,124.18,124.39,63.72859195514135,0.0,0.0
2015-08-19,124.4,124.47,123.69,123.79,63.825737146167974,0.0,0.0
2015-08-20,123.79,124.16,123.33,123.36,60.16878405753692,0.0,0.0
2015-08-21,123.38,123.5,121.82,122.03,39.12848083541424,1.0,0.5
2015-08-24,121.87,122.02,116.14,118.41,4.445958879988176,1.0,0.0
2015-08-25,118.41,120.4,118.25,118.82,6.613286667574201,1.0,0.0
2015-08-26,118.8,120.01,118.45,119.91,8.902885990930283,1.0,0.0
2015-08-27,119.92,121.4,119.8,121.01,11.070831803500427,1.0,0.0
2015-08-28,121.0,121.74,120.65,121.7,13.219741724556085,1.0,0.0
2015-08-31,121.62,121.64,120.88,121.23,15.257257181155559,1.0,0.0
2015-09-01,121.22,121.26,119.25,119.34,19.899512884696644,1.0,0.0
2015-09-02,119.35,120.47,119.22,120.33,21.99759499887266,1.0,0.0
2015-09-03,120.33,120.7,119.64,120.07,23.94579270363269,1.0,0.0
2015-09-04,120.06,120.18,118.57,119.02,26.368290382269404,1.0,0.0
2015-09-07,118.92,119.59,118.8,119.27,28.672473465900577,1.0,0.0
2015-09-08,119.27,120.23,118.85,119.81,32.19468561142934,1.0,0.0
2015-09-09,119.81,121.2,119.8,120.45,37.507272791928834,1.0,0.0
2015-09-10,120.44,121.33,119.97,120.61,47.76093889143538,0.0,0.0
2015-09-11,120.61,120.97,120.36,120.57,67.85382972211754,0.0,0.0
2015-09-14,120.49,120.84,119.85,120.23,70.11717597234289,0.0,0.0
2015-09-15,120.23,120.65,119.4,120.41,71.36572981224876,0.0,0.0
2015-09-16,120.4,120.72,120.1,120.54,70.99516736176183,0.0,0.0
2015-09-17,120.56,120.99,119.79,119.98,71.79447377814307,0.0,0.0
2015-09-18,119.98,120.41,119.05,119.96,75.46301326708483,0.0,0.0
2015-09-21,120.1,120.66,119.73,120.55,74.87761501240622,0.0,0.0
2015-09-22,120.55,120.6,119.69,120.11,74.14053934618684,0.0,0.0
2015-09-23,120.15,120.55,119.62,120.27,73.28691165957058,0.0,0.0
2015-09-24,120.25,120.39,119.22,120.06,75.46763681881644,0.0,0.0
2015-09-25,120.07,121.24,120.0,120.55,75.07226388418809,0.0,0.0
2015-09-28,120.5,120.59,119.69,119.91,76.90243692976703,0.0,0.0
2015-09-29,119.91,120.16,119.25,119.73,75.32419156683733,0.0,0.0
2015-09-30,119.73,120.35,119.55,119.87,75.16263007687007,0.0,0.0
2015-10-01,119.87,120.27,119.49,119.92,74.35495406156036,0.0,0.0
2015-10-02,119.92,120.4,118.68,119.87,67.94850582707203,0.0,0.0
2015-10-05,119.98,120.55,119.87,120.45,67.40443073710348,0.0,0.0
2015-10-06,120.45,120.57,120.11,120.2,67.00065851954304,0.0,0.0
2015-10-07,120.2,120.36,119.74,119.99,66.46649444074383,0.0,0.0
2015-10-08,120.0,120.11,119.63,119.93,65.66020513946162,0.0,0.0
2015-10-09,119.92,120.34,119.83,120.27,64.96224844324772,0.0,0.0
2015-10-12,120.17,120.27,119.89,120.04,64.21431783826146,0.0,0.0
2015-10-13,120.01,120.08,119.55,119.73,63.39779373641905,0.0,0.0
2015-10-14,119.73,119.8,118.63,118.83,61.919476178985136,0.0,0.0
2015-10-15,118.83,119.17,118.06,118.86,62.21884227119909,0.0,0.0
2015-10-16,118.88,119.65,118.82,119.4,61.70524186100667,0.0,0.0
2015-10-19,119.33,119.61,119.14,119.48,60.883835145620885,0.0,0.0
2015-10-20,119.47,119.96,119.41,119.83,60.11270264355187,0.0,0.0
2015-10-21,119.83,120.09,119.76,119.91,59.18559304856338,1.0,0.5
2015-10-22,119.9,120.77,119.61,120.68,55.02984479910247,1.0,0.5
2015-10-23,120.68,121.48,120.22,121.42,45.19633768535844,1.0,0.5
2015-10-26,121.47,121.48,120.59,120.98,44.297394601829815,1.0,0.5
2015-10-27,120.98,121.07,120.15,120.38,43.59764099070464,1.0,0.5
2015-10-28,120.38,121.26,120.02,121.1,43.30095753333423,1.0,0.5
2015-10-29,121.1,121.18,120.58,121.05,43.13146195297391,1.0,0.5
2015-10-30,121.05,121.48,120.25,120.58,43.311052729389424,1.0,0.5
2015-11-02,120.34,120.81,120.25,120.72,43.59764099070467,1.0,0.5
2015-11-03,120.77,121.23,120.6,121.05,43.74761078344101,1.0,0.5
2015-11-04,121.05,121.72,121.0,121.55,50.08190392638769,1.0,0.5
2015-11-05,121.57,122.0,121.39,121.73,50.65545582602498,1.0,0.5
2015-11-06,121.73,123.27,121.63,123.12,39.73845016077831,1.0,0.0
2015-11-09,123.27,123.61,122.98,123.17,38.908186596283684,1.0,0.0
2015-11-10,123.16,123.43,123.02,123.11,39.54738982083215,1.0,0.0
2015-11-11,123.11,123.23,122.74,122.85,44.24795702879005,0.0,0.0
2015-11-12,122.85,123.07,122.55,122.58,44.53533116782805,0.0,0.0
2015-11-13,122.58,122.98,122.42,122.57,44.64456784629207,0.0,0.0
2015-11-16,122.23,123.28,122.22,123.17,44.71644560155978,0.0,0.0
2015-11-17,123.17,123.49,123.17,123.43,46.90665392449522,0.0,0.0
2015-11-18,123.43,123.75,123.22,123.62,45.000709080980585,0.0,0.0
2015-11-19,123.61,123.64,122.62,122.85,44.38494684646504,0.0,0.0
2015-11-20,122.85,123.05,122.72,122.78,47.68795698088838,0.0,0.0
2015-11-23,122.86,123.26,122.78,122.83,52.228525744850806,0.0,0.0
2015-11-24,122.83,122.96,122.3,122.52,57.4917528276936,0.0,0.0
2015-11-25,122.53,122.94,122.26,122.7,61.089878118631745,0.0,0.0
2015-11-26,122.66,122.73,122.49,122.56,72.30847697110563,0.0,0.0
2015-11-27,122.56,122.88,122.31,122.82,71.09528594067719,0.0,0.0
2015-11-30,122.81,123.34,122.69,123.09,69.88674736505399,0.0,0.0
2015-12-01,123.09,123.27,122.64,122.85,68.87184044042374,0.0,0.0
2015-12-02,122.83,123.66,122.82,123.24,68.14077625632389,0.0,0.0
2015-12-03,123.23,123.55,122.29,122.59,67.70179024735135,0.0,0.0
2015-12-04,122.6,123.37,122.47,123.09,68.17143213782438,0.0,0.0
2015-12-07,123.19,123.47,123.14,123.36,67.92720787709533,0.0,0.0
2015-12-08,123.35,123.39,122.72,122.92,70.1061193085239,0.0,0.0
2015-12-09,122.91,123.05,121.07,121.44,46.96816083613479,1.0,0.5
2015-12-10,121.43,121.86,121.24,121.53,47.29652181133969,1.0,0.5
2015-12-11,121.53,122.23,120.58,120.93,41.44691847915224,1.0,0.5
2015-12-14,121.04,121.35,120.34,121.02,39.42471795142416,1.0,0.0
2015-12-15,121.02,121.79,120.57,121.65,40.36065928122028,0.0,0.0
2015-12-16,121.65,122.35,121.37,122.2,41.85654856120018,0.0,0.0
2015-12-17,122.19,122.87,122.18,122.54,43.34240062556376,0.0,0.0
2015-12-18,122.55,123.56,121.05,121.1,45.17521471709741,0.0,0.0
2015-12-21,121.21,121.5,120.84,121.15,46.897449514457605,0.0,0.0
2015-12-22,121.15,121.3,120.71,121.04,49.574400382891255,0.0,0.0
2015-12-23,121.04,121.13,120.8,120.9,50.67598582063042,0.0,0.0
2015-12-24,120.9,120.98,120.24,120.4,50.58757237450108,0.0,0.0
2015-12-28,120.16,120.63,120.14,120.39,50.51457467472944,0.0,0.0
2015-12-29,120.38,120.5,120.23,120.45,51.42783580749222,0.0,0.0
2015-12-30,120.45,120.65,120.35,120.51,51.790696675996635,0.0,0.0
2015-12-31,120.5,120.57,120.0,120.29,50.56186834585221,0.0,0.0
2016-01-04,120.18,120.46,118.69,119.43,38.76893623359193,1.0,0.0
2016-01-05,119.43,119.7,118.79,119.05,38.75894590471733,1.0,0.0
2016-01-06,119.05,119.16,118.24,118.46,35.23177684877299,1.0,0.0
2016-01-07,118.46,118.76,117.33,117.66,29.010806454321795,1.0,0.0
2016-01-08,117.67,118.83,117.32,117.36,28.852930090579978,1.0,0.0
2016-01-11,117.18,118.02,116.68,117.74,37.91923428941796,1.0,0.0
2016-01-12,117.74,118.06,117.22,117.63,38.82504934497616,1.0,0.0
2016-01-13,117.63,118.38,117.63,117.65,39.62019801105526,1.0,0.0
2016-01-14,117.65,118.28,117.29,118.05,40.62762999869239,0.0,0.0
2016-01-15,118.05,118.26,116.5,116.95,41.934263136044585,0.0,0.0
2016-01-18,116.68,117.44,116.68,117.27,41.92994983858188,0.0,0.0
2016-01-19,117.27,118.11,117.23,117.6,42.14287088005777,0.0,0.0
2016-01-20,117.61,117.68,115.97,116.94,39.10701521528648,1.0,0.0
2016-01-21,116.94,117.81,116.47,117.68,41.03764630078176,0.0,0.0
2016-01-22,117.68,118.87,117.53,118.74,48.94214023276854,0.0,0.0
2016-01-25,118.62,118.86,118.17,118.32,55.70232389280578,0.0,0.0
2016-01-26,118.29,118.62,117.64,118.4,60.19884842342211,0.0,0.0
2016-01-27,118.4,119.07,118.04,118.65,58.37789302379276,1.0,0.5
2016-01-28,118.65,118.99,118.41,118.8,58.748321701014454,1.0,0.5
2016-01-29,118.81,121.69,118.52,121.12,36.4499940402717,1.0,0.0
2016-02-01,121.32,121.49,120.68,120.96,37.30463667061003,1.0,0.0
2016-02-02,120.96,121.03,119.83,119.95,38.190546356228616,1.0,0.0
2016-02-03,119.96,120.05,117.05,117.85,39.28342424059997,1.0,0.0
2016-02-04,117.85,118.23,116.52,116.75,40.17067851046166,0.0,0.0
2016-02-05,116.76,117.43,116.27,116.8,41.05845330397808,0.0,0.0
2016-02-08,116.92,117.52,115.17,115.84,37.09993616619595,1.0,0.0
2016-02-09,115.84,115.85,114.2,115.1,32.59640985585387,1.0,0.0
2016-02-10,115.1,115.26,113.11,113.31,28.191458096820288,1.0,0.0
2016-02-11,113.3,113.58,110.97,112.39,20.73186044539035,1.0,0.0
2016-02-12,112.4,113.54,111.64,113.17,21.888572273373804,1.0,0.0
2016-02-15,113.37,114.72,113.26,114.54,23.081108245119605,1.0,0.0
2016-02-16,114.55,114.87,113.59,114.03,24.323723520709166,1.0,0.0
2016-02-17,114.04,114.5,113.37,114.06,25.71691324203753,1.0,0.0
2016-02-18,114.07,114.32,113.14,113.22,27.29913088593096,1.0,0.0
2016-02-19,113.22,113.38,112.31,112.56,29.877944652162835,1.0,0.0
2016-02-22,112.54,113.38,112.42,112.85,34.54350259707125,1.0,0.0
2016-02-23,112.84,113.05,111.77,112.09,43.34542713511872,0.0,0.0
2016-02-24,112.1,112.27,111.05,112.17,47.51610960780394,0.0,0.0
2016-02-25,112.16,113.02,111.89,112.98,47.73480792735097,0.0,0.0
2016-02-26,112.98,113.98,112.55,113.96,58.82507978254608,0.0,0.0
2016-02-29,113.96,113.98,112.65,112.67,63.61494022441335,0.0,0.0
2016-03-01,112.65,114.18,112.15,113.97,67.02343932567881,0.0,0.0
2016-03-02,113.96,114.55,113.21,113.45,67.30122667828631,0.0,0.0
2016-03-03,113.45,114.26,113.29,113.67,66.52566127265062,0.0,0.0
2016-03-04,113.66,114.25,113.11,113.77,65.61117554289493,0.0,0.0
2016-03-07,113.92,113.93,113.22,113.43,67.88360765233413,0.0,0.0
2016-03-08,113.4,113.51,112.41,112.61,66.73443467300282,0.0,0.0
2016-03-09,112.62,113.45,112.22,113.33,65.82799891667776,0.0,0.0
2016-03-10,113.33,114.44,112.6,113.14,64.97041779703135,0.0,0.0
2016-03-11,113.16,113.92,112.75,113.79,64.15704135386697,0.0,0.0
2016-03-14,113.9,114.0,113.5,113.78,63.462250437361995,0.0,0.0
2016-03-15,113.78,114.13,112.62,113.18,73.26848910369323,0.0,0.0
2016-03-16,113.18,113.81,112.32,112.66,76.62202956794653,0.0,0.0
2016-03-17,112.65,112.95,110.66,111.41,58.03908716617156,0.0,0.5
2016-03-18,111.41,111.75,110.82,111.54,57.74161859672157,0.0,0.5
2016-03-21,111.52,111.97,111.21,111.95,57.2656701788126,0.0,0.5
2016-03-22,111.95,112.49,111.38,112.37,58.0319639956764,0.0,0.5
2016-03-23,112.37,112.9,112.14,112.38,57.82082958876583,0.0,0.5
2016-03-24,112.38,113.0,112.29,112.81,57.60538094656642,0.0,0.5
2016-03-25,112.81,113.31,112.74,113.03,57.45634971568398,0.0,0.5
2016-03-28,113.15,113.68,113.11,113.43,57.24039357696761,0.0,0.5
2016-03-29,113.42,113.8,112.61,112.68,57.00888771174527,0.0,0.5
2016-03-30,112.66,112.8,112.01,112.4,59.72599934182299,0.0,0.5
2016-03-31,112.39,112.67,112.11,112.57,59.05894976673229,0.0,0.5
2016-04-01,112.56,112.57,111.58,111.59,58.591575799433684,0.0,0.5
2016-04-04,111.59,111.79,111.09,111.31,61.5989876427231,0.0,0.0
2016-04-05,111.31,111.34,109.93,110.31,53.052567958284804,1.0,0.5
2016-04-06,110.28,110.64,109.34,109.78,46.58775542823482,1.0,0.5
2016-04-07,109.79,109.9,107.66,108.17,33.665512689715925,1.0,0.0
2016-04-08,108.17,109.09,108.03,108.04,33.12869739249181,1.0,0.0
2016-04-11,107.98,108.45,107.63,107.93,32.388282162295205,1.0,0.0
