high_CI,crossed_618,rolling_min_CI,back_above_40
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,False
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
True,False,False,True
True,False,False,True
True,False,False,True
True,False,False,True
True,True,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
True,True,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
True,False,False,True
True,False,False,True
True,True,False,True
False,False,False,True
False,False,False,True
False,False,False,True
True,False,False,True
True,True,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,True
False,False,False,False
False,False,True,False
False,False,True,False
False,False,True,False
False,False,True,False
False,False,True,False
False,False,True,False
False,False,True,False
False,False,True,False
False,False,True,False
False,False,True,False
False,False,True,False
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
True,False,True,True
True,False,True,True
True,True,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
True,False,True,True
True,False,True,True
True,False,True,True
True,True,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,False
False,False,True,False
False,False,True,False
False,False,True,False
False,False,True,False
False,False,True,False
False,False,True,False
False,False,True,False
False,False,True,False
False,False,True,False
False,False,True,False
False,False,True,False
False,False,True,False
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
True,False,True,True
True,True,True,True
False,False,True,True
False,False,True,True
False,False,True,False
False,False,True,False
False,False,True,False
False,False,True,False
False,False,True,False
False,False,True,False
False,False,True,False
False,False,True,False
False,False,True,False
False,False,True,False
False,False,True,False
False,False,True,False
False,False,True,True
False,False,True,True
False,False,True,True
True,False,True,True
True,False,True,True
True,False,True,True
True,False,True,True
True,False,True,True
True,False,True,True
True,True,True,True
False,False,True,True
False,False,True,True
True,True,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
False,False,True,True
True,False,True,True
True,False,True,True
True,False,True,True
True,False,True,True
