day,symbol_name,profit,volume,PnL/Lot,Coef,
1/2/2020,EURUSD,20275.68,3553.74,5.705447427,0.001607566,
1/3/2020,EURUSD,-45475.98,3304.3,-13.7626672,0.003394501,
1/6/2020,EURUSD,-23505.37,2679.4,-8.772622704,-0.002151198,
1/7/2020,EURUSD,-31314.10,3591.94,-8.717880764,0.00108447,
1/8/2020,EURUSD,-37729.80,3982.19,-9.474635153,0.003465118,
1/9/2020,EURUSD,-30468.32,3228.23,-9.438089021,0.002201307,
1/10/2020,EURUSD,-9910.18,3239.39,-3.059273439,-0.000249882,
1/13/2020,EURUSD,-10726.26,3353.05,-3.198957044,-0.001768991,
1/14/2020,EURUSD,-18076.42,3250.24,-5.561565128,9.89E-05,
1/15/2020,EURUSD,-25295.41,4077.5,-6.203656604,-0.001100968,
1/16/2020,EURUSD,-2307.09,3997.31,-0.577160968,-0.000644143,
1/17/2020,EURUSD,-37455.74,2876.38,-13.02183204,0.003007805,
1/20/2020,EURUSD,-23988.60,2501.47,-9.589802625,0.001991006,
1/21/2020,EURUSD,-15343.86,3906.75,-3.927526226,-0.00025698,
1/22/2020,EURUSD,-7608.54,4819.06,-1.578843924,0.000646793,
1/23/2020,EURUSD,-83792.10,4914.31,-17.05063394,0.00115,
1/24/2020,EURUSD,-64270.69,4432.86,-14.4986969,0.003052387,
1/27/2020,EURUSD,-49002.74,3736.25,-13.11548674,0.001465193,
1/28/2020,EURUSD,-45527.32,5599.59,-8.130474146,0.000732538,
1/29/2020,EURUSD,-24561.21,4569.81,-5.374666602,0.000249654,
1/30/2020,EURUSD,-22598.08,2911.43,-7.761847492,-0.000799092,
1/31/2020,EURUSD,-47694.29,4150.87,-11.49019099,-0.003404771,
2/3/2020,EURUSD,-829.54,2649.59,-0.313083201,-0.000951729,
2/4/2020,EURUSD,-15942.89,2082.43,-7.655906627,0.001827117,
2/5/2020,EURUSD,-74318.97,2841.55,-26.15437761,0.00257,
2/6/2020,EURUSD,-96482.14,3006.44,-32.0918232,0.002865063,
2/7/2020,EURUSD,-224217.66,3036.99,-73.82890805,0.002425125,
2/10/2020,EURUSD,-304345.11,2980.1,-102.1258045,0.00305816,
2/11/2020,EURUSD,-93248.80,3080.52,-30.27047337,0.001704189,
2/12/2020,EURUSD,-210173.54,3684.94,-57.03581183,0.001461918,
2/13/2020,EURUSD,-316080.46,3931.15,-80.40406955,0.003315931,
2/14/2020,EURUSD,-75188.44,2607.81,-28.83202355,0.001733705,
2/17/2020,EURUSD,-37139.95,2073.43,-17.91232315,0.000108401,
2/18/2020,EURUSD,-535156.09,4384.54,-122.0552425,0.00249579,
2/19/2020,EURUSD,-61061.22,3186.26,-19.16391621,0.001260267,
2/20/2020,EURUSD,-60594.72,3895.98,-15.55313905,7.41E-05,
2/21/2020,EURUSD,-16089.57,3316.31,-4.851647381,-0.002046908,
2/24/2020,EURUSD,-9862.90,4367.76,-2.258113259,-0.001774676,
2/25/2020,EURUSD,40975.30,3971.59,10.31710146,-0.002265162,
