date,open,high,low,close,trend
2015.04.20,1.49567,1.49837,1.48881,1.49037,0
2015.04.21,1.49031,1.49727,1.48562,1.49257,0
2015.04.22,1.49257,1.50793,1.49136,1.50342,0
2015.04.23,1.50344,1.50698,1.49598,1.5052,0
2015.04.24,1.50513,1.51873,1.50272,1.51856,0
2015.04.27,1.51724,1.52614,1.51069,1.52342,0
2015.04.28,1.52374,1.53427,1.51757,1.53381,0
2015.04.29,1.53377,1.5498,1.53277,1.54329,0
2015.04.30,1.54335,1.5492,1.53038,1.53512,0
2015.05.01,1.53493,1.53969,1.51144,1.51347,0
2015.05.04,1.51445,1.51745,1.509,1.51174,0
2015.05.05,1.51148,1.52178,1.50889,1.51787,0
2015.05.06,1.51795,1.52911,1.51499,1.52439,0
2015.05.07,1.52457,1.52749,1.51636,1.52414,0
2015.05.08,1.52529,1.55222,1.52438,1.54372,0
2015.05.11,1.54415,1.56131,1.53932,1.55851,0
2015.05.12,1.5585,1.57103,1.55573,1.56678,0
2015.05.13,1.56677,1.57689,1.56334,1.57442,0
2015.05.14,1.57442,1.58145,1.57285,1.57733,0
2015.05.15,1.57734,1.58084,1.57014,1.57245,0
2015.05.18,1.57389,1.57452,1.56376,1.56527,0
2015.05.19,1.56527,1.56697,1.54457,1.55111,0
2015.05.20,1.55105,1.55877,1.54723,1.55294,0
2015.05.21,1.55294,1.56999,1.5524,1.56596,0
2015.05.22,1.56601,1.56895,1.546,1.54798,0
2015.05.25,1.54769,1.55074,1.54559,1.54668,0
2015.05.26,1.54649,1.5475,1.53537,1.53834,0
2015.05.27,1.53843,1.54369,1.5301,1.535,0
2015.05.28,1.53525,1.53851,1.52601,1.53109,0
2015.05.29,1.53149,1.53421,1.52362,1.52895,0
2015.06.01,1.5291,1.53045,1.51701,1.51999,0
2015.06.02,1.51984,1.53669,1.51792,1.53432,0
2015.06.03,1.53432,1.53752,1.52504,1.53397,0
2015.06.04,1.53396,1.54409,1.53037,1.53579,0
2015.06.05,1.53553,1.53695,1.51901,1.52616,1
2015.06.08,1.52564,1.53636,1.52211,1.53465,1
2015.06.09,1.5347,1.53889,1.52572,1.53857,1
2015.06.10,1.53838,1.55539,1.53687,1.55283,1
2015.06.11,1.55282,1.55333,1.54208,1.55156,1
2015.06.12,1.55157,1.55976,1.54664,1.55522,1
2015.06.15,1.5544,1.56137,1.54871,1.56012,1
2015.06.16,1.56012,1.5654,1.55407,1.56465,1
2015.06.17,1.56468,1.58468,1.56255,1.58298,1
2015.06.18,1.58297,1.59296,1.58058,1.58765,1
2015.06.19,1.58773,1.58961,1.58349,1.58746,1
2015.06.22,1.58721,1.59096,1.5805,1.58217,1
2015.06.23,1.58211,1.58312,1.57086,1.5729,1
2015.06.24,1.57297,1.58024,1.56669,1.57026,1
2015.06.25,1.57027,1.57703,1.56765,1.57474,1
2015.06.26,1.57481,1.57663,1.57083,1.57471,1
2015.06.29,1.56907,1.57886,1.5661,1.57373,0
2015.06.30,1.57371,1.57758,1.56928,1.57131,0
2015.07.01,1.57118,1.5725,1.5588,1.56104,0
2015.07.02,1.56113,1.56395,1.5562,1.56038,0
2015.07.03,1.56084,1.56434,1.55521,1.55655,0
2015.07.06,1.55454,1.56281,1.55316,1.55986,0
2015.07.07,1.55998,1.56098,1.54135,1.54612,0
2015.07.08,1.54617,1.54669,1.533,1.53595,0
2015.07.09,1.53595,1.54202,1.53432,1.53774,0
2015.07.10,1.53791,1.55507,1.53638,1.55126,0
2015.07.13,1.54972,1.55887,1.54802,1.54858,0
2015.07.14,1.54852,1.56387,1.54505,1.56355,0
2015.07.15,1.56349,1.56752,1.55764,1.56327,0
2015.07.16,1.56353,1.56503,1.556,1.56084,0
2015.07.17,1.56041,1.56729,1.55534,1.55975,0
2015.07.20,1.56017,1.56273,1.55382,1.55577,0
2015.07.21,1.55612,1.55904,1.55287,1.55527,0
2015.07.22,1.55504,1.56469,1.55457,1.56082,0
2015.07.23,1.56081,1.56705,1.55007,1.55113,0
2015.07.24,1.55112,1.55258,1.54663,1.55054,0
2015.07.27,1.55125,1.5595,1.54896,1.55587,0
2015.07.28,1.55585,1.56278,1.55278,1.56121,0
2015.07.29,1.56121,1.56894,1.55876,1.55966,0
2015.07.30,1.55946,1.56401,1.55622,1.55968,0
2015.07.31,1.55965,1.56782,1.55491,1.56174,0
2015.08.03,1.56272,1.56446,1.55648,1.5583,0
2015.08.04,1.55822,1.56336,1.55578,1.55586,0
2015.08.05,1.55589,1.56507,1.5526,1.56014,0
2015.08.06,1.5601,1.56366,1.54668,1.55113,0
2015.08.07,1.55116,1.55449,1.54243,1.54909,0
2015.08.10,1.54874,1.56058,1.54579,1.55865,0
2015.08.11,1.55852,1.56163,1.55549,1.55652,0
2015.08.12,1.55655,1.56598,1.55339,1.56089,0
2015.08.13,1.56091,1.56365,1.55733,1.56055,0
2015.08.14,1.56056,1.56597,1.55878,1.56449,0
2015.08.17,1.56468,1.56884,1.55788,1.55812,0
2015.08.18,1.55824,1.5717,1.55622,1.56557,0
2015.08.19,1.56558,1.57001,1.5635,1.56784,0
2015.08.20,1.56785,1.57014,1.56058,1.56881,0
2015.08.21,1.5689,1.57231,1.56575,1.5688,1
2015.08.24,1.5676,1.58026,1.563,1.57752,1
2015.08.25,1.5775,1.58188,1.568,1.56868,1
2015.08.26,1.56866,1.57198,1.54521,1.54579,1
2015.08.27,1.5458,1.55082,1.53697,1.54027,1
2015.08.28,1.54027,1.54428,1.53349,1.53855,1
2015.08.31,1.54099,1.54367,1.53389,1.53427,1
2015.09.01,1.53428,1.5408,1.52995,1.53031,1
2015.09.02,1.53033,1.53258,1.52641,1.52926,1
2015.09.03,1.52932,1.53128,1.5219,1.52562,1
2015.09.04,1.5256,1.52715,1.51628,1.51672,1
2015.09.07,1.51758,1.52883,1.5171,1.5269,1
2015.09.08,1.52701,1.54124,1.52701,1.53905,1
2015.09.09,1.53903,1.54042,1.53495,1.53661,1
2015.09.10,1.53675,1.54757,1.53387,1.5441,1
2015.09.11,1.54445,1.54615,1.53994,1.54274,1
2015.09.14,1.54298,1.54708,1.53724,1.54238,1
2015.09.15,1.5425,1.54566,1.53295,1.53425,1
2015.09.16,1.53432,1.55283,1.53297,1.54879,0
2015.09.17,1.5489,1.56281,1.54855,1.55876,0
2015.09.18,1.55893,1.56585,1.55136,1.55232,0
2015.09.21,1.55233,1.55673,1.54802,1.55057,0
2015.09.22,1.55082,1.55285,1.53401,1.53612,0
2015.09.23,1.53593,1.53653,1.52207,1.52381,0
2015.09.24,1.52394,1.52887,1.52003,1.52418,0
2015.09.25,1.52422,1.52608,1.51353,1.51746,0
2015.09.28,1.51905,1.52411,1.5157,1.51736,0
2015.09.29,1.51737,1.52049,1.51289,1.51461,0
2015.09.30,1.51462,1.52136,1.51071,1.51256,0
2015.10.01,1.5127,1.51799,1.51071,1.51307,0
2015.10.02,1.51307,1.52367,1.51264,1.5174,0
2015.10.05,1.51964,1.52441,1.51359,1.51452,0
2015.10.06,1.51452,1.52427,1.51397,1.5222,0
2015.10.07,1.5222,1.53393,1.52182,1.5316,0
2015.10.08,1.5316,1.53721,1.52611,1.53435,0
2015.10.09,1.53434,1.53833,1.52996,1.53275,0
2015.10.12,1.53141,1.53728,1.53096,1.53482,0
2015.10.13,1.53481,1.53874,1.52001,1.52468,0
2015.10.14,1.5247,1.5494,1.5247,1.54744,0
2015.10.15,1.54767,1.55088,1.54144,1.5452,0
2015.10.16,1.54379,1.54859,1.54299,1.54333,0
2015.10.19,1.5435,1.54963,1.54271,1.54625,0
2015.10.20,1.54626,1.55058,1.54354,1.54439,0
2015.10.21,1.54439,1.54772,1.54104,1.54104,0
2015.10.22,1.5412,1.55083,1.53689,1.53925,0
2015.10.23,1.53919,1.54187,1.53057,1.53064,0
2015.10.26,1.53057,1.53817,1.53049,1.53508,0
2015.10.27,1.53487,1.53584,1.52823,1.53031,0
2015.10.28,1.53032,1.53473,1.52484,1.52665,0
2015.10.29,1.52664,1.53215,1.52423,1.53112,0
2015.10.30,1.53114,1.54677,1.53086,1.54238,0
2015.11.02,1.54464,1.54969,1.54039,1.541,0
2015.11.03,1.5412,1.54451,1.53594,1.54191,0
2015.11.04,1.5419,1.54448,1.53603,1.53822,0
2015.11.05,1.5382,1.54016,1.52048,1.52068,1
2015.11.06,1.52068,1.52189,1.50269,1.50447,1
2015.11.09,1.50463,1.5128,1.50408,1.51134,1
2015.11.10,1.51132,1.51452,1.50914,1.51177,1
2015.11.11,1.51142,1.52203,1.51142,1.52099,1
2015.11.12,1.52065,1.5246,1.51739,1.52307,1
2015.11.13,1.52292,1.5263,1.51874,1.52277,1
2015.11.16,1.52249,1.52289,1.51811,1.51973,1
2015.11.17,1.5197,1.52384,1.51541,1.52108,1
2015.11.18,1.52107,1.52485,1.51878,1.52358,1
2015.11.19,1.52358,1.53354,1.52263,1.52897,1
2015.11.20,1.52892,1.53094,1.5182,1.51905,1
