day,symbol_name,profit,volume,PnL/Lot,Coef
1/2/2020,GBPUSD,114.7453001,19.97,5.745884,-0.00077
1/3/2020,GBPUSD,-37224.15806,2310.51,-16.110797,0.00182
1/6/2020,GBPUSD,-30502.77684,1815.97,-16.796961,0.001122
1/7/2020,GBPUSD,-12896.3716,1890.24,-6.822611,0.000585
1/8/2020,GBPUSD,-17223.67423,2064.43,-8.343065,0.001031
1/9/2020,GBPUSD,-16506.52589,1663.1,-9.925155,-0.00023
1/10/2020,GBPUSD,11379.35803,1619.4,7.026898,-0.00041
1/13/2020,GBPUSD,-14904.24029,1476.16,-10.096629,-0.00082
1/14/2020,GBPUSD,-48679.75867,1945.87,-25.016963,-1.47E-03
1/15/2020,GBPUSD,-1211.08309,1778.37,-0.681007,-0.00029
1/16/2020,GBPUSD,10799.64668,1639.86,6.585713,-0.00097
1/17/2020,GBPUSD,10353.4901,1769.07,5.852504,0.000279
1/20/2020,GBPUSD,10004.87175,1949.24,5.132704,0.00093
1/21/2020,GBPUSD,-24899.02915,1522.98,-16.348888,-0.00074
1/22/2020,GBPUSD,-2539.989384,2399.07,-1.058739,0.000692
1/23/2020,GBPUSD,-122219.9477,2265.5,-53.948333,-5.89E-05
1/24/2020,GBPUSD,-18956.15351,1609.8,-11.775471,-0.00031
1/27/2020,GBPUSD,-8016.705914,1923.72,-4.167294,-0.00068
1/28/2020,GBPUSD,-1216.202012,1862.04,-0.653156,-0.00044
1/29/2020,GBPUSD,-23409.07447,2531.81,-9.245984,0.00072
1/30/2020,GBPUSD,-9269.674916,1098.38,-8.439406,0.000632
1/31/2020,GBPUSD,9852.07272,1966.54,5.009851,-0.00013
2/3/2020,GBPUSD,-69073.78944,1884.16,-36.660257,0.001599
2/4/2020,GBPUSD,-54319.8314,2577.64,-21.073475,0.001847
2/5/2020,GBPUSD,-52120.46719,2391.93,-21.790131,-4.85E-05
2/6/2020,GBPUSD,-18408.9823,2310.82,-7.966428,-0.00161
2/7/2020,GBPUSD,-97858.39032,2244.4,-43.601136,-0.00059
2/10/2020,GBPUSD,-77180.30657,2037.97,-37.871169,0.000211
2/11/2020,GBPUSD,-63941.81612,1722.57,-37.12001,-0.00043
2/12/2020,GBPUSD,-5641.952602,2038.89,-2.767169,-0.00051
2/13/2020,GBPUSD,-14983.88219,1470.23,-10.191523,-0.00096
2/14/2020,GBPUSD,-77483.3102,2155.82,-35.941456,-0.00077
2/17/2020,GBPUSD,-5320.604826,1331.94,-3.994628,0.00182
2/18/2020,GBPUSD,-83.71549447,877.01,-0.095456,0.001122
2/19/2020,GBPUSD,-14367.99804,1954.13,-7.352632,0.000585
2/20/2020,GBPUSD,-55737.18263,1917.51,-29.06748,1.03E-03
2/21/2020,GBPUSD,-93449.79519,1621.55,-57.629919,-0.00023
2/24/2020,GBPUSD,-4309.402089,1450.79,-2.970383,-0.00041
2/25/2020,GBPUSD,-3956.440422,1156.52,-3.420987,-0.00082
2/26/2020,GBPUSD,6779.011796,1602.26,4.230906,-0.00147
2/27/2020,GBPUSD,-3883.868469,1541.67,-2.519261,-0.00029
2/28/2020,GBPUSD,-45071.17375,2287.55,-19.702815,-0.00097
3/2/2020,GBPUSD,-115869.8352,2004.53,-57.803992,0.000279
3/3/2020,GBPUSD,-4568.258538,1187.61,-3.846598,0.00093
3/4/2020,GBPUSD,-4804.320873,1584.79,-3.031519,-0.00074
3/5/2020,GBPUSD,45772.15594,1428.24,32.047944,0.000692
3/6/2020,GBPUSD,-41690.62976,1388.28,-30.030419,-5.89E-05
3/9/2020,GBPUSD,-126816.3542,1581.18,-80.203616,-0.00031
3/10/2020,GBPUSD,-72327.58285,1387.47,-52.129115,-0.00068
3/11/2020,GBPUSD,-56846.81257,1058.28,-53.716231,-0.00044
3/12/2020,GBPUSD,-11498.74711,1035.24,-11.107325,0.00072
3/13/2020,GBPUSD,-120790.6368,1396.74,-86.480402,0.000632
3/16/2020,GBPUSD,-52277.86918,1173.63,-44.54374,-0.00013
3/17/2020,GBPUSD,-28139.10222,1198.57,-23.477229,0.001599
3/18/2020,GBPUSD,-17627.48354,1220.9,-14.438106,0.001847
3/19/2020,GBPUSD,-200912.1086,2190.83,-91.705933,-4.85E-05
3/20/2020,GBPUSD,-138225.2623,1518.36,-91.035895,-0.00161
3/23/2020,GBPUSD,-57625.66015,1325.54,-43.473347,-0.00059
3/24/2020,GBPUSD,-4077.546614,1234.87,-3.302005,0.000211
3/25/2020,GBPUSD,-25103.96523,1266.49,-19.821685,-0.00043
3/26/2020,GBPUSD,-74061.76868,1770.34,-41.834771,-0.00051
