day,symbol_name,profit,volume,PnL/Lot,Coef
1/2/2020,USDJPY,3439,360.81,9.530052,0.000837
1/3/2020,USDJPY,-4144,498.77,-8.307568,-0.0002
1/6/2020,USDJPY,177,388.29,0.456798,0.000308
1/7/2020,USDJPY,2851,410.98,6.93687,2.81E-07
1/8/2020,USDJPY,-11040,657.83,-16.781733,-2.91E-05
1/9/2020,USDJPY,-21714,422.7,-51.370186,0.001132
1/10/2020,USDJPY,-4648,358.74,-12.95657,-0.00033
1/13/2020,USDJPY,-72646,518.31,-140.159769,-0.00015
1/14/2020,USDJPY,-36672,473.73,-77.411067,1.55E-03
1/15/2020,USDJPY,-522,271.9,-1.920597,0.000133
1/16/2020,USDJPY,-8292,293.51,-28.249563,0.000289
1/17/2020,USDJPY,-4450,288.87,-15.404955,0.001282
1/20/2020,USDJPY,-2090,130.61,-15.999423,0.000759
1/21/2020,USDJPY,15731,673.95,23.341007,-0.0006
1/22/2020,USDJPY,708,376.93,1.878353,-0.00223
1/23/2020,USDJPY,18645,564.2,33.047608,-1.20E-03
1/24/2020,USDJPY,6018,331.28,18.167232,5.21E-05
1/27/2020,USDJPY,4268,407.09,10.484436,-0.00054
1/28/2020,USDJPY,6881,461.24,14.91885,-0.00095
1/29/2020,USDJPY,3953,389.03,10.160796,1.58E-05
1/30/2020,USDJPY,874,482.11,1.812702,-0.00018
1/31/2020,USDJPY,-11962,464.23,-25.767739,0.000118
2/3/2020,USDJPY,4395,515.73,8.521082,0.000425
2/4/2020,USDJPY,-9833,503.63,-19.524808,0.000294
2/5/2020,USDJPY,-7434,424.64,-17.506865,2.72E-04
2/6/2020,USDJPY,-11450,360.94,-31.721631,0.000215
2/7/2020,USDJPY,1445,544.5,2.653544,-0.00011
2/10/2020,USDJPY,305,370.12,0.824925,-0.00076
2/11/2020,USDJPY,-2947,426.39,-6.910869,-0.00107
2/12/2020,USDJPY,-6278,448.65,-13.992049,-0.00041
2/13/2020,USDJPY,5904,505.74,11.673889,0.001077
2/14/2020,USDJPY,255,262.73,0.972245,0.000837
