date,open,high,low,close,trend
2015.04.20,118.992,119.433,118.53,119.129,0
2015.04.21,119.139,119.832,119.139,119.663,0
2015.04.22,119.665,119.961,119.344,119.903,0
2015.04.23,119.897,120.092,119.426,119.567,0
2015.04.24,119.579,119.658,118.829,118.925,0
2015.04.27,118.856,119.433,118.775,119.029,0
2015.04.28,119.021,119.197,118.773,118.837,0
2015.04.29,118.843,119.36,118.607,118.993,0
2015.04.30,118.983,119.894,118.496,119.373,0
2015.05.01,119.367,120.286,119.367,120.17,0
2015.05.04,120.221,120.274,119.996,120.127,0
2015.05.05,120.135,120.504,119.725,119.845,0
2015.05.06,119.819,120.046,119.203,119.423,0
2015.05.07,119.425,119.86,119.054,119.729,0
2015.05.08,119.729,120.23,119.586,119.77,0
2015.05.11,119.633,120.151,119.617,120.079,0
2015.05.12,120.081,120.275,119.788,119.845,0
2015.05.13,119.845,120.01,119.034,119.141,0
2015.05.14,119.141,119.336,118.886,119.123,0
2015.05.15,119.129,119.926,119.129,119.358,0
2015.05.18,119.239,120.034,119.213,119.969,0
2015.05.19,119.971,120.737,119.83,120.685,0
2015.05.20,120.677,121.476,120.58,121.337,0
2015.05.21,121.335,121.379,120.845,121.025,0
2015.05.22,121.033,121.569,120.64,121.499,0
2015.05.25,121.493,121.775,121.445,121.551,0
2015.05.26,121.545,123.321,121.482,123.047,0
2015.05.27,123.053,124.068,122.774,123.609,0
2015.05.28,123.609,124.46,123.494,123.945,0
2015.05.29,123.943,124.185,123.605,124.111,0
2015.06.01,124.075,124.915,123.853,124.767,0
2015.06.02,124.767,125.051,123.75,124.081,0
2015.06.03,124.083,124.681,123.787,124.243,0
2015.06.04,124.243,124.68,123.778,124.345,0
2015.06.05,124.347,125.855,124.337,125.575,0
2015.06.08,125.567,125.676,124.292,124.473,0
2015.06.09,124.477,124.735,123.859,124.331,0
2015.06.10,124.325,124.619,122.457,122.599,0
2015.06.11,122.589,124.14,122.577,123.407,0
2015.06.12,123.407,123.817,123.138,123.348,0
2015.06.15,123.207,123.658,123.113,123.399,0
2015.06.16,123.397,123.799,123.289,123.353,0
2015.06.17,123.345,124.441,123.207,123.421,0
2015.06.18,123.419,123.61,122.451,122.961,0
2015.06.19,122.957,123.216,122.558,122.631,0
2015.06.22,122.939,123.419,122.56,123.349,0
2015.06.23,123.343,124.184,123.341,123.935,0
2015.06.24,123.911,124.375,123.715,123.843,0
2015.06.25,123.841,123.955,123.318,123.623,0
2015.06.26,123.621,123.987,123.223,123.808,0
2015.06.29,122.703,123.19,122.102,122.535,0
2015.06.30,122.531,122.716,121.936,122.487,0
2015.07.01,122.485,123.236,122.355,123.167,0
2015.07.02,123.159,123.712,122.954,123.023,0
2015.07.03,123.031,123.183,122.599,122.823,0
2015.07.06,121.881,122.93,121.844,122.555,0
2015.07.07,122.555,122.883,122.01,122.521,0
2015.07.08,122.527,122.567,120.411,120.701,0
2015.07.09,120.701,121.576,120.46,121.309,0
2015.07.10,121.319,122.879,121.245,122.839,0
2015.07.13,122.185,123.534,122.185,123.435,0
2015.07.14,123.447,123.731,122.92,123.391,0
2015.07.15,123.397,123.97,123.259,123.753,0
2015.07.16,123.759,124.178,123.693,124.143,0
2015.07.17,124.145,124.232,123.916,124.053,0
2015.07.20,124.019,124.386,124.011,124.258,0
2015.07.21,124.211,124.476,123.761,123.879,0
2015.07.22,123.833,124.15,123.569,123.959,0
2015.07.23,123.957,124.185,123.674,123.913,0
2015.07.24,123.913,124.095,123.596,123.768,0
2015.07.27,123.731,123.836,123.009,123.239,0
2015.07.28,123.239,123.792,123.074,123.557,0
2015.07.29,123.557,124.025,123.331,123.925,0
2015.07.30,123.927,124.58,123.875,124.135,0
2015.07.31,124.129,124.374,123.518,123.874,0
2015.08.03,123.851,124.272,123.849,124.025,0
2015.08.04,124.019,124.401,123.798,124.379,0
2015.08.05,124.375,125.011,124.005,124.849,0
2015.08.06,124.855,124.961,124.538,124.723,0
2015.08.07,124.725,125.072,124.103,124.201,0
2015.08.10,124.111,124.781,124.111,124.623,0
2015.08.11,124.621,125.206,124.519,125.097,0
2015.08.12,125.095,125.279,123.786,124.199,0
2015.08.13,124.197,124.627,124.068,124.437,0
2015.08.14,124.437,124.531,124.054,124.313,0
2015.08.17,124.285,124.573,124.198,124.383,0
2015.08.18,124.381,124.514,124.18,124.395,0
2015.08.19,124.397,124.469,123.689,123.789,0
2015.08.20,123.785,124.157,123.328,123.359,1
2015.08.21,123.375,123.495,121.814,122.022,1
2015.08.24,121.869,122.022,116.137,118.407,1
2015.08.25,118.407,120.395,118.248,118.817,1
2015.08.26,118.803,120.012,118.452,119.917,1
2015.08.27,119.915,121.396,119.792,121.001,1
2015.08.28,120.999,121.737,120.649,121.695,1
2015.08.31,121.617,121.635,120.878,121.223,1
2015.09.01,121.219,121.254,119.249,119.343,1
2015.09.02,119.345,120.465,119.212,120.327,1
2015.09.03,120.327,120.698,119.64,120.065,1
2015.09.04,120.063,120.185,118.574,119.025,1
2015.09.07,118.917,119.59,118.798,119.271,1
2015.09.08,119.271,120.226,118.85,119.807,1
2015.09.09,119.809,121.196,119.796,120.447,1
2015.09.10,120.439,121.326,119.974,120.605,1
2015.09.11,120.609,120.966,120.36,120.573,1
2015.09.14,120.488,120.841,119.851,120.229,1
2015.09.15,120.227,120.651,119.397,120.407,1
2015.09.16,120.403,120.726,120.107,120.543,1
2015.09.17,120.559,120.987,119.792,119.981,1
2015.09.18,119.977,120.41,119.052,119.954,0
2015.09.21,120.099,120.658,119.725,120.549,0
2015.09.22,120.549,120.599,119.692,120.111,0
2015.09.23,120.147,120.542,119.622,120.265,0
2015.09.24,120.253,120.392,119.223,120.063,0
2015.09.25,120.067,121.232,119.993,120.543,0
2015.09.28,120.501,120.586,119.694,119.909,0
2015.09.29,119.907,120.159,119.248,119.729,0
2015.09.30,119.729,120.349,119.547,119.873,0
2015.10.01,119.873,120.275,119.489,119.923,0
2015.10.02,119.923,120.404,118.681,119.874,0
2015.10.05,119.983,120.549,119.869,120.451,0
2015.10.06,120.451,120.566,120.107,120.201,0
2015.10.07,120.203,120.36,119.745,119.997,0
2015.10.08,119.995,120.108,119.623,119.929,0
2015.10.09,119.921,120.345,119.834,120.27,0
2015.10.12,120.165,120.26,119.89,120.031,0
2015.10.13,120.007,120.077,119.55,119.727,0
2015.10.14,119.727,119.794,118.627,118.827,0
2015.10.15,118.827,119.165,118.061,118.855,0
2015.10.16,118.883,119.656,118.826,119.406,0
2015.10.19,119.327,119.606,119.136,119.473,0
2015.10.20,119.467,119.961,119.412,119.823,0
2015.10.21,119.825,120.089,119.752,119.901,0
2015.10.22,119.897,120.766,119.612,120.677,0
2015.10.23,120.683,121.478,120.222,121.418,0
2015.10.26,121.469,121.477,120.594,120.982,0
2015.10.27,120.982,121.072,120.157,120.38,0
2015.10.28,120.379,121.256,120.017,121.097,0
2015.10.29,121.1,121.181,120.583,121.052,0
2015.10.30,121.054,121.485,120.259,120.583,0
2015.11.02,120.343,120.811,120.255,120.726,0
2015.11.03,120.768,121.227,120.595,121.051,0
2015.11.04,121.051,121.717,120.999,121.551,0
2015.11.05,121.567,121.999,121.385,121.727,0
2015.11.06,121.727,123.264,121.629,123.118,0
2015.11.09,123.265,123.6,122.973,123.163,0
2015.11.10,123.161,123.434,123.026,123.109,0
2015.11.11,123.105,123.221,122.736,122.849,0
2015.11.12,122.849,123.069,122.553,122.583,0
2015.11.13,122.583,122.987,122.428,122.578,0
2015.11.16,122.229,123.275,122.223,123.17,0
2015.11.17,123.167,123.487,123.165,123.429,0
2015.11.18,123.429,123.752,123.217,123.621,0
2015.11.19,123.609,123.637,122.617,122.851,0
