day,symbol_name,profit,volume,PnL/Lot,Coef
01/02/2020,XAUUSD,"-109 918,23","1374,82",-79.951,"-0,0006"
01/03/2020,XAUUSD,"-451 752,19","2317,49",-194.931666,"0,001116"
01/06/2020,XAUUSD,"-89 979,68","2125,13",-42.340789,"0,000465"
01/07/2020,XAUUSD,"-211 276,29","1964,61",-107.541086,"0,001534"
01/08/2020,XAUUSD,"-352 300,50","3239,59",-108.748485,"0,001046"
01/09/2020,XAUUSD,"-150 256,65","1534,88",-97.894723,"-0,00087"
01/10/2020,XAUUSD,"-45 527,13","1473,47",-30.897899,"-0,00171"
01/13/2020,XAUUSD,"-40 706,55","1100,05",-37.004274,"0,002204"
01/14/2020,XAUUSD,"-96 624,86","1257,44",-76.842519,"0,001856"
01/15/2020,XAUUSD,"-48 546,50","1137,12",-42.6925,"0,000331"
01/16/2020,XAUUSD,"6 270,43","1027,85",6.100526,"0,002434"
01/17/2020,XAUUSD,"936,62","1069,6",0.875669,"0,000449"
01/20/2020,XAUUSD,"-31 066,14","555,73",-55.901495,"-0,00048"
01/21/2020,XAUUSD,"-123 404,13","2284,58",-54.016111,"-0,00141"
01/22/2020,XAUUSD,"-2 216,51","1152,37",-1.923437,"-0,00182"
01/23/2020,XAUUSD,"22 522,00","1804,39",12.481783,"-0,00088"
01/24/2020,XAUUSD,"-4 340,65","1909,66",-2.272995,"-0,00029"
01/27/2020,XAUUSD,"40 400,92","1826,77",22.116043,"4,33E-05"
01/28/2020,XAUUSD,"-24 334,35","1790,06",-13.594151,"0,001699"
01/29/2020,XAUUSD,"-28 620,83","1766,01",-16.206492,"0,001542"
01/30/2020,XAUUSD,"-8 697,13","2382,23",-3.650837,"0,001037"
01/31/2020,XAUUSD,"-70 295,25","2216,36",-31.71653,"-7,64E-05"
02/03/2020,XAUUSD,"-23 933,40","2177,59",-10.990776,"-0,00123"
02/04/2020,XAUUSD,"-213 946,22","2591,45",-82.558497,"0,000842"
02/05/2020,XAUUSD,"-27 096,76","2057,94",-13.166933,"0,00118"
02/06/2020,XAUUSD,"-34 292,64","1835,25",-18.685541,"4,10E-05"
02/07/2020,XAUUSD,"-37 286,57","2113,61",-17.641177,"-0,00178"
02/10/2020,XAUUSD,"15 737,42","1419,36",11.087691,"-0,00429"
02/11/2020,XAUUSD,"40 784,21","2151,6",18.955293,"-0,00046"
02/12/2020,XAUUSD,"34 320,41","1420,65",24.158243,"0,000389"
02/13/2020,XAUUSD,"-46 620,82","1783,82",-26.135382,"-0,00231"
02/14/2020,XAUUSD,"-101 672,77","1502,58",-67.665462,"-0,0006"
02/17/2020,XAUUSD,"-12 957,13","678,95",-19.084067,"0,001116"
02/18/2020,XAUUSD,"-544 262,02","2215,51",-245.659927,"0,000465"
02/19/2020,XAUUSD,"-267 715,10","1791,34",-149.449628,"0,001534"
02/20/2020,XAUUSD,"-397 021,14","1944,71",-204.154418,"0,001046"
02/21/2020,XAUUSD,"-340 311,20","2743,67",-124.035034,"-0,00087"
02/24/2020,XAUUSD,"-159 785,90","3878,13",-41.201791,"-0,00171"
02/25/2020,XAUUSD,"-124 329,16","3004,18",-41.385391,"0,002204"
02/26/2020,XAUUSD,"-10 318,26","2423,93",-4.256829,"0,001856"
02/27/2020,XAUUSD,"-108 453,21","2646,71",-40.976611,"0,000331"
02/28/2020,XAUUSD,"-269 709,62","3778,57",-71.378755,"0,002434"
03/02/2020,XAUUSD,"-70 928,93","2725,59",-26.02333,"0,000449"
03/03/2020,XAUUSD,"-512 689,59","2962,2",-173.077303,"-0,00048"
03/04/2020,XAUUSD,"-18 268,26","2305,42",-7.924049,"-0,00141"
03/05/2020,XAUUSD,"-178 910,89","2651,58",-67.473315,"-0,00182"
03/06/2020,XAUUSD,"-250 562,31","3788,71",-66.133938,"-0,00088"
03/09/2020,XAUUSD,"18 085,68","3470,76",5.21087,"-0,00029"
03/10/2020,XAUUSD,"-22 007,93","2535,97",-8.678309,"4,33E-05"
03/11/2020,XAUUSD,"-146 569,49","2557,06",-57.319535,"0,001699"
03/12/2020,XAUUSD,"-754 399,69","3566,19",-211.542202,"0,001542"
03/13/2020,XAUUSD,"-271 838,26","3519,19",-77.244553,"0,001037"
03/16/2020,XAUUSD,"-243 461,35","2788,41",-87.311892,"-7,64E-05"
03/17/2020,XAUUSD,"-179 111,75","2378,75",-75.296585,"-0,00123"
03/18/2020,XAUUSD,"-132 720,03","5418,16",-24.495406,"0,000842"
03/19/2020,XAUUSD,"-75 030,78","2173,93",-34.513889,"0,00118"
03/20/2020,XAUUSD,"-85 744,06","1265,21",-67.770616,"4,10E-05"
03/23/2020,XAUUSD,"-232 407,14","1584,36",-146.688341,"-0,00178"
03/24/2020,XAUUSD,"-389 148,40","764,92",-508.743923,"-0,00429"
03/25/2020,XAUUSD,"63 511,16","835,57",76.009388,"-0,00046"
03/26/2020,XAUUSD,"-63 035,99","1449,2",-43.497098,"0,000389"
03/27/2020,XAUUSD,"1 967,76","318,08",6.186361,"-0,00231"
03/30/2020,XAUUSD,"618,52","245,75",2.516859,"-0,0006"
03/31/2020,XAUUSD,"-67 761,73","526,97",-128.587462,"0,001116"
04/01/2020,XAUUSD,"131,23","436,56",0.300598,"0,000465"
04/02/2020,XAUUSD,"-61 823,15","605,5",-102.102645,"0,001534"
04/03/2020,XAUUSD,"-21 999,82","432,67",-50.846649,"0,001046"
04/06/2020,XAUUSD,"-170 552,41","686,28",-248.517244,"-0,00087"
04/07/2020,XAUUSD,"-18 660,26","515,51",-36.197674,"-0,00171"
04/08/2020,XAUUSD,"22 768,92","516,69",44.066888,"0,002204"
04/09/2020,XAUUSD,"-93 624,04","888,66",-105.354177,"0,001856"
04/13/2020,XAUUSD,"-190 146,76","720,1",-264.056047,"0,000331"
04/14/2020,XAUUSD,"-131 792,42","1156,92",-113.916621,"0,002434"
04/15/2020,XAUUSD,"-26 651,11","705,42",-37.780482,"0,000449"
04/16/2020,XAUUSD,"-29 919,75","878,01",-34.076771,"-0,00048"
04/17/2020,XAUUSD,"37 350,49","937,43",39.8435,"-0,00141"
04/20/2020,XAUUSD,"48 144,55","1648,65",29.202406,"-0,00182"
04/21/2020,XAUUSD,"-32 563,53","621,53",-52.392527,"-0,00088"
04/22/2020,XAUUSD,"-101 968,85","541,54",-188.294222,"-0,00029"
04/23/2020,XAUUSD,"-116 317,62","633,04",-183.744502,"4,33E-05"
04/24/2020,XAUUSD,"10 469,86","987,63",10.600993,"0,001699"
04/27/2020,XAUUSD,"33 424,26","928,71",35.989989,"0,001542"
04/28/2020,XAUUSD,"11 255,55","1476,63",7.62246,"0,001037"
04/29/2020,XAUUSD,"20 933,94","1185,21",17.662638,"-7,64E-05"
04/30/2020,XAUUSD,"-155 604,90","1640,36",-94.860216,"-0,00123"
05/01/2020,XAUUSD,"-151 374,53","1217,14",-124.369041,"0,000842"
05/04/2020,XAUUSD,"15 824,39","1017,32",15.554974,"0,00118"
05/05/2020,XAUUSD,"44 429,22","1046,84",42.441268,"4,10E-05"
05/06/2020,XAUUSD,"29 566,87","1317,77",22.437053,"-0,00178"
05/07/2020,XAUUSD,"-188 980,63","1565,57",-120.710432,"-0,00429"
05/08/2020,XAUUSD,"-5 473,79","1599,72",-3.421717,"-0,00046"
05/11/2020,XAUUSD,"36 597,49",1472,24.862428,"0,000389"
05/12/2020,XAUUSD,"67 443,37","1388,62",48.568632,"-0,00231"
05/13/2020,XAUUSD,"40 182,79","1589,03",25.287622,"-0,0006"
05/14/2020,XAUUSD,"-227 420,34","1792,89",-126.845676,"0,001116"
05/15/2020,XAUUSD,"-223 748,46",2053,-108.986096,"0,000465"
05/18/2020,XAUUSD,"-165 084,71","2093,47",-78.856975,"0,001534"
05/19/2020,XAUUSD,"-53 517,67","1441,28",-37.132041,"0,001046"
05/20/2020,XAUUSD,"16 141,10","1591,34",10.143086,"-0,00087"
05/21/2020,XAUUSD,"22 374,49","1957,59",11.429612,"-0,00171"
05/22/2020,XAUUSD,"3 943,84","1510,43",2.611071,"0,002204"
05/25/2020,XAUUSD,"15 704,26","1237,83",12.686926,"0,001856"
05/26/2020,XAUUSD,"-72 156,24","2294,63",-31.445699,"0,000331"
05/27/2020,XAUUSD,"-158 460,53","2235,49",-70.884023,"0,002434"
05/28/2020,XAUUSD,"-19 118,15","1985,2",-9.630341,"0,000449"
05/29/2020,XAUUSD,"-35 210,76","1609,26",-21.880093,"-0,00048"
06/01/2020,XAUUSD,"-21 680,27","1745,86",-12.418104,"-0,00141"
06/02/2020,XAUUSD,"-65 395,32","1739,15",-37.601889,"-0,00182"
06/03/2020,XAUUSD,"-223 843,04","2025,98",-110.486304,"-0,00088"
06/04/2020,XAUUSD,"-33 258,16","1544,43",-21.53426,"-0,00029"
06/05/2020,XAUUSD,"-186 280,68","2175,56",-85.624242,"4,33E-05"
06/08/2020,XAUUSD,"20 845,47","1616,71",12.89376,"0,001699"
06/09/2020,XAUUSD,"-172 390,09","2036,78",-84.638542,"0,001542"
06/10/2020,XAUUSD,"-193 637,48","2386,69",-81.13223,"0,001037"
06/11/2020,XAUUSD,"34 069,11","2018,13",16.881522,"-7,64E-05"
06/12/2020,XAUUSD,"52 700,35","1438,84",36.62697,"-0,00123"
06/15/2020,XAUUSD,"-12 641,57","2002,49",-6.312927,"0,000842"
06/16/2020,XAUUSD,"118 341,38","2174,79",54.415083,"0,00118"
06/17/2020,XAUUSD,"56 492,12","1976,78",28.577847,"4,10E-05"
06/18/2020,XAUUSD,"25 647,18","1814,56",14.134106,"-0,00178"
06/19/2020,XAUUSD,"-65 842,24","1535,81",-42.871343,"-0,00429"
06/22/2020,XAUUSD,"-139 739,22","2403,61",-58.137225,"-0,00046"
06/23/2020,XAUUSD,"-275 993,87","1920,44",-143.713874,"0,000389"
06/24/2020,XAUUSD,"-262 286,60","2668,97",-98.272591,"-0,00231"
06/25/2020,XAUUSD,"37 363,49","1622,23",23.032179,"-0,0006"
06/26/2020,XAUUSD,"-34 313,48","2155,31",-15.920439,"0,001116"
06/29/2020,XAUUSD,"64 365,51","1546,92",41.608818,"0,000465"
06/30/2020,XAUUSD,"-108 270,72","2648,65",-40.8777,"0,001534"
07/01/2020,XAUUSD,"-56 375,70","3206,57",-17.581311,"0,001046"
07/02/2020,XAUUSD,"58 486,37","2390,43",24.466883,"-0,00087"
07/03/2020,XAUUSD,"-41 000,53","708,5",-57.869492,"-0,00171"
07/06/2020,XAUUSD,"73 892,33","2479,17",29.805271,"0,002204"
07/07/2020,XAUUSD,"-262 097,13","2602,64",-100.704336,"0,001856"
07/08/2020,XAUUSD,"-1 059 592,18","3195,11",-331.629329,"0,000331"
07/09/2020,XAUUSD,"-109 575,40","2728,76",-40.155747,"0,002434"
07/10/2020,XAUUSD,"20 413,19","1867,78",10.929119,"0,000449"
07/13/2020,XAUUSD,"80 948,07","2141,73",37.795645,"-0,00048"
07/14/2020,XAUUSD,"64 317,53","2165,65",29.698948,"-0,00141"
07/15/2020,XAUUSD,"47 375,55","2160,31",21.929976,"-0,00182"
07/16/2020,XAUUSD,"20 479,97","2289,05",8.946931,"-0,00088"
07/17/2020,XAUUSD,"66 686,14","2167,17",30.771072,"-0,00029"
07/20/2020,XAUUSD,"-185 634,68","2222,77",-83.51502,"4,33E-05"
07/21/2020,XAUUSD,"-1 605 311,60","3577,01",-448.785885,"0,001699"
07/22/2020,XAUUSD,"-759 229,29","3152,29",-240.850078,"0,001542"
07/23/2020,XAUUSD,"-144 153,42","3359,46",-42.909701,"0,001037"
07/24/2020,XAUUSD,"134 730,35","2159,92",62.377473,"-7,64E-05"
07/27/2020,XAUUSD,"97 907,55","4691,83",20.867668,"-0,00123"
07/28/2020,XAUUSD,"-894 005,26","4724,23",-189.238301,"0,000842"
07/29/2020,XAUUSD,"-3 605,08","3278,64",-1.099567,"0,00118"
07/30/2020,XAUUSD,"-95 597,54","2982,11",-32.057012,"4,10E-05"
07/31/2020,XAUUSD,"164 722,18","3159,1",52.142124,"-0,00178"
08/03/2020,XAUUSD,"29 022,04","2639,31",10.99607,"-0,00429"
08/04/2020,XAUUSD,"-733 231,61","4759,31",-154.062586,"-0,00046"
08/05/2020,XAUUSD,"-423 898,83","4226,74",-100.289782,"0,000389"
08/06/2020,XAUUSD,"149 556,91","4235,52",35.310165,"-0,00231"
08/07/2020,XAUUSD,"-512 497,64","4545,63",-112.745128,"-0,0006"
08/10/2020,XAUUSD,"-144 869,86","3141,94",-46.108409,"0,001116"
08/11/2020,XAUUSD,"-1 163 598,67","6223,6",-186.96553,"0,000465"
08/12/2020,XAUUSD,"-580 223,08",5062,-114.623286,"0,001534"
08/13/2020,XAUUSD,"-447 718,71","3675,79",-121.802036,"0,001046"
08/14/2020,XAUUSD,"-87 374,96","2536,03",-34.453442,"-0,00087"
08/17/2020,XAUUSD,"-216 544,70","3694,38",-58.614625,"-0,00171"
08/18/2020,XAUUSD,"-166 771,14","4738,38",-35.195814,"0,002204"
08/19/2020,XAUUSD,"-587 576,72","4723,57",-124.392507,"0,001856"
08/20/2020,XAUUSD,"-142 706,00","3550,34",-40.195025,"0,000331"
08/21/2020,XAUUSD,"-199 487,70","3214,38",-62.06102,"0,002434"
08/24/2020,XAUUSD,"-101 220,38","3223,6",-31.399794,"0,000449"
08/25/2020,XAUUSD,"3 515,63","3506,94",1.002478,"-0,00048"
08/26/2020,XAUUSD,"-306 311,83","4996,98",-61.29939,"-0,00141"
08/27/2020,XAUUSD,"-130 953,57","5323,01",-24.601413,"-0,00182"
08/28/2020,XAUUSD,"-79 235,85","4226,29",-18.748322,"-0,00088"
08/31/2020,XAUUSD,"-12 050,70","4188,47",-2.877114,"-0,00029"
09/01/2020,XAUUSD,"-201 934,91","5112,77",-39.496184,"4,33E-05"
09/02/2020,XAUUSD,"-304 002,23","5402,61",-56.269511,"0,001699"
09/03/2020,XAUUSD,"-160 127,66","5024,13",-31.871719,"0,001542"
09/04/2020,XAUUSD,"-6 788,26","4912,98",-1.3817,"0,001037"
09/07/2020,XAUUSD,"10 310,70","2607,15",3.954777,"-7,64E-05"
09/08/2020,XAUUSD,"-234 836,84","6493,19",-36.166636,"-0,00123"
09/09/2020,XAUUSD,"-44 462,55","4509,84",-9.859008,"0,000842"
09/10/2020,XAUUSD,"-164 036,58","4886,61",-33.568584,"0,00118"
09/11/2020,XAUUSD,"12 354,28","3865,27",3.196228,"4,10E-05"
09/14/2020,XAUUSD,"6 792,61","4281,39",1.586543,"-0,00178"
09/15/2020,XAUUSD,"-97 425,49","5081,94",-19.170925,"-0,00429"
09/16/2020,XAUUSD,"153 982,74","5811,66",26.495483,"-0,00046"
09/17/2020,XAUUSD,"32 287,59","4852,24",6.654163,"0,000389"
09/18/2020,XAUUSD,"76 070,89","3915,12",19.430027,"-0,00231"
09/21/2020,XAUUSD,"-1 647 019,06","6944,99",-237.152113,"-0,0006"
09/22/2020,XAUUSD,"-163 217,33","5092,95",-32.047698,"0,001116"
09/23/2020,XAUUSD,"-492 387,59","6383,41",-77.13551,"0,000465"
09/24/2020,XAUUSD,"-84 862,45","5862,99",-14.474261,"0,001534"
09/25/2020,XAUUSD,"17 837,80","4144,99",4.303461,"0,001046"
09/28/2020,XAUUSD,"-82 124,54","5354,32",-15.337996,"-0,00087"
09/29/2020,XAUUSD,"-264 805,44","5328,94",-49.691953,"-0,00171"
09/30/2020,XAUUSD,"75 772,37","6168,93",12.282903,"0,002204"
10/01/2020,XAUUSD,"-48 479,61","5066,59",-9.568489,"0,001856"
10/02/2020,XAUUSD,"129 025,22","6112,07",21.109906,"0,000331"
10/05/2020,XAUUSD,"-265 921,15","5380,41",-49.423956,"0,002434"
10/06/2020,XAUUSD,"-174 963,10","6467,06",-27.054503,"0,000449"
10/07/2020,XAUUSD,"46 398,48","5163,6",8.985685,"-0,00048"
10/08/2020,XAUUSD,"160 389,85","5284,75",30.349562,"-0,00141"
10/09/2020,XAUUSD,"-1 000 570,84","5512,94",-181.494962,"-0,00182"
10/12/2020,XAUUSD,"45 125,44","3955,53",11.408191,"-0,00088"
10/13/2020,XAUUSD,"-438 094,52","6352,56",-68.96346,"-0,00029"
10/14/2020,XAUUSD,"-42 523,14","4640,93",-9.162632,"4,33E-05"
10/15/2020,XAUUSD,"146 322,45","4973,03",29.423199,"0,001699"
